"","tp","AOO","occupancy_area","occupancy_Ncells","relative_occupancy_area","relative_occupancy_Ncells","occupancy_area_scaled","occupancy_Ncells_scaled","relative_occupancy_area_scaled","relative_occupancy_Ncells_scaled","AOO_scaled"
"102",1,0.029,0.029,-1.686,0.01,-0.035,0.012,0.038,0.005,0.005,0.012
"103",1,1.583,1.583,-0.188,1.573,1.462,0.844,0.893,0.829,0.829,0.844
"104",1,0.277,0.277,-1.449,0.27,0.222,0.144,0.173,0.142,0.146,0.144
"105",1,0.282,0.282,-1.442,0.275,0.229,0.147,0.177,0.145,0.151,0.147
"106",1,0.598,0.598,-1.14,0.591,0.531,0.316,0.35,0.311,0.317,0.316
"107",1,0.018,0.018,-1.722,0.002,-0.024,0.005,0.018,0,0.012,0.005
"108",1,0.133,0.133,-1.597,0.118,0.071,0.067,0.088,0.061,0.064,0.067
"109",1,0.654,0.654,-1.141,0.647,0.53,0.346,0.349,0.341,0.316,0.346
"110",1,0.404,0.404,-1.332,0.389,0.337,0.212,0.24,0.205,0.21,0.212
"111",1,0.195,0.195,-1.538,0.18,0.131,0.1,0.122,0.094,0.096,0.1
"112",1,0.029,0.029,-1.717,0.008,-0.017,0.011,0.02,0.003,0.015,0.011
"113",1,1.737,1.737,0,1.75,1.692,0.927,1,0.922,0.956,0.927
"114",1,0.401,0.401,-1.328,0.398,0.337,0.211,0.242,0.21,0.21,0.211
"115",1,0.954,0.954,-0.795,0.954,0.868,0.507,0.546,0.503,0.502,0.507
"116",1,0.761,0.761,-0.976,0.761,0.685,0.404,0.443,0.401,0.402,0.404
"117",1,1.499,1.499,-0.272,1.507,1.395,0.799,0.845,0.794,0.792,0.799
"118",1,0.064,0.064,-1.725,0.052,0.027,0.03,0.015,0.027,0.04,0.03
"119",1,0.024,0.024,-1.715,0.008,-0.017,0.009,0.021,0.003,0.015,0.009
"120",1,0.839,0.839,-0.925,0.838,0.741,0.445,0.472,0.441,0.432,0.445
"121",1,0.148,0.148,-1.586,0.138,0.084,0.075,0.095,0.072,0.071,0.075
"122",1,0.033,0.033,-1.736,0.009,-0.013,0.013,0.009,0.004,0.017,0.013
"123",1,0.203,0.203,-1.529,0.196,0.142,0.105,0.127,0.103,0.102,0.105
"124",1,1.417,1.417,-0.391,1.409,1.269,0.755,0.777,0.743,0.723,0.755
