sp_atlas.adapted1;RL_Category
Recurvirostra avosetta;LC
Regulus calendula;#N/A
Regulus ignicapilla;LC
Regulus ignicapilla;LC
Regulus madeirensis;LC
Regulus regulus;LC
Regulus satrapa;LC
Remiz pendulinus;LC
Remiz pendulinus;LC
Riparia riparia;LC
Riparia riparia;LC
Rissa tridactyla;VU
Rostratula benghalensis;LC
Rynchops niger;LC
Saxicola rubetra;LC
Saxicola torquatus;LC
Saxicola torquatus;LC
Saxicola torquatus;LC
Saxicola torquatus;LC
Saxicola torquatus;LC
Saxicola torquatus;LC
Saxicola torquatus;LC
Saxicola torquatus;LC
Sayornis phoebe;LC
Scolopax minor;LC
Scolopax rusticola;LC
Seiurus aurocapilla;LC
Seiurus motacilla;#N/A
Seiurus noveboracensis;#N/A
Serinus canaria;LC
Serinus pusillus;LC
Serinus serinus;LC
Setophaga ruticilla;LC
Sialia sialis;LC
Sitta canadensis;LC
Sitta carolinensis;LC
Sitta europaea;LC
Sitta europaea;LC
Sitta krueperi;LC
Sitta neumayer;LC
Sitta whiteheadi;VU
Sittiparus varius;LC
Somateria mollissima;NT
Somateria spectabilis;LC
Spatula clypeata;LC
Spatula querquedula;LC
Sphyrapicus varius;LC
Spilopelia senegalensis;LC
Spilornis cheela;LC
Spinus pinus;LC
Spinus spinus;LC
Spinus tristis;LC
Spiza americana;LC
Spizella pallida;LC
Spizella passerina;LC
Spizella pusilla;LC
Spodiopsar cineraceus;LC
Stelgidopteryx serripennis;LC
Stelgidopteryx serripennis;LC
Stercorarius longicaudus;LC
Stercorarius parasiticus;LC
Stercorarius pomarinus;LC
Sterna albifrons;#N/A
Sterna dougallii;LC
Sterna forsteri;LC
Sterna hirundo;LC
Sterna paradisaea;LC
Sterna sumatrana;LC
Sternula albifrons;LC
Sternula antillarum;LC
Streptopelia decaocto;LC
Streptopelia decaocto;LC
Streptopelia orientalis;LC
Streptopelia turtur;VU
Strix aluco;LC
Strix aluco;LC
Strix aluco;LC
Strix nebulosa;LC
Strix uralensis;LC
Strix uralensis;LC
Strix varia;LC
Sturnella magna;NT
Sturnella neglecta;LC
Sturnus unicolor;LC
Sturnus vulgaris;LC
Sula leucogaster;LC
Surnia ulula;LC
Sylvia atricapilla;LC
Sylvia balearica;#N/A
Sylvia borin;LC
Sylvia cantillans;#N/A
Sylvia cantillans;#N/A
Sylvia cantillans;#N/A
Sylvia cantillans;#N/A
Sylvia cantillans;#N/A
Sylvia cantillans;#N/A
Sylvia communis;#N/A
Sylvia conspicillata;#N/A
Sylvia crassirostris;#N/A
Sylvia curruca;#N/A
Sylvia curruca;#N/A
Sylvia curruca;#N/A
Sylvia hortensis;#N/A
Sylvia hortensis;#N/A
Sylvia melanocephala;#N/A
Sylvia mystacea;#N/A
Sylvia nisoria;#N/A
Sylvia ruppeli;#N/A
Sylvia sarda;#N/A
Sylvia sarda;#N/A
Sylvia subalpina;#N/A
Sylvia undata;#N/A
Syrmaticus reevesii;VU
Syrmaticus soemmerringii;NT
Tachybaptus ruficollis;LC
Tachycineta bicolor;LC
Tachymarptis melba;LC
Tadorna ferruginea;LC
Tadorna tadorna;LC
Tarsiger cyanurus;LC
Tarsiger cyanurus;LC
Terpsiphone atrocaudata;NT
Tetrao tetrix;#N/A
Tetrao urogallus;LC
Tetraogallus caspius;LC
Tetraogallus caucasicus;LC
Tetrastes bonasia;LC
Tetrax tetrax;NT
Thalasseus sandvicensis;LC
Thryothorus ludovicianus;LC
Thryothorus ludovicianus;LC
Tichodroma muraria;LC
Toxostoma rufum;LC
Treron formosae;NT
Treron formosae;NT
Treron sieboldii;LC
Tringa erythropus;LC
Tringa glareola;LC
Tringa nebularia;LC
Tringa ochropus;LC
Tringa semipalmata;LC
Tringa stagnatilis;LC
Tringa totanus;LC
Troglodytes aedon;LC
Troglodytes aedon;LC
Troglodytes troglodytes;LC
Troglodytes troglodytes;LC
Troglodytes troglodytes;LC
Turdus atrogularis;LC
