"","x"
"318","Empidonax traillii"
"319","Empidonax virescens"
"320","Eophona personata"
"321","Eremophila alpestris"
"322","Erithacus rubecula"
"323","Estrilda astrild"
"324","Estrilda melpoda"
"325","Eudromias morinellus"
"326","Euphagus carolinus"
"327","Eurystomus orientalis"
"328","Falcipennis canadensis"
"329","Falco biarmicus"
"330","Falco cherrug"
"331","Falco columbarius"
"332","Falco eleonorae"
"333","Falco naumanni"
"334","Falco peregrinus"
"335","Falco rusticolus"
"336","Falco sparverius"
"337","Falco subbuteo"
"338","Falco tinnunculus"
"339","Falco vespertinus"
"340","Ficedula albicollis"
"341","Ficedula hypoleuca"
"342","Ficedula narcissina"
"343","Ficedula parva"
"344","Ficedula semitorquata"
"345","Francolinus francolinus"
"346","Fratercula arctica"
"347","Fringilla coelebs"
"348","Fringilla montifringilla"
"349","Fulica americana"
"350","Fulica atra"
"351","Fulica cristata"
"352","Fulmarus glacialis"
"353","Galerida cristata"
"354","Galerida theklae"
"355","Gallinago delicata"
"356","Gallinago gallinago"
"357","Gallinago hardwickii"
"358","Gallinago media"
"359","Gallinago stenura"
"360","Gallinula chloropus"
"361","Gallirallus okinawae"
"362","Garrulax canorus"
"363","Garrulus glandarius"
"364","Garrulus lidthi"
"365","Gavia arctica"
"366","Gavia immer"
"367","Gavia stellata"
"368","Gelochelidon nilotica"
"369","Geothlypis trichas"
"370","Glareola maldivarum"
"371","Glareola nordmanni"
"372","Glareola pratincola"
"373","Glaucidium passerinum"
"374","Gorsachius goisagi"
"375","Grus grus"
"376","Grus japonensis"
"377","Gulosus aristotelis"
"378","Gypaetus barbatus"
"379","Gyps fulvus"
"380","Haematopus ostralegus"
"381","Haematopus palliatus"
"382","Halcyon coromanda"
"383","Haliaeetus albicilla"
"384","Haliaeetus leucocephalus"
"385","Helmitheros vermivorum"
"386","Hieraaetus pennatus"
"387","Hierococcyx hyperythrus"
"388","Himantopus himantopus"
"389","Hippolais icterina"
"390","Hippolais olivetorum"
"391","Hippolais polyglotta"
"392","Hirundapus caudacutus"
"393","Hirundo daurica"
"394","Hirundo rustica"
"395","Hirundo tahitica"
"396","Histrionicus histrionicus"
"397","Hydrobates castro"
"398","Hydrobates leucorhous"
"399","Hydrobates pelagicus"
"400","Hydrocoloeus minutus"
"401","Hydropogne caspia"
"402","Hydroprogne caspia"
"403","Hylocichla mustelina"
"404","Hypsipetes amaurotis"
"405","Icteria virens"
"406","Icterus galbula"
"407","Icterus spurius"
"408","Iduna caligata"
"409","Iduna opaca"
"410","Iduna pallida"
"411","Ixobrychus cinnamomeus"
"412","Ixobrychus exilis"
"413","Ixobrychus minutus"
"414","Ixobrychus sinensis"
"415","Junco hyemalis"
"416","Jynx torquilla"
"417","Lagopus lagopus"
"418","Lagopus muta"
"419","Lanius bucephalus"
"420","Lanius collurio"
"421","Lanius cristatus"
"422","Lanius excubitor"
"423","Lanius ludovicianus"
"424","Lanius meridionalis"
"425","Lanius minor"
"426","Lanius nubicus"
"427","Lanius senator"
"428","Lanius tigrinus"
"429","Larus argentatus"
"430","Larus armenicus"
"431","Larus audouinii"
"432","Larus cachinnans"
"433","Larus canus"
"434","Larus crassirostris"
"435","Larus delawarensis"
"436","Larus fuscus"
"437","Larus genei"
"438","Larus hyperboreus"
"439","Larus ichthyaetus"
"440","Larus marinus"
"441","Larus melanocephalus"
"442","Larus michahellis"
"443","Larus ridibundus"
"444","Larus schistisagus"
"445","Laterallus jamaicensis"
"446","Leiopicus medius"
"447","Leiothrix lutea"
"448","Leucophaeus atricilla"
"449","Limosa lapponica"
"450","Limosa limosa"
"451","Linaria cannabina"
"452","Linaria flavirostris"
"453","Locustella fasciolata"
"454","Locustella fluviatilis"
"455","Locustella lanceolata"
"456","Locustella luscinioides"
"457","Locustella naevia"
"458","Locustella ochotensis"
"459","Locustella pleskei"
"460","Locustella pryeri"
"461","Lonchura punctulata"
"462","Lophodytes cucullatus"
"463","Lophophanes cristatus"
"464","Loxia curvirostra"
"465","Loxia leucoptera"
"466","Loxia pytyopsittacus"
"467","Loxia scotica"
"468","Lullula arborea"
"469","Luscinia akahige"
"470","Luscinia calliope"
"471","Luscinia cyane"
"472","Luscinia komadori"
"473","Luscinia luscinia"
"474","Luscinia megarhynchos"
"475","Luscinia svecica"
"476","Lymnocryptes minimus"
"477","Lyrurus mlokosiewiczi"
"478","Lyrurus tetrix"
"479","Mareca penelope"
"480","Mareca strepera"
"481","Marmaronetta angustirostris"
"482","Megaceryle alcyon"
"483","Megaceryle lugubris"
"484","Megascops asio"
"485","Melanerpes carolinus"
"486","Melanerpes erythrocephalus"
"487","Melanitta fusca"
"488","Melanitta nigra"
"489","Melanocorypha calandra"
"490","Meleagris gallopavo"
"491","Melospiza georgiana"
"492","Melospiza lincolnii"
"493","Melospiza melodia"
"494","Mergellus albellus"
"495","Mergus merganser"
"496","Mergus serrator"
"497","Merops apiaster"
"498","Merops persicus"
"499","Microcarbo pygmaeus"
"500","Miliaria calandra"
"501","Milvus migrans"
"502","Milvus milvus"
"503","Mimus polyglottos"
"504","Mniotilta varia"
"505","Molothrus ater"
"506","Monticola saxatilis"
"507","Monticola solitarius"
"508","Montifringilla nivalis"
"509","Morus bassanus"
"510","Motacilla alba"
"511","Motacilla cinerea"
"512","Motacilla citreola"
"513","Motacilla flava"
"514","Motacilla grandis"
"515","Muscicapa dauurica"
"516","Muscicapa sibirica"
"517","Muscicapa striata"
"518","Myiarchus crinitus"
"519","Myiopsitta monachus"
"520","Neophron percnopterus"
"521","Netta rufina"
"522","Ninox scutulata"
"523","Nisaetus nipalensis"
"524","Nucifraga caryocatactes"
"525","Numenius arquata"
"526","Numenius phaeopus"
"527","Nyctanassa violacea"
