"","sp_atlas_adapted","verbatim_name","sp_names_atlas_adapted_keep","sp_BirdTree","sp_BirdLife","sp_eBird","sp_group_eBird"
"274","Colaptes auratus","Colaptes auratus","Colaptes auratus","Colaptes auratus","Colaptes auratus","Colaptes auratus","Colaptes auratus"
"275","Colaptes auratus","Colaptes auratus","Colaptes auratus","Colaptes auratus",NA,"Colaptes auratus","Colaptes auratus"
"276","Colaptes auratus","Colaptes auratus","Colaptes auratus","Colaptes auratus","Colaptes mexicanoides","Colaptes auratus","Colaptes auratus"
"277","Colaptes auratus","Colaptes auratus","Colaptes auratus","Colaptes auratus","Colaptes cafer","Colaptes auratus","Colaptes auratus"
"278","Colinus virginianus","Colinus virginianus","Colinus virginianus","Colinus virginianus","Colinus virginianus","Colinus virginianus","Colinus virginianus"
"279","Columba janthina","Columba janthina","Columba janthina","Columba janthina","Columba janthina","Columba janthina","Columba janthina"
"280","Columba livia","Columba livia","Columba livia","Columba livia","Columba livia","Columba livia","Columba livia"
"281","Columba oenas","Columba oenas","Columba oenas","Columba oenas","Columba oenas","Columba oenas","Columba oenas"
"282","Columba palumbus","Columba palumbus","Columba palumbus","Columba palumbus","Columba palumbus","Columba palumbus","Columba palumbus"
"283","Columba trocaz","Columba trocaz","Columba trocaz","Columba trocaz","Columba trocaz","Columba trocaz","Columba trocaz"
"284","Contopus cooperi","Contopus cooperi","Contopus cooperi","Contopus cooperi","Contopus cooperi","Contopus cooperi","Contopus cooperi"
"285","Contopus virens","Contopus virens","Contopus virens","Contopus virens","Contopus virens","Contopus virens","Contopus virens"
"286","Coracias garrulus","Coracias garrulus","Coracias garrulus","Coracias garrulus","Coracias garrulus","Coracias garrulus","Coracias garrulus"
"287","Corvus brachyrhynchos","Corvus brachyrhynchos","Corvus brachyrhynchos","Corvus brachyrhynchos","Corvus brachyrhynchos","Corvus brachyrhynchos","Corvus brachyrhynchos"
"288","Corvus corax","Corvus corax","Corvus corax","Corvus corax","Corvus corax","Corvus corax","Corvus corax"
"289","Corvus corone","Corvus corone","Corvus corone","Corvus corone","Corvus corone","Corvus corone","Corvus corone/cornix"
"290","Corvus corone","Corvus corone","Corvus corone","Corvus corone","Corvus corone","Corvus cornix","Corvus corone/cornix"
"291","Corvus corone","Corvus corone","Corvus corone","Corvus corone","Corvus corone",NA,"Corvus corone/cornix"
"292","Corvus frugilegus","Corvus frugilegus","Corvus frugilegus","Corvus frugilegus","Corvus frugilegus","Corvus frugilegus","Corvus frugilegus"
"293","Corvus macrorhynchos","Corvus macrorhynchos","Corvus macrorhynchos","Corvus levaillantii","Corvus macrorhynchos","Corvus macrorhynchos","Corvus macrorhynchos"
"294","Corvus macrorhynchos","Corvus macrorhynchos","Corvus macrorhynchos","Corvus macrorhynchos","Corvus macrorhynchos","Corvus macrorhynchos","Corvus macrorhynchos"
"295","Corvus monedula","Corvus monedula","Corvus monedula","Corvus monedula","Corvus monedula","Corvus monedula","Corvus monedula"
"296","Corvus ossifragus","Corvus ossifragus","Corvus ossifragus","Corvus ossifragus","Corvus ossifragus","Corvus ossifragus","Corvus ossifragus"
"297","Coturnix coturnix","Coturnix coturnix","Coturnix coturnix","Coturnix coturnix","Coturnix coturnix","Coturnix coturnix","Coturnix coturnix"
"298","Crex crex","Crex crex","Crex crex","Crex crex","Crex crex","Crex crex","Crex crex"
"299","Cuculus canorus","Cuculus canorus","Cuculus canorus","Cuculus canorus","Cuculus canorus","Cuculus canorus","Cuculus canorus"
"300","Cuculus micropterus","Cuculus micropterus","Cuculus micropterus","Cuculus micropterus","Cuculus micropterus","Cuculus micropterus","Cuculus micropterus"
"301","Cuculus optatus","Cuculus optatus","Cuculus optatus",NA,"Cuculus solitarius","Cuculus solitarius","Cuculus solitarius"
"302","Cuculus poliocephalus","Cuculus poliocephalus","Cuculus poliocephalus","Cuculus poliocephalus","Cuculus poliocephalus","Cuculus poliocephalus","Cuculus poliocephalus"
"303","Cuculus saturatus","Cuculus saturatus","Cuculus saturatus","Cuculus saturatus","Cuculus saturatus","Cuculus saturatus","Cuculus saturatus"
"304","Cuculus saturatus","Cuculus saturatus","Cuculus saturatus","Cuculus saturatus","Cuculus saturatus","Cuculus saturatus","Cuculus saturatus/optatus"
"305","Cyanecula svecica","Cyanecula svecica","Cyanecula svecica","Luscinia svecica",NA,"Luscinia svecica","Luscinia svecica"
"306","Cyanistes caeruleus","Cyanistes caeruleus","Cyanistes caeruleus","Parus caeruleus",NA,"Cyanistes caeruleus","Cyanistes caeruleus"
"307","Cyanistes cyanus","Cyanistes cyanus","Cyanistes cyanus","Parus cyanus",NA,"Cyanistes cyanus","Cyanistes cyanus"
