"","sp_atlas_adapted","verbatim_name","sp_names_atlas_adapted_keep","sp_BirdTree","sp_BirdLife","sp_eBird","sp_group_eBird"
"213","Catharus ustulatus","Catharus ustulatus","Catharus ustulatus","Catharus ustulatus","Catharus swainsoni","Catharus ustulatus","Catharus ustulatus [ustulatus Group]"
"214","Cecropis daurica","Cecropis daurica","Cecropis daurica","Hirundo striolata",NA,"Cecropis striolata","Cecropis striolata"
"215","Cecropis daurica","Cecropis daurica","Cecropis daurica","Hirundo daurica",NA,"Cecropis daurica","Cecropis daurica"
"216","Cepphus carbo","Cepphus carbo","Cepphus carbo","Cepphus carbo","Cepphus carbo","Cepphus carbo","Cepphus carbo"
"217","Cepphus grylle","Cepphus grylle","Cepphus grylle","Cepphus grylle","Cepphus grylle","Cepphus grylle","Cepphus grylle"
"218","Cercotrichas galactotes","Cercotrichas galactotes","Cercotrichas galactotes","Erythropygia galactotes",NA,"Cercotrichas galactotes","Cercotrichas galactotes"
"219","Cerorhinca monocerata","Cerorhinca monocerata","Cerorhinca monocerata","Cerorhinca monocerata","Cerorhinca monocerata","Cerorhinca monocerata","Cerorhinca monocerata"
"220","Certhia americana","Certhia americana","Certhia americana","Certhia americana","Certhia americana","Certhia americana","Certhia americana"
"221","Certhia brachydactyla","Certhia brachydactyla","Certhia brachydactyla","Certhia brachydactyla","Certhia brachydactyla","Certhia brachydactyla","Certhia brachydactyla"
"222","Certhia familiaris","Certhia familiaris","Certhia familiaris","Certhia familiaris","Certhia familiaris","Certhia familiaris","Certhia familiaris"
"223","Cettia cetti","Cettia cetti","Cettia cetti","Cettia cetti","Cettia cetti","Cettia cetti","Cettia cetti"
"224","Cettia diphone","Cettia diphone","Cettia diphone",NA,"Horornis diphone","Horornis diphone","Horornis diphone"
"225","Chaetura pelagica","Chaetura pelagica","Chaetura pelagica","Chaetura pelagica","Chaetura pelagica","Chaetura pelagica","Chaetura pelagica"
"226","Chalcophaps indica","Chalcophaps indica","Chalcophaps indica","Chalcophaps indica","Chalcophaps longirostris","Chalcophaps indica","Chalcophaps indica"
"227","Chalcophaps indica","Chalcophaps indica","Chalcophaps indica","Chalcophaps indica","Chalcophaps indica","Chalcophaps indica","Chalcophaps indica"
"228","Chalcophaps indica","Chalcophaps indica","Chalcophaps indica","Chalcophaps indica",NA,"Chalcophaps indica","Chalcophaps indica"
"229","Charadrius alexandrinus","Charadrius alexandrinus","Charadrius alexandrinus","Charadrius alexandrinus","Charadrius alexandrinus","Charadrius alexandrinus","Charadrius alexandrinus"
"230","Charadrius alexandrinus","Charadrius alexandrinus","Charadrius alexandrinus","Charadrius alexandrinus","Charadrius dealbatus","Charadrius alexandrinus","Charadrius alexandrinus"
"231","Charadrius alexandrinus","Charadrius alexandrinus","Charadrius alexandrinus","Charadrius alexandrinus","Charadrius nivosus","Charadrius alexandrinus","Charadrius alexandrinus"
"232","Charadrius asiaticus","Charadrius asiaticus","Charadrius asiaticus","Charadrius asiaticus","Charadrius asiaticus","Charadrius asiaticus","Charadrius asiaticus"
"233","Charadrius dubius","Charadrius dubius","Charadrius dubius","Charadrius dubius","Charadrius dubius","Charadrius dubius","Charadrius dubius"
"234","Charadrius hiaticula","Charadrius hiaticula","Charadrius hiaticula","Charadrius hiaticula","Charadrius hiaticula","Charadrius hiaticula","Charadrius hiaticula"
"235","Charadrius leschenaultii","Charadrius leschenaultii","Charadrius leschenaultii","Charadrius leschenaultii","Charadrius leschenaultii","Charadrius leschenaultii","Charadrius leschenaultii"
"236","Charadrius melodus","Charadrius melodus","Charadrius melodus","Charadrius melodus","Charadrius melodus","Charadrius melodus","Charadrius melodus"
"237","Charadrius morinellus","Charadrius morinellus","Charadrius morinellus",NA,NA,NA,NA
"238","Charadrius placidus","Charadrius placidus","Charadrius placidus","Charadrius placidus","Charadrius placidus","Charadrius placidus","Charadrius placidus"
"239","Charadrius vociferus","Charadrius vociferus","Charadrius vociferus","Charadrius vociferus","Charadrius vociferus","Charadrius vociferus","Charadrius vociferus"
"240","Chersophilus duponti","Chersophilus duponti","Chersophilus duponti","Chersophilus duponti","Chersophilus duponti","Chersophilus duponti","Chersophilus duponti"
"241","Chlidonias hybrida","Chlidonias hybrida","Chlidonias hybrida","Chlidonias hybrida","Chlidonias hybrida","Chlidonias hybrida","Chlidonias hybrida"
"242","Chlidonias leucopterus","Chlidonias leucopterus","Chlidonias leucopterus","Chlidonias leucopterus","Chlidonias leucopterus","Chlidonias leucopterus","Chlidonias leucopterus"
"243","Chlidonias niger","Chlidonias niger","Chlidonias niger","Chlidonias niger","Chlidonias niger","Chlidonias niger","Chlidonias niger"
"244","Chloris chloris","Chloris chloris","Chloris chloris","Carduelis chloris",NA,"Chloris chloris","Chloris chloris"
"245","Chloris sinica","Chloris sinica","Chloris sinica","Carduelis sinica",NA,"Chloris sinica","Chloris sinica"
"246","Chordeiles minor","Chordeiles minor","Chordeiles minor","Chordeiles minor","Chordeiles minor","Chordeiles minor","Chordeiles minor"
"247","Chrysolophus amherstiae","Chrysolophus amherstiae","Chrysolophus amherstiae","Chrysolophus amherstiae","Chrysolophus amherstiae","Chrysolophus amherstiae","Chrysolophus amherstiae"
"248","Chrysolophus pictus","Chrysolophus pictus","Chrysolophus pictus","Chrysolophus pictus","Chrysolophus pictus","Chrysolophus pictus","Chrysolophus pictus"
"249","Ciconia ciconia","Ciconia ciconia","Ciconia ciconia","Ciconia ciconia","Ciconia ciconia","Ciconia ciconia","Ciconia ciconia"
"250","Ciconia nigra","Ciconia nigra","Ciconia nigra","Ciconia nigra","Ciconia nigra","Ciconia nigra","Ciconia nigra"
"251","Cinclus cinclus","Cinclus cinclus","Cinclus cinclus","Cinclus cinclus","Cinclus cinclus","Cinclus cinclus","Cinclus cinclus"
"252","Cinclus pallasii","Cinclus pallasii","Cinclus pallasii","Cinclus pallasii","Cinclus pallasii","Cinclus pallasii","Cinclus pallasii"
"253","Circaetus gallicus","Circaetus gallicus","Circaetus gallicus","Circaetus gallicus","Circaetus gallicus","Circaetus gallicus","Circaetus gallicus"
"254","Circus aeruginosus","Circus aeruginosus","Circus aeruginosus","Circus aeruginosus","Circus aeruginosus","Circus aeruginosus","Circus aeruginosus"
"255","Circus cyaneus","Circus cyaneus","Circus cyaneus","Circus cyaneus","Circus hudsonius","Circus cyaneus","Circus cyaneus"
"256","Circus cyaneus","Circus cyaneus","Circus cyaneus","Circus cyaneus","Circus cyaneus","Circus cyaneus","Circus cyaneus"
"257","Circus macrourus","Circus macrourus","Circus macrourus","Circus macrourus","Circus macrourus","Circus macrourus","Circus macrourus"
"258","Circus pygargus","Circus pygargus","Circus pygargus","Circus pygargus","Circus pygargus","Circus pygargus","Circus pygargus"
"259","Circus spilonotus","Circus spilonotus","Circus spilonotus","Circus spilonotus","Circus spilothorax","Circus spilonotus","Circus spilonotus"
"260","Circus spilonotus","Circus spilonotus","Circus spilonotus","Circus spilonotus","Circus spilonotus","Circus spilonotus","Circus spilonotus"
"261","Circus spilonotus","Circus spilonotus","Circus spilonotus","Circus spilonotus",NA,"Circus spilonotus","Circus spilonotus"
"262","Cisticola juncidis","Cisticola juncidis","Cisticola juncidis","Cisticola juncidis","Cisticola juncidis","Cisticola juncidis","Cisticola juncidis"
"263","Cistothorus palustris","Cistothorus palustris","Cistothorus palustris","Cistothorus palustris","Cistothorus palustris","Cistothorus palustris","Cistothorus palustris"
"264","Cistothorus platensis","Cistothorus platensis","Cistothorus platensis","Cistothorus platensis","Cistothorus platensis","Cistothorus platensis","Cistothorus platensis"
"265","Cistothorus platensis","Cistothorus platensis","Cistothorus platensis","Cistothorus platensis","Cistothorus stellaris","Cistothorus platensis","Cistothorus platensis"
"266","Clamator glandarius","Clamator glandarius","Clamator glandarius","Clamator glandarius","Clamator glandarius","Clamator glandarius","Clamator glandarius"
"267","Clanga clanga","Clanga clanga","Clanga clanga","Aquila clanga",NA,"Clanga clanga","Clanga clanga"
"268","Clanga pomarina","Clanga pomarina","Clanga pomarina","Aquila pomarina",NA,"Clanga pomarina","Clanga pomarina"
"269","Clangula hyemalis","Clangula hyemalis","Clangula hyemalis","Clangula hyemalis","Clangula hyemalis","Clangula hyemalis","Clangula hyemalis"
"270","Coccothraustes coccothraustes","Coccothraustes coccothraustes","Coccothraustes coccothraustes","Coccothraustes coccothraustes","Coccothraustes coccothraustes","Coccothraustes coccothraustes","Coccothraustes coccothraustes"
"271","Coccothraustes vespertinus","Coccothraustes vespertinus","Coccothraustes vespertinus",NA,"Hesperiphona vespertina","Coccothraustes vespertinus","Coccothraustes vespertinus"
"272","Coccyzus americanus","Coccyzus americanus","Coccyzus americanus","Coccyzus americanus","Coccyzus americanus","Coccyzus americanus","Coccyzus americanus"
"273","Coccyzus erythropthalmus","Coccyzus erythropthalmus","Coccyzus erythropthalmus","Coccyzus erythropthalmus","Coccyzus erythropthalmus","Coccyzus erythropthalmus","Coccyzus erythropthalmus"
