"","dataset","tp","cell_grouping","scale","verbatim_name","Total_area","Total_area_samp","Total_Ncells_atlas","Total_Ncells_samp","occupancy_area","occupancy_Ncells","AOO","relative_occupancy_area","relative_occupancy_Ncells","mean_area","total_SR_atlas_AOOcalc","grain"
"46","Birds_Atlas_Czechia",2,"1",0.015625,"Certhia brachydactyla",90569.1442272689,83907.5085275841,678,628,58253.7311040904,436,58253.7311040904,0.69426124224556,0.694267515923567,133.609475009382,200,"10"
"47","Birds_Atlas_Czechia",1,"1",0.015625,"Certhia familiaris",90569.1442272689,83907.5085275841,678,628,74156.2531602768,555,74156.2531602768,0.883785664257906,0.883757961783439,133.614870559057,200,"10"
"48","Birds_Atlas_Czechia",2,"1",0.015625,"Certhia familiaris",90569.1442272689,83907.5085275841,678,628,79392.5359801583,594,79392.5359801583,0.946191078406987,0.945859872611465,133.657467980064,200,"10"
"49","Birds_Atlas_Czechia",1,"1",0.015625,"Charadrius dubius",90569.1442272689,83907.5085275841,678,628,48252.1743479482,361,48252.1743479482,0.575063843447165,0.57484076433121,133.662532819801,200,"10"
"50","Birds_Atlas_Czechia",2,"1",0.015625,"Charadrius dubius",90569.1442272689,83907.5085275841,678,628,50118.0474744593,375,50118.0474744593,0.597301103964769,0.597133757961783,133.648126598558,200,"10"
"51","Birds_Atlas_Czechia",1,"1",0.015625,"Ciconia ciconia",90569.1442272689,83907.5085275841,678,628,57424.4137309623,429,57424.4137309623,0.684377533532466,0.68312101910828,133.856442263315,200,"10"
"52","Birds_Atlas_Czechia",2,"1",0.015625,"Ciconia ciconia",90569.1442272689,83907.5085275841,678,628,60236.5190879,450,60236.5190879,0.717891880535312,0.71656050955414,133.858931306445,200,"10"
"53","Birds_Atlas_Czechia",1,"1",0.015625,"Ciconia nigra",90569.1442272689,83907.5085275841,678,628,52175.0278774683,390,52175.0278774683,0.621815958941458,0.621019108280255,133.782122762739,200,"10"
"54","Birds_Atlas_Czechia",2,"1",0.015625,"Ciconia nigra",90569.1442272689,83907.5085275841,678,628,66007.6257763218,494,66007.6257763218,0.786671263807365,0.786624203821656,133.618675660571,200,"10"
"55","Birds_Atlas_Czechia",1,"1",0.015625,"Cinclus cinclus",90569.1442272689,83907.5085275841,678,628,52106.6632675343,390,52106.6632675343,0.62100119741256,0.621019108280255,133.606828891114,200,"10"
"56","Birds_Atlas_Czechia",2,"1",0.015625,"Cinclus cinclus",90569.1442272689,83907.5085275841,678,628,54212.5981132441,406,54212.5981132441,0.646099485785852,0.646496815286624,133.528566781389,200,"10"
"57","Birds_Atlas_Czechia",1,"1",0.015625,"Circus aeruginosus",90569.1442272689,83907.5085275841,678,628,49704.9936183463,372,49704.9936183463,0.59237837579227,0.592356687898089,133.615574242866,200,"10"
"58","Birds_Atlas_Czechia",2,"1",0.015625,"Circus aeruginosus",90569.1442272689,83907.5085275841,678,628,66175.0854607848,495,66175.0854607848,0.788667028994553,0.788216560509554,133.687041334919,200,"10"
"59","Birds_Atlas_Czechia",1,"1",0.015625,"Coccothraustes coccothraustes",90569.1442272689,83907.5085275841,678,628,72943.4217486915,546,72943.4217486915,0.869331279508935,0.869426751592357,133.596010528739,200,"10"
"60","Birds_Atlas_Czechia",2,"1",0.015625,"Coccothraustes coccothraustes",90569.1442272689,83907.5085275841,678,628,78978.9166972827,591,78978.9166972827,0.941261611543606,0.941082802547771,133.63606886173,200,"10"
"61","Birds_Atlas_Czechia",1,"1",0.015625,"Columba livia",90569.1442272689,83907.5085275841,678,628,65436.0006302256,490,65436.0006302256,0.779858701306975,0.780254777070064,133.542858429032,200,"10"
"62","Birds_Atlas_Czechia",2,"1",0.015625,"Columba livia",90569.1442272689,83907.5085275841,678,628,66255.2103277118,496,66255.2103277118,0.78962194790864,0.789808917197452,133.579053080064,200,"10"
"63","Birds_Atlas_Czechia",2,"1",0.015625,"Columba oenas",90569.1442272689,83907.5085275841,678,628,58018.9661737648,434,58018.9661737648,0.691463340908179,0.691082802547771,133.684253856601,200,"10"
"64","Birds_Atlas_Czechia",1,"1",0.015625,"Columba palumbus",90569.1442272689,83907.5085275841,678,628,82579.5382030329,618,82579.5382030329,0.984173402978416,0.984076433121019,133.623848224972,200,"10"
