"","x"
"332","Pandion haliaetus"
"333","Parula americana"
"334","Podilymbus podiceps"
"335","Aythya collaris"
"336","Botaurus lentiginosus"
"337","Oxyura jamaicensis"
"338","Gavia immer"
"339","Dendroica pinus"
"340","Spizella pallida"
"341","Dendroica cerulea"
"342","Spiza americana"
"343","Icteria virens"
"344","Anas americana"
"345","Hydropogne caspia"
"346","Larus argentatus"
"347","Larus marinus"
"348","Vermivora chrysoptera"
"349","Dendroica discolor"
"350","Aegolius acadicus"
"351","Oporornis formosus"
"352","Rallus elegans"
"353","Regulus calendula"
"354","Larus delawarensis"
"355","Phalacrocorax auritus"
"356","Ardea alba"
"357","Aquila chrysaetos"
"358","Egretta thula"
"359","Caprimulgus vociferus"
"360","Dendroica dominica"
"361","Helmitheros vermivorum"
"362","Aythya americana"
"363","Aythya affinis"
"364","Lanius ludovicianus"
"365","Sturnella neglecta"
"366","Loxia leucoptera"
"367","Corvus ossifragus"
"368","Mergus serrator"
"369","Aythya valisineria"
"370","Bubulcus ibis"
"371","Charadrius melodus"
"372","Contopus cooperi"
"373","Empidonax flaviventris"
"374","Melospiza lincolnii"
"375","Vireo philadelphicus"
"376","Euphagus carolinus"
"377","Poecile hudsonicus"
"378","Picoides arcticus"
"379","Picoides dorsalis"
"380","Dendroica castanea"
"381","Dendroica striata"
"382","Perisoreus canadensis"
"383","Vermivora peregrina"
"384","Falcipennis canadensis"
"385","Dendroica palmarum"
"386","Catharus bicknelli"
"387","Dendroica tigrina"
"388","Passerina caerulea"
"389","Wilsonia pusilla"
"390","Myiopsitta monachus"
"391","Ammodramus caudacutus"
"392","Caprimulgus carolinensis"
"393","Quiscalus major"
"394","Rallus longirostris"
"395","Leucophaeus atricilla"
"396","Haematopus palliatus"
"397","Plegadis falcinellus"
"398","Tringa semipalmata"
"399","Nyctanassa violacea"
"400","Ammodramus maritimus"
"401","Egretta caerulea"
"402","Egretta tricolor"
"403","Piranga rubra"
"404","Rynchops niger"
"405","Sternula antillarum"
"406","Gelochelidon nilotica"
"407","Sterna forsteri"
"408","Sterna dougallii"
"409","Laterallus jamaicensis"
"410","Amaurornis phoenicurus"
"411","Anas zonorhyncha"
"412","Chalcophaps indica"
"413","Cisticola juncidis"
"414","Egretta intermedia"
"415","Halcyon coromanda"
"416","Hirundo tahitica"
"417","Hypsipetes amaurotis"
"418","Ixobrychus cinnamomeus"
"419","Otus elegans"
"420","Pycnonotus sinensis"
"421","Streptopelia orientalis"
"422","Terpsiphone atrocaudata"
"423","Treron formosae"
"424","Turnix suscitator"
"425","Zosterops japonicus"
"426","Corvus macrorhynchos"
"427","Egretta sacra"
"428","Ficedula narcissina"
"429","Lanius cristatus"
"430","Monticola solitarius"
"431","Parus minor"
"432","Pericrocotus divaricatus"
"433","Accipiter gularis"
"434","Spilornis cheela"
"435","Ninox scutulata"
"436","Sterna albifrons"
"437","Sterna sumatrana"
"438","Poecile varius"
"439","Rallina eurizonoides"
"440","Delichon dasypus"
"441","Glareola maldivarum"
"442","Columba janthina"
"443","Hirundo daurica"
"444","Locustella fasciolata"
