"","AtlasSp","ScientificName"
"529","Acridotheres cristatellus","Acridotheres cristatellus"
"530","Alopochen aegyptiaca","Alopochen aegyptiaca"
"531","Apus pallidus","Apus pallidus"
"532","Aquila fasciata","Aquila fasciata"
"533","Burhinus oedicnemus","Burhinus oedicnemus"
"534","Calandrella brachydactyla","Calandrella brachydactyla"
"535","Caprimulgus ruficollis","Caprimulgus ruficollis"
"536","Cecropis daurica","Cecropis daurica"
"537","Cettia cetti","Cettia cetti"
"538","Circaetus gallicus","Circaetus gallicus"
"539","Cyanopica cooki","Cyanopica cooki"
"540","Dryobates minor","Dryobates minor"
"541","Elanus caeruleus","Elanus caeruleus"
"542","Emberiza calandra","Emberiza calandra"
"543","Emberiza cia","Emberiza cia"
"544","Emberiza cirlus","Emberiza cirlus"
"545","Falco naumanni","Falco naumanni"
"546","Hieraaetus pennatus","Hieraaetus pennatus"
"547","Hippolais polyglotta","Hippolais polyglotta"
"548","Lanius meridionalis","Lanius meridionalis"
"549","Lanius senator","Lanius senator"
"550","Linaria cannabina","Linaria cannabina"
"551","Melanocorypha calandra","Melanocorypha calandra"
"552","Oenanthe hispanica","Oenanthe hispanica"
"553","Petronia petronia","Petronia petronia"
"554","Phylloscopus bonelli","Phylloscopus bonelli"
"555","Phylloscopus ibericus","Phylloscopus ibericus"
"556","Picus sharpei","Picus sharpei"
"557","Porphyrio porphyrio","Porphyrio porphyrio"
"558","Ptyonoprogne rupestris","Ptyonoprogne rupestris"
"559","Regulus ignicapilla","Regulus ignicapilla"
"560","Sternula albifrons","Sternula albifrons"
"561","Sturnus unicolor","Sturnus unicolor"
"562","Tachymarptis melba","Tachymarptis melba"
"563","Zapornia pusilla","Zapornia pusilla"
"564","Anthus berthelotii","Anthus berthelotii"
"565","Apus unicolor","Apus unicolor"
"566","Columba trocaz","Columba trocaz"
"567","Passer hispaniolensis","Passer hispaniolensis"
"568","Pterodroma madeira","Pterodroma madeira"
"569","Regulus madeirensis","Regulus madeirensis"
"570","Ardeola ralloides","Ardeola ralloides"
"571","Clamator glandarius","Clamator glandarius"
"572","Pyrrhocorax pyrrhocorax","Pyrrhocorax pyrrhocorax"
"573","Coracias garrulus","Coracias garrulus"
"574","Glareola pratincola","Glareola pratincola"
"575","Oenanthe leucura","Oenanthe leucura"
"576","Tetrax tetrax","Tetrax tetrax"
"577","Galerida theklae","Galerida theklae"
"578","Larus audouinii","Larus audouinii"
"579","Amandava amandava","Amandava amandava"
"580","Alaudala rufescens","Alaudala rufescens"
"581","Apus caffer","Apus caffer"
"582","Aquila adalberti","Aquila adalberti"
"583","Cercotrichas galactotes","Cercotrichas galactotes"
"584","Neophron percnopterus","Neophron percnopterus"
"585","Otis tarda","Otis tarda"
"586","Pterocles alchata","Pterocles alchata"
"587","Pterocles orientalis","Pterocles orientalis"
"588","Iduna opaca","Iduna opaca"
"589","Chlidonias hybrida","Chlidonias hybrida"
"590","Spatula querquedula","Spatula querquedula"
"591","Gyps fulvus","Gyps fulvus"
"592","Monticola saxatilis","Monticola saxatilis"
"593","Aegypius monachus","Aegypius monachus"
"594","Fulica cristata","Fulica cristata"
"595","Oxyura leucocephala","Oxyura leucocephala"
"596","Phoenicopterus roseus","Phoenicopterus roseus"
"597","Acrocephalus melanopogon","Acrocephalus melanopogon"
"598","Larus genei","Larus genei"
"599","Marmaronetta angustirostris","Marmaronetta angustirostris"
"600","Zapornia parva","Zapornia parva"
"601","Estrilda melpoda","Estrilda melpoda"
"602","Chersophilus duponti","Chersophilus duponti"
"603","Carduelis citrinella","Carduelis citrinella"
"604","Leiopicus medius","Leiopicus medius"
"605","Pyrrhocorax graculus","Pyrrhocorax graculus"
"606","Montifringilla nivalis","Montifringilla nivalis"
"607","Tichodroma muraria","Tichodroma muraria"
"608","Linaria flavirostris","Linaria flavirostris"
"609","Thalasseus sandvicensis","Thalasseus sandvicensis"
"610","Calidris pugnax","Calidris pugnax"
"611","Bubo scandiacus","Bubo scandiacus"
"612","Chrysolophus pictus","Chrysolophus pictus"
"613","Alectoris barbara","Alectoris barbara"
"614","Eudromias morinellus","Eudromias morinellus"
"615","Circus macrourus","Circus macrourus"
"616","Clanga clanga","Clanga clanga"
"617","Emberiza aureola","Emberiza aureola"
"618","Emberiza pusilla","Emberiza pusilla"
"619","Falco vespertinus","Falco vespertinus"
"620","Gallinago media","Gallinago media"
"621","Iduna caligata","Iduna caligata"
"622","Lymnocryptes minimus","Lymnocryptes minimus"
"623","Melanitta fusca","Melanitta fusca"
"624","Mergellus albellus","Mergellus albellus"
"625","Phylloscopus borealis","Phylloscopus borealis"
"626","Strix nebulosa","Strix nebulosa"
"627","Surnia ulula","Surnia ulula"
"628","Xenus cinereus","Xenus cinereus"
"629","Calcarius lapponicus","Calcarius lapponicus"
"630","Xema sabini","Xema sabini"
"631","Bucanetes githagineus","Bucanetes githagineus"
"632","Tadorna ferruginea","Tadorna ferruginea"
"633","Gypaetus barbatus","Gypaetus barbatus"
"634","Calonectris diomedea","Calonectris diomedea"
"635","Chlidonias leucopterus","Chlidonias leucopterus"
"636","Lanius minor","Lanius minor"
"637","Syrmaticus reevesii","Syrmaticus reevesii"
"638","Alectoris chukar","Alectoris chukar"
"639","Chrysolophus amherstiae","Chrysolophus amherstiae"
"640","Loxia scotica","Loxia scotica"
"641","Calidris temminckii","Calidris temminckii"
"642","Arenaria interpres","Arenaria interpres"
"643","Falco eleonorae","Falco eleonorae"
"644","Puffinus mauretanicus","Puffinus mauretanicus"
"645","Hydroprogne caspia","Hydroprogne caspia"
"646","Glareola nordmanni","Glareola nordmanni"
"647","Alectoris graeca","Alectoris graeca"
"648","Puffinus yelkouan","Puffinus yelkouan"
"649","Clanga pomarina","Clanga pomarina"
"650","Passer italiae","Passer italiae"
"651","Anser erythropus","Anser erythropus"
"652","Motacilla citreola","Motacilla citreola"
"653","Anser albifrons","Anser albifrons"
"654","Buteo lagopus","Buteo lagopus"
"655","Carduelis corsicana","Carduelis corsicana"
"656","Emberiza melanocephala","Emberiza melanocephala"
"657","Tringa stagnatilis","Tringa stagnatilis"
"658","Perisoreus infaustus","Perisoreus infaustus"
"659","Calidris falcinellus","Calidris falcinellus"
"660","Poecile cinctus","Poecile cinctus"
"661","Anthus cervinus","Anthus cervinus"
"662","Tringa erythropus","Tringa erythropus"
"663","Limosa lapponica","Limosa lapponica"
"664","Calidris melanotos","Calidris melanotos"
"665","Spilopelia senegalensis","Spilopelia senegalensis"
"666","Falco biarmicus","Falco biarmicus"
"667","Buteo rufinus","Buteo rufinus"
"668","Cyanistes teneriffae","Cyanistes teneriffae"
"669","Sitta whiteheadi","Sitta whiteheadi"
"670","Callipepla californica","Callipepla californica"
"671","Microcarbo pygmaeus","Microcarbo pygmaeus"
"672","Iduna pallida","Iduna pallida"
"673","Hippolais olivetorum","Hippolais olivetorum"
"674","Pastor roseus","Pastor roseus"
"675","Sitta neumayer","Sitta neumayer"
"676","Poecile lugubris","Poecile lugubris"
"677","Accipiter brevipes","Accipiter brevipes"
"678","Phylloscopus orientalis","Phylloscopus orientalis"
"679","Ficedula semitorquata","Ficedula semitorquata"
"680","Aquila heliaca","Aquila heliaca"
"681","Acrocephalus paludicola","Acrocephalus paludicola"
"682","Somateria spectabilis","Somateria spectabilis"
"683","Calidris minuta","Calidris minuta"
"684","Calidris alba","Calidris alba"
"685","Calidris canutus","Calidris canutus"
"686","Pagophila eburnea","Pagophila eburnea"
"687","Emberiza caesia","Emberiza caesia"
"688","Pelecanus crispus","Pelecanus crispus"
"689","Lanius nubicus","Lanius nubicus"
"690","Pelecanus onocrotalus","Pelecanus onocrotalus"
"691","Oenanthe pleschanka","Oenanthe pleschanka"
"692","Vanellus spinosus","Vanellus spinosus"
"693","Oenanthe isabellina","Oenanthe isabellina"
"694","Acrocephalus agricola","Acrocephalus agricola"
"695","Emberiza cineracea","Emberiza cineracea"
"696","Sitta krueperi","Sitta krueperi"
"697","Oenanthe finschii","Oenanthe finschii"
"698","Serinus pusillus","Serinus pusillus"
"699","Larus ichthyaetus","Larus ichthyaetus"
"700","Cyanistes cyanus","Cyanistes cyanus"
"701","Cuculus saturatus","Cuculus saturatus"
"702","Stercorarius pomarinus","Stercorarius pomarinus"
"703","Zoothera aurea","Zoothera aurea"
"704","Anthropoides virgo","Anthropoides virgo"
"705","Merops persicus","Merops persicus"
"706","Alauda leucoptera","Alauda leucoptera"
"707","Emberiza bruniceps","Emberiza bruniceps"
"708","Vanellus gregarius","Vanellus gregarius"
"709","Aquila nipalensis","Aquila nipalensis"
"710","Charadrius asiaticus","Charadrius asiaticus"
"711","Pluvialis squatarola","Pluvialis squatarola"
"712","Phylloscopus nitidus","Phylloscopus nitidus"
"713","Lyrurus mlokosiewiczi","Lyrurus mlokosiewiczi"
"714","Phylloscopus sindianus","Phylloscopus sindianus"
"715","Carpodacus rubicilla","Carpodacus rubicilla"
"716","Tetraogallus caucasicus","Tetraogallus caucasicus"
"717","Tetraogallus caspius","Tetraogallus caspius"
"718","Bucanetes mongolicus","Bucanetes mongolicus"
"719","Charadrius leschenaultii","Charadrius leschenaultii"
"720","Vanellus leucurus","Vanellus leucurus"
"721","Larus armenicus","Larus armenicus"
"722","Francolinus francolinus","Francolinus francolinus"
"723","Cygnus columbianus","Cygnus columbianus"
"724","Calliope calliope","Calliope calliope"
"725","Pelagodroma marina","Pelagodroma marina"
"726","Turdus atrogularis","Turdus atrogularis"
"727","Oenanthe deserti","Oenanthe deserti"
"728","Phylloscopus inornatus","Phylloscopus inornatus"
"729","Prunella montanella","Prunella montanella"
"730","Gallinago stenura","Gallinago stenura"
"731","Prunella atrogularis","Prunella atrogularis"
"732","Polysticta stelleri","Polysticta stelleri"
"733","Emberiza pallasi","Emberiza pallasi"
"734","Carduelis spinus","Spinus spinus"
"735","Dendrocopos minor","Dryobates minor"
"736","Parus ater","Periparus ater"
"737","Parus cristatus","Lophophanes cristatus"
"738","Parus montanus","Poecile montanus"
"739","Parus palustris","Poecile palustris"
"740","Anas querquedula","Spatula querquedula"
"741","Saxicola torquata","Saxicola torquatus"
"742","Carduelis flammea","Acanthis flammea"
"743","Tetrao tetrix","Lyrurus tetrix"
"744","Anas strepera","Mareca strepera"
"745","Dendrocopos medius","Leiopicus medius"
"746","Anas clypeata","Spatula clypeata"
"747","Aquila pomarina","Clanga pomarina"
"748","Charadrius morinellus","Eudromias morinellus"
"749","Porzana parva","Zapornia parva"
"750","Butorides virescens","Butorides striata"
"751","Carpodacus mexicanus","Haemorhous mexicanus"
