"","mean_prob_cooccur","nsDist","ewDist","maxDist","lengthMinRect","widthMinRect","elonMinRect","elonRatio","circ","circNorm","relCirc","lin","bearingMinRect","bearing","Dist_toCOD","minDist_toBorder","maxDist_toBorder","sp_COG_long","sp_COG_lat","atlas_xmin","atlas_xmax","atlas_xhalf","atlas_ymin","atlas_ymax","atlas_yhalf","atlas_nsDist","atlas_ewDist","atlas_maxDist","atlas_lengthMinRect","atlas_widthMinRect","atlas_elonMinRect","atlas_elonRatio","atlas_circ","atlas_circNorm","atlas_relCirc","atlas_lin","atlas_bearingMinRect","atlas_bearing","CenterOfGravity_Atlas_long","CenterOfGravity_Atlas_lat","Southernness","Westernness","log_R2_1","Telfer_1_2","Total_area","relative_occupancy_Ncells","m_AOO_s","m_relOcc_s","D_AOO_s","D_relOcc_s","D_AOO_a","D_relOcc_a","total_SR_atlas","sd_PC1","sd_PC2","var_PC1","var_PC2","AlphaSR_sp","BetaSR_sp","GammaSR","avgEffort","global_moran","mean_area","mean_area_cropped","HWI","Mass","Range.Size","FP","start_year","end_year","SampPeriodLength"
"atlas_elonMinRect",-0.49,0.72,0.72,0.75,0.74,0.69,-0.04,-0.23,0.27,0.27,0.17,0.05,0.38,0.52,0.65,-0.06,0.97,0.47,0.28,-0.38,0.93,NA,-0.92,0.99,NA,0.97,0.98,0.98,0.98,0.95,1,1,0.97,0.97,0.9,0.98,-0.41,0.98,0.49,0.77,0,0.17,0.2,0.07,0.98,-0.38,0.17,0.18,-0.17,-0.18,-0.13,-0.12,0.96,-0.18,-0.16,-0.16,-0.14,0.1,0.21,0.96,-0.45,0.76,0.98,0.98,0.12,0.08,-0.17,0.07,-0.63,-0.01,0.87
"atlas_elonRatio",-0.46,0.71,0.71,0.74,0.73,0.68,-0.05,-0.22,0.26,0.26,0.14,0.03,0.37,0.5,0.64,-0.07,0.95,0.51,0.29,-0.33,0.95,NA,-0.89,0.98,NA,0.96,0.96,0.96,0.96,0.93,1,1,0.96,0.96,0.88,0.97,-0.35,0.96,0.54,0.8,0,0.18,0.2,0.07,0.96,-0.35,0.15,0.15,-0.15,-0.15,-0.1,-0.09,0.95,-0.18,-0.15,-0.15,-0.13,0.12,0.2,0.95,-0.49,0.75,0.97,0.97,0.11,0.08,-0.16,0.07,-0.63,-0.02,0.86
"atlas_circ",-0.59,0.73,0.74,0.76,0.75,0.7,0,-0.24,0.29,0.29,0.26,0.12,0.44,0.59,0.67,-0.04,0.99,0.28,0.24,-0.59,0.82,NA,-0.99,0.99,NA,1,1,1,1,1,0.97,0.96,1,1,0.98,1,-0.61,1,0.28,0.6,-0.01,0.12,0.18,0.05,1,-0.47,0.29,0.27,-0.29,-0.27,-0.23,-0.21,1,-0.19,-0.18,-0.16,-0.17,0.02,0.22,1,-0.27,0.77,1,1,0.12,0.08,-0.21,0.08,-0.63,0.04,0.9
"atlas_circNorm",-0.59,0.73,0.74,0.76,0.75,0.7,0,-0.24,0.29,0.29,0.26,0.12,0.44,0.59,0.67,-0.04,0.99,0.28,0.24,-0.59,0.82,NA,-0.99,0.99,NA,1,1,1,1,1,0.97,0.96,1,1,0.98,1,-0.61,1,0.28,0.6,-0.01,0.12,0.18,0.05,1,-0.47,0.29,0.27,-0.29,-0.27,-0.23,-0.21,1,-0.19,-0.18,-0.16,-0.17,0.02,0.22,1,-0.27,0.77,1,1,0.12,0.08,-0.21,0.08,-0.63,0.04,0.9
"atlas_relCirc",-0.65,0.71,0.72,0.74,0.73,0.68,0.04,-0.24,0.3,0.3,0.33,0.18,0.46,0.63,0.67,-0.01,0.97,0.1,0.18,-0.74,0.68,NA,-1,0.95,NA,0.98,0.98,0.98,0.98,0.99,0.9,0.88,0.98,0.98,1,0.97,-0.76,0.97,0.08,0.42,-0.01,0.08,0.16,0.04,0.97,-0.54,0.37,0.35,-0.37,-0.35,-0.31,-0.28,0.99,-0.18,-0.2,-0.16,-0.18,-0.05,0.22,0.99,-0.1,0.75,0.97,0.97,0.12,0.07,-0.23,0.08,-0.6,0.07,0.89
"atlas_lin",-0.57,0.73,0.74,0.76,0.75,0.7,-0.01,-0.24,0.29,0.29,0.24,0.1,0.42,0.58,0.67,-0.04,0.99,0.32,0.25,-0.54,0.85,NA,-0.97,1,NA,1,1,1,1,0.99,0.98,0.97,1,1,0.97,1,-0.56,1,0.33,0.64,-0.01,0.13,0.19,0.06,1,-0.45,0.26,0.25,-0.26,-0.25,-0.21,-0.19,1,-0.19,-0.18,-0.16,-0.16,0.04,0.22,1,-0.32,0.78,1,1,0.12,0.08,-0.2,0.08,-0.63,0.03,0.9
"atlas_bearingMinRect",0.64,-0.43,-0.43,-0.44,-0.44,-0.4,-0.14,0.16,-0.22,-0.22,-0.45,-0.32,-0.4,-0.55,-0.43,-0.07,-0.59,0.51,0.04,1,-0.04,NA,0.73,-0.51,NA,-0.61,-0.6,-0.6,-0.6,-0.67,-0.41,-0.35,-0.61,-0.61,-0.76,-0.56,1,-0.59,0.59,0.27,0.02,0.08,-0.05,0.01,-0.59,0.58,-0.52,-0.47,0.52,0.47,0.47,0.41,-0.64,0.12,0.18,0.09,0.18,0.25,-0.15,-0.64,-0.47,-0.44,-0.57,-0.57,-0.07,-0.04,0.23,-0.06,0.32,-0.17,-0.57
"atlas_bearing",-0.58,0.73,0.74,0.76,0.75,0.7,0,-0.24,0.29,0.29,0.25,0.12,0.43,0.59,0.67,-0.04,0.99,0.29,0.24,-0.57,0.83,NA,-0.98,1,NA,1,1,1,1,0.99,0.98,0.96,1,1,0.97,1,-0.59,1,0.3,0.61,-0.01,0.13,0.18,0.06,1,-0.47,0.28,0.27,-0.28,-0.27,-0.22,-0.2,1,-0.19,-0.18,-0.16,-0.17,0.03,0.22,1,-0.29,0.78,1,1,0.12,0.08,-0.2,0.08,-0.63,0.03,0.9
"CenterOfGravity_Atlas_long",0.18,0.22,0.23,0.24,0.24,0.23,-0.17,-0.04,0.03,0.03,-0.28,-0.26,-0.05,-0.07,0.17,-0.12,0.29,0.9,0.29,0.61,0.78,NA,-0.11,0.39,NA,0.28,0.29,0.29,0.29,0.2,0.49,0.54,0.28,0.28,0.08,0.33,0.59,0.3,1,0.94,0.02,0.22,0.13,0.07,0.3,0.22,-0.34,-0.3,0.34,0.3,0.33,0.29,0.25,-0.05,0.04,-0.05,0.04,0.32,0.04,0.25,-0.84,0.25,0.32,0.32,0.03,0.03,0.06,0.01,-0.25,-0.17,0.23
"CenterOfGravity_Atlas_lat",-0.06,0.45,0.46,0.47,0.47,0.44,-0.14,-0.12,0.13,0.13,-0.14,-0.17,0.12,0.16,0.38,-0.12,0.6,0.85,0.33,0.3,0.95,NA,-0.45,0.68,NA,0.6,0.61,0.6,0.61,0.53,0.77,0.8,0.6,0.6,0.42,0.64,0.27,0.61,0.94,1,0.01,0.23,0.17,0.08,0.61,0.01,-0.19,-0.15,0.19,0.15,0.19,0.17,0.57,-0.11,-0.04,-0.1,-0.03,0.28,0.11,0.57,-0.8,0.49,0.63,0.63,0.07,0.05,-0.02,0.04,-0.44,-0.13,0.51
