"","verbatim_name","dataset","log_R2_1","tp1_AOO_1","tp2_AOO_1"
"97","Anthus cervinus","Birds_atlas_EBBA",-0.271474203826758,182037.855848882,138759.256066527
"98","Anthus hodgsoni","Birds_atlas_Japan",-0.447629282180392,53960.8480751952,34488.6217666173
"99","Anthus petrosus","Birds_atlas_EBBA",-0.0139725239468325,884449.010449481,872176.960881286
"100","Anthus pratensis","Birds_Atlas_Czechia",0.036440607967284,43145.8752662181,44747.1354482215
"101","Anthus pratensis","Birds_atlas_EBBA",0.00586227762755934,4204981.66221266,4229704.82836365
"102","Anthus spinoletta","Birds_Atlas_Czechia",-0.155443469816212,1857.72901003043,1590.28192141036
"103","Anthus spinoletta","Birds_atlas_EBBA",-0.116110861890352,820062.465392739,730164.355100644
"104","Anthus trivialis","Birds_Atlas_Czechia",-0.00810084601349004,81375.0125339691,80718.4689576899
"105","Anthus trivialis","Birds_atlas_EBBA",0.0319502815434748,5238972.87770357,5409062.26913489
"106","Apalopteron familiare","Birds_atlas_Japan",0,919.1244284552,919.1244284552
"107","Apus apus","Birds_Atlas_Czechia",0.0147293564678972,80692.9590531526,81890.3108749582
"108","Apus apus","Birds_atlas_EBBA",0.0266614510829843,6224007.12442653,6392180.09179656
"109","Apus caffer","Birds_atlas_EBBA",1.19265169757668,41679.9205807124,137369.062347135
"110","Apus nipalensis","Birds_atlas_Japan",-0.770485672987337,10151.2519180185,4697.88011014117
"111","Apus pacificus","Birds_atlas_Japan",-0.507211434932342,51440.2043094283,30975.8731750888
"112","Apus pallidus","Birds_atlas_EBBA",0.673973440381839,593534.88971185,1164526.02657638
"113","Apus unicolor","Birds_atlas_EBBA",0,7500.01691730129,7500.01691730129
"114","Aquila adalberti","Birds_atlas_EBBA",0.504395681060972,124077.951156794,205471.160834606
"115","Aquila chrysaetos","Birds_atlas_EBBA",0.199479331380245,2181061.35324653,2662567.67616679
"116","Aquila chrysaetos","Birds_Atlas_New_York",0.11777239575503,200.095352862279,225.104876863638
"117","Aquila fasciata","Birds_atlas_EBBA",-0.0671661832458081,666355.935309527,623069.320797566
"118","Aquila heliaca","Birds_atlas_EBBA",0.0590579259601112,220617.994633836,234039.662948856
"119","Aquila pomarina","Birds_Atlas_Czechia",0.0717998866340549,1872.10671276858,2011.46692184063
"120","Archilochus colubris","Birds_Atlas_New_York",0.188309831731465,87973.9516627621,106202.813248902
"121","Ardea alba","Birds_atlas_EBBA",1.48930857715708,345813.493036598,1533346.94265676
"122","Ardea alba","Birds_atlas_Japan",0.443035567727092,61757.4160763722,96182.7121773961
"123","Ardea alba","Birds_Atlas_New_York",0.535123602969968,1625.04101557868,2775.01640471309
"124","Ardea cinerea","Birds_Atlas_Czechia",0.460172085561732,33597.7524642663,53230.4850427246
"125","Ardea cinerea","Birds_atlas_EBBA",0.195650362257819,4270284.37993693,5193099.82046973
"126","Ardea cinerea","Birds_atlas_Japan",0.202492956052101,175377.808330431,214741.61348271
"127","Ardea herodias","Birds_Atlas_New_York",0.182326801301491,79146.7693341923,94976.6213053308
"128","Ardea purpurea","Birds_Atlas_Czechia",0.641375584980369,1352.72211453323,2568.94299521827
"129","Ardea purpurea","Birds_atlas_EBBA",0.287022830708986,1255340.75480974,1672684.60601086
"130","Ardea purpurea","Birds_atlas_Japan",-1.38758700231727,1872.31069608827,467.473008429077
"131","Ardeola ralloides","Birds_atlas_EBBA",0.437924504789639,426511.956566107,660875.126177877
"132","Arenaria interpres","Birds_atlas_EBBA",-0.127904410906187,523657.787075069,460786.117495722
"133","Asio flammeus","Birds_Atlas_Czechia",0.955059617005948,670.133593923718,1741.56028067046
"134","Asio flammeus","Birds_atlas_EBBA",0.0609013382137275,2196774.28808762,2334718.64664694
"135","Asio flammeus","Birds_Atlas_New_York",-0.405455005891826,900.210947013163,600.146694123224
"136","Asio otus","Birds_Atlas_Czechia",-0.0114884995824255,66550.1953967013,65790.0085688291
"137","Asio otus","Birds_atlas_EBBA",0.087388751410794,5236343.62452176,5714530.97407707
"138","Asio otus","Birds_atlas_Japan",-0.674776838147386,798.527773254517,406.666285062073
"139","Asio otus","Birds_Atlas_New_York",-0.523390571019842,2025.47063096168,1200.10795216707
