"","FP","tip.label","verbatim_name"
"675",18.4365085945971,"Eupodotis_caerulescens","Eupodotis caerulescens"
"676",27.2118126324305,"Eupodotis_rueppellii","Eupodotis rueppellii"
"677",27.2118126324305,"Eupodotis_vigorsii","Eupodotis vigorsii"
"678",15.5580336093798,"Neotis_nuba","Neotis nuba"
"679",14.8530106727226,"Neotis_heuglinii","Neotis heuglinii"
"680",9.49752535862429,"Ardeotis_nigriceps","Ardeotis nigriceps"
"681",9.49752535862429,"Ardeotis_australis","Ardeotis australis"
"682",12.0953120966243,"Ardeotis_kori","Ardeotis kori"
"683",12.0953120966243,"Ardeotis_arabs","Ardeotis arabs"
"684",13.7876497277993,"Neotis_ludwigii","Neotis ludwigii"
"685",14.2795204642393,"Neotis_denhami","Neotis denhami"
"686",27.3520330461569,"Houbaropsis_bengalensis","Houbaropsis bengalensis"
"687",27.3520330461569,"Sypheotides_indicus","Sypheotides indicus"
