occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Cyanoptila cyanomelana","Cyanoptila cyanomelana (Temminck, 1829)","2492391","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Cyanoptila","Cyanoptila cyanomelana","Cyanoptila cyanomelana","(Temminck, 1829) ","2492391",
,"Cygnus cygnus","Cygnus cygnus (Linnaeus, 1758)","2498347","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Cygnus cygnus","Cygnus cygnus","(Linnaeus, 1758) ","2498347",
,"Cygnus olor","Cygnus olor (J.F.Gmelin, 1789)","2498343","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Cygnus olor","Cygnus olor","(J.F.Gmelin, 1789) ","2498343",
,"Delichon dasypus","Delichon dasypus (Bonaparte, 1850)","2489220","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Delichon","Delichon dasypus","Delichon dasypus","(Bonaparte, 1850) ","2489220",
,"Delichon urbica","Delichon urbicum (Linnaeus, 1758)","2489214","FUZZY","96","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Delichon","Delichon urbicum","Delichon urbicum","(Linnaeus, 1758) ","2489214",
,"Delichon urbicum","Delichon urbicum (Linnaeus, 1758)","2489214","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Delichon","Delichon urbicum","Delichon urbicum","(Linnaeus, 1758) ","2489214",
,"Dendrocopos kizuki","Dendrocopos kizuki (Temminck, 1836)","2477900","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Piciformes","Picidae","Yungipicus","Yungipicus kizuki","Dendrocopos kizuki","(Temminck, 1836) ","2477900","9178169"
,"Dendrocopos leucotos","Dendrocopos leucotos (Bechstein, 1802)","2477927","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Piciformes","Picidae","Dendrocopos","Dendrocopos leucotos","Dendrocopos leucotos","(Bechstein, 1802) ","2477927",
,"Dendrocopos major","Dendrocopos major (Linnaeus, 1758)","2477968","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Piciformes","Picidae","Dendrocopos","Dendrocopos major","Dendrocopos major","(Linnaeus, 1758) ","2477968",
,"Dendrocopos medius","Dendrocopos medius (Linnaeus, 1758)","2478026","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Piciformes","Picidae","Dendrocoptes","Dendrocoptes medius","Dendrocopos medius","(Linnaeus, 1758) ","2478026","8773033"
,"Dendrocopos minor","Dendrocopos minor (Linnaeus, 1758)","2477950","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Piciformes","Picidae","Dryobates","Dryobates minor","Dendrocopos minor","(Linnaeus, 1758) ","2477950","9015784"
