original_verbatim_name,name_in_data,wordCount,cellID,submitted_name,Birds of the World,eBird/Clements,American Ornithological Society,GBIF,BirdLife
Aythya ferina,Aythya ferina,2,NA,Aythya ferina,Aythya ferina,Aythya ferina,Aythya ferina,Aythya ferina,Aythya ferina
Aythya fuligula,Aythya fuligula,2,NA,Aythya fuligula,Aythya fuligula,Aythya fuligula,Aythya fuligula,Aythya fuligula,Aythya fuligula
Aythya marila,Aythya marila,2,NA,Aythya marila,Aythya marila,Aythya marila,Aythya marila,Aythya marila,Aythya marila
Aythya nyroca,Aythya nyroca,2,NA,Aythya nyroca,Aythya nyroca,NA,Aythya nyroca,Aythya nyroca,Aythya nyroca
Bombycilla garrulus,Bombycilla garrulus,2,NA,Bombycilla garrulus,Bombycilla garrulus,Bombycilla garrulus,Bombycilla garrulus,Bombycilla garrulus,Bombycilla garrulus
Bonasa bonasia,Bonasa bonasia,2,NA,Bonasa bonasia,NA,NA,Bonasa bonasia,NA,Bonasa bonasia
Botaurus stellaris,Botaurus stellaris,2,NA,Botaurus stellaris,Botaurus stellaris,NA,Botaurus stellaris,Botaurus stellaris,Botaurus stellaris
Branta bernicla,Branta bernicla,2,NA,Branta bernicla,Branta bernicla,Branta bernicla,Branta bernicla,Branta bernicla,Branta bernicla
Branta canadensis,Branta canadensis,2,NA,Branta canadensis,Branta canadensis,Branta canadensis,Branta canadensis,Branta canadensis,Branta canadensis
Branta hutchinsii,Branta hutchinsii,2,NA,Branta hutchinsii,Branta hutchinsii,Branta hutchinsii,Branta hutchinsii,Branta hutchinsii,Branta hutchinsii
Branta leucopsis,Branta leucopsis,2,NA,Branta leucopsis,Branta leucopsis,Branta leucopsis,Branta leucopsis,Branta leucopsis,Branta leucopsis
Bubo bubo,Bubo bubo,2,NA,Bubo bubo,Bubo bubo,NA,Bubo bubo,Bubo bubo,Bubo bubo
Bubo scandiacus,Bubo scandiacus,2,NA,Bubo scandiacus,Bubo scandiacus,Bubo scandiacus,Bubo scandiacus,Bubo scandiacus,Bubo scandiacus
Bubulcus ibis,Bubulcus ibis,2,NA,Bubulcus ibis,Bubulcus ibis,Bubulcus ibis,Bubulcus ibis,Bubulcus ibis,Bubulcus ibis
Bucanetes githagineus,Bucanetes githagineus,2,NA,Bucanetes githagineus,Bucanetes githagineus,NA,Bucanetes githagineus,Bucanetes githagineus,Bucanetes githagineus
Bucanetes mongolicus,Bucanetes mongolicus,2,NA,Bucanetes mongolicus,Bucanetes mongolicus,NA,Bucanetes mongolicus,NA,Bucanetes mongolicus
Bucephala clangula,Bucephala clangula,2,NA,Bucephala clangula,Bucephala clangula,Bucephala clangula,Bucephala clangula,Bucephala clangula,Bucephala clangula
Bucephala islandica,Bucephala islandica,2,NA,Bucephala islandica,Bucephala islandica,Bucephala islandica,Bucephala islandica,Bucephala islandica,Bucephala islandica
Bulweria bulwerii,Bulweria bulwerii,2,NA,Bulweria bulwerii,Bulweria bulwerii,Bulweria bulwerii,Bulweria bulwerii,Bulweria bulwerii,Bulweria bulwerii
Burhinus oedicnemus,Burhinus oedicnemus,2,NA,Burhinus oedicnemus,Burhinus oedicnemus,NA,Burhinus oedicnemus,Burhinus oedicnemus,Burhinus oedicnemus
Buteo buteo,Buteo buteo,2,NA,Buteo buteo,Buteo buteo,NA,Buteo buteo,Buteo buteo,Buteo buteo
Buteo lagopus,Buteo lagopus,2,NA,Buteo lagopus,Buteo lagopus,Buteo lagopus,Buteo lagopus,Buteo lagopus,Buteo lagopus
Buteo rufinus,Buteo rufinus,2,NA,Buteo rufinus,Buteo rufinus,NA,Buteo rufinus,Buteo rufinus,Buteo rufinus
Cairina moschata,Cairina moschata,2,NA,Cairina moschata,Cairina moschata,Cairina moschata,Cairina moschata,Cairina moschata,Cairina moschata
Calandrella brachydactyla,Calandrella brachydactyla,2,NA,Calandrella brachydactyla,Calandrella brachydactyla,NA,Calandrella brachydactyla,Calandrella brachydactyla,Calandrella brachydactyla
Calcarius lapponicus,Calcarius lapponicus,2,NA,Calcarius lapponicus,Calcarius lapponicus,Calcarius lapponicus,Calcarius lapponicus,Calcarius lapponicus,Calcarius lapponicus
Calidris alba,Calidris alba,2,NA,Calidris alba,Calidris alba,Calidris alba,Calidris alba,Calidris alba,Calidris alba
Calidris alpina,Calidris alpina,2,NA,Calidris alpina,Calidris alpina,Calidris alpina,Calidris alpina,Calidris alpina,Calidris alpina
Calidris canutus,Calidris canutus,2,NA,Calidris canutus,Calidris canutus,Calidris canutus,Calidris canutus,Calidris canutus,Calidris canutus
Calidris falcinellus,Calidris falcinellus,2,NA,Calidris falcinellus,Calidris falcinellus,Calidris falcinellus,Calidris falcinellus,NA,Calidris falcinellus
Calidris maritima,Calidris maritima,2,NA,Calidris maritima,Calidris maritima,Calidris maritima,Calidris maritima,Calidris maritima,Calidris maritima
Calidris melanotos,Calidris melanotos,2,NA,Calidris melanotos,Calidris melanotos,Calidris melanotos,Calidris melanotos,Calidris melanotos,Calidris melanotos
Calidris minuta,Calidris minuta,2,NA,Calidris minuta,Calidris minuta,Calidris minuta,Calidris minuta,Calidris minuta,Calidris minuta
Calidris pugnax,Calidris pugnax,2,NA,Calidris pugnax,Calidris pugnax,Calidris pugnax,Calidris pugnax,NA,Calidris pugnax
Calidris temminckii,Calidris temminckii,2,NA,Calidris temminckii,Calidris temminckii,Calidris temminckii,Calidris temminckii,Calidris temminckii,Calidris temminckii
Calliope calliope,Calliope calliope,2,NA,Calliope calliope,Calliope calliope,Calliope calliope,Calliope calliope,NA,NA
Callipepla californica,Callipepla californica,2,NA,Callipepla californica,Callipepla californica,Callipepla californica,Callipepla californica,Callipepla californica,Callipepla californica
Callonetta leucophrys,Callonetta leucophrys,2,NA,Callonetta leucophrys,Callonetta leucophrys,NA,Callonetta leucophrys,Callonetta leucophrys,Callonetta leucophrys
Calonectris borealis,Calonectris borealis,2,NA,Calonectris borealis,NA,NA,Calonectris borealis,NA,Calonectris borealis
Calonectris diomedea,Calonectris diomedea,2,NA,Calonectris diomedea,Calonectris diomedea,Calonectris diomedea,Calonectris diomedea,Calonectris diomedea,Calonectris diomedea
Calonectris edwardsii,Calonectris edwardsii,2,NA,Calonectris edwardsii,Calonectris edwardsii,Calonectris edwardsii,Calonectris edwardsii,Calonectris edwardsii,Calonectris edwardsii
Caprimulgus europaeus,Caprimulgus europaeus,2,NA,Caprimulgus europaeus,Caprimulgus europaeus,NA,Caprimulgus europaeus,Caprimulgus europaeus,Caprimulgus europaeus
