original_verbatim_name,name_in_data,wordCount,cellID,submitted_name,Birds of the World,eBird/Clements,American Ornithological Society,GBIF,BirdLife
Garrulus glandarius,Garrulus glandarius,2,NA,Garrulus glandarius,Garrulus glandarius,Garrulus glandarius,NA,Garrulus glandarius,Garrulus glandarius
Garrulus lidthi,Garrulus lidthi,2,NA,Garrulus lidthi,Garrulus lidthi,Garrulus lidthi,NA,Garrulus lidthi,Garrulus lidthi
Glareola maldivarum,Glareola maldivarum,2,NA,Glareola maldivarum,Glareola maldivarum,Glareola maldivarum,Glareola maldivarum,Glareola maldivarum,Glareola maldivarum
Gorsachius goisagi,Gorsachius goisagi,2,NA,Gorsachius goisagi,Gorsachius goisagi,Gorsachius goisagi,NA,Gorsachius goisagi,Gorsachius goisagi
Gorsachius melanolophus,Gorsachius melanolophus,2,NA,Gorsachius melanolophus,Gorsachius melanolophus,Gorsachius melanolophus,NA,Gorsachius melanolophus,Gorsachius melanolophus
Grus japonensis,Grus japonensis,2,NA,Grus japonensis,Grus japonensis,Grus japonensis,NA,Grus japonensis,Grus japonensis
Halcyon coromanda,Halcyon coromanda,2,NA,Halcyon coromanda,Halcyon coromanda,Halcyon coromanda,NA,Halcyon coromanda,Halcyon coromanda
Haliaeetus albicilla,Haliaeetus albicilla,2,NA,Haliaeetus albicilla,Haliaeetus albicilla,Haliaeetus albicilla,Haliaeetus albicilla,Haliaeetus albicilla,Haliaeetus albicilla
Hierococcyx hyperythrus,Hierococcyx hyperythrus,2,NA,Hierococcyx hyperythrus,Hierococcyx hyperythrus,Hierococcyx hyperythrus,NA,Hierococcyx hyperythrus,Hierococcyx hyperythrus
Himantopus himantopus,Himantopus himantopus,2,NA,Himantopus himantopus,Himantopus himantopus,Himantopus himantopus,Himantopus himantopus,Himantopus himantopus,Himantopus himantopus
Hirundapus caudacutus,Hirundapus caudacutus,2,NA,Hirundapus caudacutus,Hirundapus caudacutus,Hirundapus caudacutus,Hirundapus caudacutus,Hirundapus caudacutus,Hirundapus caudacutus
Hirundo daurica,Hirundo daurica,2,NA,Hirundo daurica,NA,NA,NA,Hirundo daurica,Hirundo daurica
Hirundo rustica,Hirundo rustica,2,NA,Hirundo rustica,Hirundo rustica,Hirundo rustica,Hirundo rustica,Hirundo rustica,Hirundo rustica
Hirundo tahitica,Hirundo tahitica,2,NA,Hirundo tahitica,Hirundo tahitica,Hirundo tahitica,NA,Hirundo tahitica,Hirundo tahitica
Histrionicus histrionicus,Histrionicus histrionicus,2,NA,Histrionicus histrionicus,Histrionicus histrionicus,Histrionicus histrionicus,Histrionicus histrionicus,Histrionicus histrionicus,Histrionicus histrionicus
Hypsipetes amaurotis,Hypsipetes amaurotis,2,NA,Hypsipetes amaurotis,Hypsipetes amaurotis,Hypsipetes amaurotis,NA,Hypsipetes amaurotis,NA
Ixobrychus cinnamomeus,Ixobrychus cinnamomeus,2,NA,Ixobrychus cinnamomeus,Ixobrychus cinnamomeus,Ixobrychus cinnamomeus,NA,Ixobrychus cinnamomeus,Ixobrychus cinnamomeus
Ixobrychus sinensis,Ixobrychus sinensis,2,NA,Ixobrychus sinensis,Ixobrychus sinensis,Ixobrychus sinensis,Ixobrychus sinensis,Ixobrychus sinensis,Ixobrychus sinensis
Jynx torquilla,Jynx torquilla,2,NA,Jynx torquilla,Jynx torquilla,Jynx torquilla,Jynx torquilla,Jynx torquilla,Jynx torquilla
Lagopus muta,Lagopus muta,2,NA,Lagopus muta,Lagopus muta,Lagopus muta,Lagopus muta,Lagopus muta,Lagopus muta
Lanius bucephalus,Lanius bucephalus,2,NA,Lanius bucephalus,Lanius bucephalus,Lanius bucephalus,NA,Lanius bucephalus,Lanius bucephalus
Lanius cristatus,Lanius cristatus,2,NA,Lanius cristatus,Lanius cristatus,Lanius cristatus,Lanius cristatus,Lanius cristatus,Lanius cristatus
Lanius tigrinus,Lanius tigrinus,2,NA,Lanius tigrinus,Lanius tigrinus,Lanius tigrinus,NA,Lanius tigrinus,Lanius tigrinus
Larus crassirostris,Larus crassirostris,2,NA,Larus crassirostris,Larus crassirostris,Larus crassirostris,Larus crassirostris,Larus crassirostris,Larus crassirostris
Larus schistisagus,Larus schistisagus,2,NA,Larus schistisagus,Larus schistisagus,Larus schistisagus,Larus schistisagus,Larus schistisagus,Larus schistisagus
Leiothrix lutea,Leiothrix lutea,2,NA,Leiothrix lutea,Leiothrix lutea,Leiothrix lutea,Leiothrix lutea,Leiothrix lutea,Leiothrix lutea
Locustella fasciolata,Locustella fasciolata,2,NA,Locustella fasciolata,Locustella fasciolata,NA,NA,Locustella fasciolata,Locustella fasciolata
Locustella lanceolata,Locustella lanceolata,2,NA,Locustella lanceolata,Locustella lanceolata,Locustella lanceolata,Locustella lanceolata,Locustella lanceolata,Locustella lanceolata
Locustella ochotensis,Locustella ochotensis,2,NA,Locustella ochotensis,Locustella ochotensis,NA,Locustella ochotensis,Locustella ochotensis,Locustella ochotensis
Locustella pleskei,Locustella pleskei,2,NA,Locustella pleskei,Locustella pleskei,NA,NA,Locustella pleskei,Locustella pleskei
Locustella pryeri,Locustella pryeri,2,NA,Locustella pryeri,Locustella pryeri,NA,NA,Locustella pryeri,Locustella pryeri
Lonchura atricapilla,Lonchura atricapilla,2,NA,Lonchura atricapilla,Lonchura atricapilla,Lonchura atricapilla,Lonchura atricapilla,Lonchura atricapilla,Lonchura atricapilla
Lonchura malacca,Lonchura malacca,2,NA,Lonchura malacca,Lonchura malacca,Lonchura malacca,Lonchura malacca,Lonchura malacca,Lonchura malacca
Lonchura punctulata,Lonchura punctulata,2,NA,Lonchura punctulata,Lonchura punctulata,Lonchura punctulata,Lonchura punctulata,Lonchura punctulata,Lonchura punctulata
Lonchura striata,Lonchura striata,2,NA,Lonchura striata,Lonchura striata,Lonchura striata,NA,Lonchura striata,Lonchura striata
Loxia curvirostra,Loxia curvirostra,2,NA,Loxia curvirostra,Loxia curvirostra,Loxia curvirostra,Loxia curvirostra,Loxia curvirostra,Loxia curvirostra
Luscinia akahige,Luscinia akahige,2,NA,Luscinia akahige,NA,NA,NA,Luscinia akahige,NA
Luscinia calliope,Luscinia calliope,2,NA,Luscinia calliope,Luscinia calliope,NA,NA,Luscinia calliope,Luscinia calliope
Luscinia cyane,Luscinia cyane,2,NA,Luscinia cyane,Luscinia cyane,NA,NA,Luscinia cyane,Luscinia cyane
Luscinia komadori,Luscinia komadori,2,NA,Luscinia komadori,NA,NA,NA,Luscinia komadori,NA
Megaceryle lugubris,Megaceryle lugubris,2,NA,Megaceryle lugubris,Megaceryle lugubris,Megaceryle lugubris,NA,Megaceryle lugubris,Megaceryle lugubris
Melopsittacus undulatus,Melopsittacus undulatus,2,NA,Melopsittacus undulatus,Melopsittacus undulatus,Melopsittacus undulatus,NA,Melopsittacus undulatus,Melopsittacus undulatus
Mergus merganser,Mergus merganser,2,NA,Mergus merganser,Mergus merganser,Mergus merganser,Mergus merganser,Mergus merganser,Mergus merganser
Milvus migrans,Milvus migrans,2,NA,Milvus migrans,Milvus migrans,Milvus migrans,Milvus migrans,Milvus migrans,Milvus migrans
