scientificName
Kupeornis gilberti
Kupeornis rufocinctus
Lagonosticta nitidula
Lagonosticta rara
Lagonosticta rufopicta
Pycnonotus brunneus
Pycnonotus capensis
Lalage leucopyga
Lalage nigra
Lalage sharpei
Lalage tricolor
Lamprospiza melanoleuca
Lamprotornis acuticaudus
Heteroscenes pallidus
Lamprotornis chalcurus
Lamprotornis chalybaeus
Lamprotornis hildebrandti
Lamprotornis ornatus
Lamprotornis purpuroptera
Lamprotornis shelleyi
Laniarius atroflavus
Laniarius barbarus
Laniarius bicolor
Laniarius erythrogaster
Laniarius ferrugineus
Laniarius funebris
Laniarius luehderi
Lamprotornis superbus
Laniarius amboimensis
Laniarius mufumbiri
Laniarius ruficeps
Laniarius turatii
Pycnonotus goiavier
Laniarius atrococcineus
Lanius ludovicianus
Lanioturdus torquatus
Lanio aurantius
Lanio fulvus
Lathrotriccus griseipectus
Lanius tephronotus
Lanius tigrinus
Chalcites megarhynchus
Chalcites meyerii
Lanio versicolor
Lanius cabanisi
Lanius collurioides
Lanius cristatus
Lanius dorsalis
Lanius excubitoroides
Lanius mackinnoni
Lanius minor
Lathrotriccus euleri
Lanius somalicus
Leonardina woodi
Anas marecula
Lepidocolaptes lacrymiger
Leucopeza semperi
Lepidocolaptes leucogaster
Lepidocolaptes souleyetii
Lepidocolaptes squamatus
Lepidothrix coeruleocapilla
Egretta tricolor
Lepidothrix coronata
Lepidothrix nattereri
Lepidothrix serena
Melanoptila glabrirostris
Lepidothrix suavissima
Leptasthenura fuliginiceps
Leptasthenura pileata
Leptasthenura platensis
Leptopogon amaurocephalus
Leptasthenura setaria
Leptopogon taczanowskii
Leptopterus chabert
Lessonia oreas
Lessonia rufa
Leptasthenura striata
Coccycua minuta
Leptasthenura striolata
Leptasthenura xenothorax
Leptopoecile sophiae
Coccycua pumila
Leucosticte atrata
Leucosticte australis
Balaeniceps rex
Lichmera alboauricularis
Lichmera argentauris
Loxigilla barbadensis
Balearica pavonina
Balearica regulorum
Lichmera deningeri
Lichenostomus cratitius
Lichenostomus melanops
Lichmera flavicans
Lichmera incana
Lipaugus weberi
Lochmias nematura
Helopsaltes certhiola
Lichmera lombokia
Lichmera monticola
Lichmera notabilis
Lichmera squamata
Limnoctites rectirostris
Limnornis curvirostris
Liocichla steerii
Locustella luscinioides
Loxioides bailleui
Lipaugus streptophorus
Lonchura atricapilla
Lipaugus unirufus
Lipaugus vociferans
Helopsaltes ochotensis
Lonchura striata
Lonchura teerinki
Lonchura flaviprymna
Lonchura forbesi
Lonchura fuscans
Lonchura grandis
Passer iagoensis
Scytalopus schulenbergi
Lonchura leucogastra
Lonchura leucogastroides
Lonchura maja
Lonchura montana
Lonchura monticola
Lonchura nevermanni
Lonchura punctulata
Lonchura quinticolor
Lonchura spectabilis
Lophospingus griseocristatus
Phylloscopus occipitalis
Lophotriccus eulophotes
Lophotriccus vitiosus
Malimbus ibadanensis
Malimbus malimbicus
Luscinia luscinia
Macgregoria pulchra
Loxia pytyopsittacus
Malimbus racheliae
Malimbus scutatus
Malurus amabilis
Malurus coronatus
Malurus cyaneus
Loxia scotica
Malurus elegans
Malurus leucopterus
Loxipasser anoxanthus
Loxops caeruleirostris
Mackenziaena severa
Macroagelaius imthurni
Macronyx ameliae
Macronyx aurantiigula
Macronyx capensis
Macronyx croceus
Malurus melanocephalus
Malurus pulcherrimus
Macronyx flavicollis
Macrosphenus concolor
Macrosphenus flavicans
Macrosphenus kretschmeri
Malaconotus alius
Malaconotus blanchoti
Malaconotus cruentus
Malurus splendens
Madanga ruficollis
Malia grata
Manacus candei
Phylloscopus olivaceus
Malacocincla abbotti
Malacocincla perspicillata
Malacocincla sepiaria
Manacus vitellinus
Malacopteron affine
Malacopteron cinereum
Malacopteron magnum
Malacopteron palawanense
Malcorus pectoralis
Manucodia jobiensis
Phylloscopus proregulus
Malimbus erythrogaster
Mitrephanes olivaceus
Manorina flavigula
Manorina melanophrys
Mecocerculus calopterus
Manucodia chalybatus
Margarornis stellatus
Mecocerculus hellmayri
Margarornis rubiginosus
Margarornis squamiger
Megalurus palustris
Megarynchus pitangua
Masius chrysopterus
