"","sp_atlas","Accepted_SPNAME","sp_sci_name"
"280","Dolichonyx oryzivorus","Dolichonyx oryzivorus","Dolichonyx oryzivorus"
"281","Dryobates minor","Dryobates minor","Dendrocopos owstoni"
"282","Dryobates minor","Dryobates minor","Dryobates minor"
"283","Dryocopus martius","Dryocopus martius","Dryocopus martius"
"284","Dryocopus pileatus","Dryocopus pileatus",NA
"285","Dumetella carolinensis","Dumetella carolinensis","Dumetella carolinensis"
"286","Egretta caerulea","Egretta caerulea","Egretta caerulea"
"287","Egretta garzetta","Egretta garzetta","Egretta garzetta"
"288","Egretta intermedia","Egretta intermedia",NA
"289","Egretta sacra","Egretta sacra","Egretta sacra"
"290","Egretta thula","Egretta thula","Egretta thula"
"291","Egretta tricolor","Egretta tricolor","Egretta tricolor"
"292","Elanus caeruleus","Elanus caeruleus","Elanus caeruleus"
"293","Emberiza aureola","Emberiza aureola","Emberiza aureola"
"294","Emberiza caesia","Emberiza caesia","Emberiza caesia"
"295","Emberiza calandra","Emberiza calandra","Emberiza calandra"
"296","Emberiza cia","Emberiza cia","Emberiza cia"
"297","Emberiza cioides","Emberiza cioides","Emberiza cioides"
"298","Emberiza cirlus","Emberiza cirlus","Emberiza cirlus"
"299","Emberiza citrinella","Emberiza citrinella","Emberiza citrinella"
"300","Emberiza fucata","Emberiza fucata","Emberiza fucata"
"301","Emberiza hortulana","Emberiza hortulana","Emberiza hortulana"
"302","Emberiza melanocephala","Emberiza melanocephala","Emberiza melanocephala"
"303","Emberiza pusilla","Emberiza pusilla","Emberiza pusilla"
"304","Emberiza rustica","Emberiza rustica","Emberiza rustica"
"305","Emberiza schoeniclus","Emberiza schoeniclus","Emberiza schoeniclus"
"306","Emberiza spodocephala","Emberiza spodocephala","Emberiza spodocephala"
"307","Emberiza sulphurata","Emberiza sulphurata","Emberiza sulphurata"
"308","Emberiza variabilis","Emberiza variabilis","Emberiza variabilis"
"309","Emberiza yessoensis","Emberiza yessoensis","Emberiza yessoensis"
"310","Empidonax alnorum","Empidonax alnorum","Empidonax alnorum"
