occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Phaethornis stuarti","Phaethornis stuarti Hartert, 1897","2476605","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Phaethornis","Phaethornis stuarti","Phaethornis stuarti","Hartert, 1897","2476605",
,"Arremon axillaris","Arremon axillaris P.L.Sclater, 1854","8785265","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Arremon","Arremon taciturnus","Arremon axillaris","P.L.Sclater, 1854","8785265","6173570"
,"Phaethornis philippii","Phaethornis philippii (Bourcier, 1847)","2476598","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Phaethornis","Phaethornis philippii","Phaethornis philippii","(Bourcier, 1847) ","2476598",
,"Phaethornis porcullae","Phaethornis porcullae Carriker, 1935","7772252","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Phaethornis","Phaethornis porcullae","Phaethornis porcullae","Carriker, 1935","7772252",
,"Phaethornis rupurumii","Phaethornis rupurumii Boucard, 1892","2476580","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Phaethornis","Phaethornis rupurumii","Phaethornis rupurumii","Boucard, 1892","2476580",
,"Phaethornis pretrei","Phaethornis pretrei (R.Lesson & Delattre, 1839)","2476599","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Phaethornis","Phaethornis pretrei","Phaethornis pretrei","(R.Lesson & Delattre, 1839) ","2476599",
,"Phaethornis ruber","Phaethornis ruber (Linnaeus, 1758)","2476636","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Phaethornis","Phaethornis ruber","Phaethornis ruber","(Linnaeus, 1758) ","2476636",
,"Phaethornis squalidus","Phaethornis squalidus (Temminck, 1822)","2476579","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Phaethornis","Phaethornis squalidus","Phaethornis squalidus","(Temminck, 1822) ","2476579",
,"Phaethornis subochraceus","Phaethornis subochraceus Todd, 1915","2476583","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Phaethornis","Phaethornis subochraceus","Phaethornis subochraceus","Todd, 1915","2476583",
,"Phaethornis superciliosus","Phaethornis superciliosus (Linnaeus, 1766)","2476573","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Phaethornis","Phaethornis superciliosus","Phaethornis superciliosus","(Linnaeus, 1766) ","2476573",
,"Phaetusa simplex","Phaetusa simplex (J.F.Gmelin, 1789)","5229213","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Phaetusa","Phaetusa simplex","Phaetusa simplex","(J.F.Gmelin, 1789) ","5229213",
,"Nannopterum auritus","Nannopterum auritum (R.P.Lesson, 1831)","9275717","FUZZY","96","SYNONYM","SPECIES","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax auritus","Nannopterum auritum","(R.P.Lesson, 1831) ","9275717","2481875"
,"Platycercus eximius","Platycercus eximius (Shaw, 1792)","2479329","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Platycercus","Platycercus eximius","Platycercus eximius","(Shaw, 1792) ","2479329",
,"Platycercus icterotis","Platycercus icterotis (Temminck & Kuhl, 1820)","2479320","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Platycercus","Platycercus icterotis","Platycercus icterotis","(Temminck & Kuhl, 1820) ","2479320",
,"Platycercus venustus","Platycercus venustus (Kuhl, 1820)","2479323","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Platycercus","Platycercus venustus","Platycercus venustus","(Kuhl, 1820) ","2479323",
,"Phaethornis syrmatophorus","Phaethornis syrmatophorus Gould, 1852","2476589","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Phaethornis","Phaethornis syrmatophorus","Phaethornis syrmatophorus","Gould, 1852","2476589",
,"Leucocarbo bougainvilliorum","Leucocarbo bougainvilliorum (Lesson, 1837)","10740295","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Leucocarbo","Leucocarbo bougainvilliorum","Leucocarbo bougainvilliorum","(Lesson, 1837) ","10740295",
,"Nannopterum brasilianus","Nannopterum brasilianum (J.F.Gmelin, 1789)","9585234","FUZZY","96","SYNONYM","SPECIES","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax brasilianus","Nannopterum brasilianum","(J.F.Gmelin, 1789) ","9585234","9399113"
,"Leucocarbo colensoi","Leucocarbo colensoi (Buller, 1888)","4848923","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Leucocarbo","Leucocarbo colensoi","Leucocarbo colensoi","(Buller, 1888) ","4848923",
,"Phalacrocorax featherstoni","Phalacrocorax featherstoni Buller, 1873","2481885","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax featherstoni","Phalacrocorax featherstoni","Buller, 1873","2481885",
,"Phalacrocorax fuscescens","Phalacrocorax fuscescens (Vieillot, 1817)","2481867","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax fuscescens","Phalacrocorax fuscescens","(Vieillot, 1817) ","2481867",
,"Leucocarbo campbelli","Leucocarbo campbelli (Filhol, 1878)","4848925","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Leucocarbo","Leucocarbo campbelli","Leucocarbo campbelli","(Filhol, 1878) ","4848925",
,"Phasianus colchicus","Phasianus colchicus Linnaeus, 1758","9752149","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Galliformes","Phasianidae","Phasianus","Phasianus colchicus","Phasianus colchicus","Linnaeus, 1758","9752149",
,"Phasianus versicolor","Phasianus versicolor Vieillot, 1825","5227775","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Galliformes","Phasianidae","Phasianus","Phasianus versicolor","Phasianus versicolor","Vieillot, 1825","5227775",
,"Leucocarbo carunculatus","Leucocarbo carunculatus (Gmelin, 1789)","4848924","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Leucocarbo","Leucocarbo carunculatus","Leucocarbo carunculatus","(Gmelin, 1789) ","4848924",
,"Leucocarbo chalconotus","Leucocarbo chalconotus (G.R.Gray, 1845)","5789268","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Leucocarbo","Leucocarbo chalconotus","Leucocarbo chalconotus","(G.R.Gray, 1845) ","5789268",
,"Phalacrocorax neglectus","Phalacrocorax neglectus (Wahlberg, 1855)","2481873","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax neglectus","Phalacrocorax neglectus","(Wahlberg, 1855) ","2481873",
,"Leucocarbo onslowi","Leucocarbo onslowi (H.O.Forbes, 1893)","4848926","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Leucocarbo","Leucocarbo onslowi","Leucocarbo onslowi","(H.O.Forbes, 1893) ","4848926",
,"Leucocarbo ranfurlyi","Leucocarbo ranfurlyi (Ogilvie-Grant, 1901)","4848928","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Leucocarbo","Leucocarbo ranfurlyi","Leucocarbo ranfurlyi","(Ogilvie-Grant, 1901) ","4848928",
,"Phalacrocorax sulcirostris","Phalacrocorax sulcirostris (Brandt, 1837)","2481895","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax sulcirostris","Phalacrocorax sulcirostris","(Brandt, 1837) ","2481895",
,"Urile urile","Urile urile (J.F.Gmelin, 1789)","10980289","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax urile","Urile urile","(J.F.Gmelin, 1789) ","10980289","2481874"
,"Phalacrocorax varius","Phalacrocorax varius (Gmelin, 1789)","2481860","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax varius","Phalacrocorax varius","(Gmelin, 1789) ","2481860",
,"Leucocarbo verrucosus","Leucocarbo verrucosus (Cabanis, 1875)","6066497","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Leucocarbo","Leucocarbo verrucosus","Leucocarbo verrucosus","(Cabanis, 1875) ","6066497",
,"Phalaropus fulicarius","Phalaropus fulicarius (Linnaeus, 1758)","5229390","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Phalaropus","Phalaropus fulicarius","Phalaropus fulicarius","(Linnaeus, 1758) ","5229390",
