occurrenceId;sp_BirdTree;scientificName;key;matchType;confidence;status;rank;kingdom;phylum;class;order;family;genus;species;canonicalName;authorship;usageKey;acceptedUsageKey
;Conopophaga melanogaster;Conopophaga melanogaster Ménétriés, 1835;2488938;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Conopophagidae;Conopophaga;Conopophaga melanogaster;Conopophaga melanogaster;Ménétriés, 1835;2488938;
;Conopophaga castaneiceps;Conopophaga castaneiceps P.L.Sclater, 1857;2488936;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Conopophagidae;Conopophaga;Conopophaga castaneiceps;Conopophaga castaneiceps;P.L.Sclater, 1857;2488936;
;Conopophaga cearae;Conopophaga cearae Cory, 1916;6101035;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Conopophagidae;Conopophaga;Conopophaga cearae;Conopophaga cearae;Cory, 1916;6101035;
;Conopophaga lineata;Conopophaga lineata (Wied-Neuwied, 1831);2488933;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Conopophagidae;Conopophaga;Conopophaga lineata;Conopophaga lineata;(Wied-Neuwied, 1831) ;2488933;
;Conopophaga aurita;Conopophaga aurita (Gmelin, 1789);2488939;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Conopophagidae;Conopophaga;Conopophaga aurita;Conopophaga aurita;(Gmelin, 1789) ;2488939;
;Conopophaga peruviana;Conopophaga peruviana Des Murs, 1856;2488932;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Conopophagidae;Conopophaga;Conopophaga peruviana;Conopophaga peruviana;Des Murs, 1856;2488932;
;Conopophaga melanops;Conopophaga melanops (Vieillot, 1818);2488935;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Conopophagidae;Conopophaga;Conopophaga melanops;Conopophaga melanops;(Vieillot, 1818) ;2488935;
;Conopophaga ardesiaca;Conopophaga ardesiaca Orbigny & Lafresnaye, 1837;2488934;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Conopophagidae;Conopophaga;Conopophaga ardesiaca;Conopophaga ardesiaca;Orbigny & Lafresnaye, 1837;2488934;
;Melanopareia maximiliani;Melanopareia maximiliani (Orbigny, 1835);2491016;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Melanopareiidae;Melanopareia;Melanopareia maximiliani;Melanopareia maximiliani;(Orbigny, 1835) ;2491016;
;Melanopareia torquata;Melanopareia torquata (Wied-Neuwied, 1831);2491015;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Melanopareiidae;Melanopareia;Melanopareia torquata;Melanopareia torquata;(Wied-Neuwied, 1831) ;2491015;
;Melanopareia elegans;Melanopareia elegans (Lesson, 1844);2491017;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Melanopareiidae;Melanopareia;Melanopareia elegans;Melanopareia elegans;(Lesson, 1844) ;2491017;
;Melanopareia maranonica;Melanopareia maranonica Chapman, 1924;5789071;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Melanopareiidae;Melanopareia;Melanopareia maranonica;Melanopareia maranonica;Chapman, 1924;5789071;
;Xenops rutilans;Xenops rutilans Temminck, 1821;5230207;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Xenops;Xenops rutilans;Xenops rutilans;Temminck, 1821;5230207;
;Xenops minutus;Xenops minutus (Sparrman, 1788);5230220;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Xenops;Xenops minutus;Xenops minutus;(Sparrman, 1788) ;5230220;
;Xenops milleri;Xenops milleri (Chapman, 1914);5230219;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Xenops;Xenops milleri;Xenops milleri;(Chapman, 1914) ;5230219;
;Xenops tenuirostris;Xenops tenuirostris Pelzeln, 1859;9438773;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Xenops;Xenops tenuirostris;Xenops tenuirostris;Pelzeln, 1859;9438773;
;Ochetorhynchus melanura;Ochetorhynchus melanurus (G.R.Gray, 1846);7341332;FUZZY;96;SYNONYM;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Chilia;Chilia melanura;Ochetorhynchus melanurus;(G.R.Gray, 1846) ;7341332;2485899
;Ochetorhynchus ruficaudus;Ochetorhynchus ruficaudus Meyen, 1834;2485186;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Upucerthia;Upucerthia ruficaudus;Ochetorhynchus ruficaudus;Meyen, 1834;2485186;2485183
;Ochetorhynchus phoenicurus;Ochetorhynchus phoenicurus (Gould, 1839);5788781;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Eremobius;Eremobius phoenicurus;Ochetorhynchus phoenicurus;(Gould, 1839) ;5788781;5230280
;Ochetorhynchus andaecola;Ochetorhynchus andaecola (d'Orbigny & Lafresnaye, 1838);5788782;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Upucerthia;Upucerthia andaecola;Ochetorhynchus andaecola;(d'Orbigny & Lafresnaye, 1838) ;5788782;2485194
;Pygarrhichas albogularis;Pygarrhichas albogularis (King, 1831);2485838;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Pygarrhichas;Pygarrhichas albogularis;Pygarrhichas albogularis;(King, 1831) ;2485838;
;Heliobletus contaminatus;Heliobletus contaminatus Berlepsch, 1885;5230281;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Heliobletus;Heliobletus contaminatus;Heliobletus contaminatus;Berlepsch, 1885;5230281;
;Philydor pyrrhodes;Philydor pyrrhodes (Cabanis, 1848);2485705;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Philydor;Philydor pyrrhodes;Philydor pyrrhodes;(Cabanis, 1848) ;2485705;
;Philydor fuscipenne;Philydor fuscipenne Salvin, 1866;2485697;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Philydor;Philydor fuscipenne;Philydor fuscipenne;Salvin, 1866;2485697;
;Philydor ruficaudatum;Philydor ruficaudatum (Orbigny & Lafresnaye, 1838);2485708;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Philydor;Philydor ruficaudatum;Philydor ruficaudatum;(Orbigny & Lafresnaye, 1838) ;2485708;
;Philydor lichtensteini;Philydor lichtensteini Cabanis & Heine, 1859;2485706;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Philydor;Philydor lichtensteini;Philydor lichtensteini;Cabanis & Heine, 1859;2485706;
;Philydor novaesi;Philydor novaesi Teixeira & Gonzaga, 1983;2485729;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Philydor;Philydor novaesi;Philydor novaesi;Teixeira & Gonzaga, 1983;2485729;
;Philydor atricapillus;Philydor atricapillus (Wied-Neuwied, 1821);2485707;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Philydor;Philydor atricapillus;Philydor atricapillus;(Wied-Neuwied, 1821) ;2485707;
;Philydor erythropterum;Philydor erythropterum (P.L.Sclater, 1856);2485701;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Philydor;Philydor erythropterum;Philydor erythropterum;(P.L.Sclater, 1856) ;2485701;
;Philydor erythrocercum;Philydor erythrocercum (Pelzeln, 1859);2485721;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Philydor;Philydor erythrocercum;Philydor erythrocercum;(Pelzeln, 1859) ;2485721;
;Philydor rufum;Philydor rufum (Vieillot, 1818);2485712;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Philydor;Philydor rufum;Philydor rufum;(Vieillot, 1818) ;2485712;
;Anabazenops dorsalis;Anabazenops dorsalis (P.L.Sclater & Salvin, 1880);2485496;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Anabazenops;Anabazenops dorsalis;Anabazenops dorsalis;(P.L.Sclater & Salvin, 1880) ;2485496;
;Anabazenops fuscus;Anabazenops fuscus (Vieillot, 1816);2485495;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Anabazenops;Anabazenops fuscus;Anabazenops fuscus;(Vieillot, 1816) ;2485495;
;Megaxenops parnaguae;Megaxenops parnaguae Reiser, 1905;2485604;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Megaxenops;Megaxenops parnaguae;Megaxenops parnaguae;Reiser, 1905;2485604;
;Anabacerthia amaurotis;Anabacerthia amaurotis (Temminck, 1823);2485689;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Anabacerthia;Anabacerthia amaurotis;Anabacerthia amaurotis;(Temminck, 1823) ;2485689;
;Anabacerthia variegaticeps;Anabacerthia variegaticeps (P.L.Sclater, 1857);2485691;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Anabacerthia;Anabacerthia variegaticeps;Anabacerthia variegaticeps;(P.L.Sclater, 1857) ;2485691;
;Anabacerthia striaticollis;Anabacerthia striaticollis Lafresnaye, 1841;2485682;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Anabacerthia;Anabacerthia striaticollis;Anabacerthia striaticollis;Lafresnaye, 1841;2485682;
;Simoxenops striatus;Simoxenops striatus (Carriker, 1936);2485384;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Syndactyla;Syndactyla striata;Simoxenops striatus;(Carriker, 1936) ;2485384;2485383
;Simoxenops ucayalae;Simoxenops ucayalae (Chapman, 1928);2485373;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Syndactyla;Syndactyla ucayalae;Simoxenops ucayalae;(Chapman, 1928) ;2485373;2485372
;Syndactyla subalaris;Syndactyla subalaris (P.L.Sclater, 1859);2485362;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Syndactyla;Syndactyla subalaris;Syndactyla subalaris;(P.L.Sclater, 1859) ;2485362;
;Syndactyla guttulata;Syndactyla guttulata (P.L.Sclater, 1858);2485374;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Syndactyla;Syndactyla guttulata;Syndactyla guttulata;(P.L.Sclater, 1858) ;2485374;
;Syndactyla ruficollis;Syndactyla ruficollis (Taczanowski, 1884);2485371;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Syndactyla;Syndactyla ruficollis;Syndactyla ruficollis;(Taczanowski, 1884) ;2485371;
;Syndactyla roraimae;Syndactyla roraimae (Hellmayr, 1917);7340588;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Automolus;Automolus roraimae;Syndactyla roraimae;(Hellmayr, 1917) ;7340588;5230237
;Syndactyla rufosuperciliata;Syndactyla rufosuperciliata (Lafresnaye, 1832);2485377;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Syndactyla;Syndactyla rufosuperciliata;Syndactyla rufosuperciliata;(Lafresnaye, 1832) ;2485377;
;Syndactyla dimidiata;Syndactyla dimidiata (Pelzeln, 1859);2485357;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Syndactyla;Syndactyla dimidiata;Syndactyla dimidiata;(Pelzeln, 1859) ;2485357;
;Ancistrops strigilatus;Ancistrops strigilatus (Spix, 1825);2485039;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Ancistrops;Ancistrops strigilatus;Ancistrops strigilatus;(Spix, 1825) ;2485039;
;Cichlocolaptes leucophrus;Cichlocolaptes leucophrus (Jardine & Selby, 1830);2486001;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Cichlocolaptes;Cichlocolaptes leucophrus;Cichlocolaptes leucophrus;(Jardine & Selby, 1830) ;2486001;
;Clibanornis dendrocolaptoides;Clibanornis dendrocolaptoides (Pelzeln, 1859);2485780;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Clibanornis;Clibanornis dendrocolaptoides;Clibanornis dendrocolaptoides;(Pelzeln, 1859) ;2485780;
;Automolus rubiginosus;Automolus rubiginosus (P.L.Sclater, 1857);5230262;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Automolus;Automolus rubiginosus;Automolus rubiginosus;(P.L.Sclater, 1857) ;5230262;
;Hylocryptus erythrocephalus;Hylocryptus erythrocephalus Chapman, 1919;2485775;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Hylocryptus;Hylocryptus erythrocephalus;Hylocryptus erythrocephalus;Chapman, 1919;2485775;
;Hylocryptus rectirostris;Hylocryptus rectirostris (Wied-Neuwied, 1831);2485778;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Hylocryptus;Hylocryptus rectirostris;Hylocryptus rectirostris;(Wied-Neuwied, 1831) ;2485778;
;Automolus melanopezus;Automolus melanopezus (P.L.Sclater, 1858);5230235;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Automolus;Automolus melanopezus;Automolus melanopezus;(P.L.Sclater, 1858) ;5230235;
;Automolus rufipileatus;Automolus rufipileatus (Pelzeln, 1859);5230246;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Automolus;Automolus rufipileatus;Automolus rufipileatus;(Pelzeln, 1859) ;5230246;
;Thripadectes flammulatus;Thripadectes flammulatus (Eyton, 1849);2485272;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Thripadectes;Thripadectes flammulatus;Thripadectes flammulatus;(Eyton, 1849) ;2485272;
;Thripadectes holostictus;Thripadectes holostictus (P.L.Sclater & Salvin, 1876);2485265;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Thripadectes;Thripadectes holostictus;Thripadectes holostictus;(P.L.Sclater & Salvin, 1876) ;2485265;
;Thripadectes scrutator;Thripadectes scrutator Taczanowski, 1874;2485255;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Thripadectes;Thripadectes scrutator;Thripadectes scrutator;Taczanowski, 1874;2485255;
;Thripadectes rufobrunneus;Thripadectes rufobrunneus (Lawrence, 1865);2485264;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Thripadectes;Thripadectes rufobrunneus;Thripadectes rufobrunneus;(Lawrence, 1865) ;2485264;
;Thripadectes ignobilis;Thripadectes ignobilis (P.L.Sclater & Salvin, 1879);2485256;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Thripadectes;Thripadectes ignobilis;Thripadectes ignobilis;(P.L.Sclater & Salvin, 1879) ;2485256;
;Thripadectes melanorhynchus;Thripadectes melanorhynchus (Tschudi, 1844);2485269;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Thripadectes;Thripadectes melanorhynchus;Thripadectes melanorhynchus;(Tschudi, 1844) ;2485269;
;Thripadectes virgaticeps;Thripadectes virgaticeps Lawrence, 1874;2485257;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Thripadectes;Thripadectes virgaticeps;Thripadectes virgaticeps;Lawrence, 1874;2485257;
;Automolus leucophthalmus;Automolus leucophthalmus (Wied-Neuwied, 1821);5230242;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Automolus;Automolus leucophthalmus;Automolus leucophthalmus;(Wied-Neuwied, 1821) ;5230242;
;Automolus infuscatus;Automolus infuscatus (P.L.Sclater, 1856);5230257;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Automolus;Automolus infuscatus;Automolus infuscatus;(P.L.Sclater, 1856) ;5230257;
;Automolus ochrolaemus;Automolus ochrolaemus (Tschudi, 1844);5230249;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Automolus;Automolus ochrolaemus;Automolus ochrolaemus;(Tschudi, 1844) ;5230249;
;Hyloctistes virgatus;Hyloctistes Ridgway, 1909;2485498;HIGHERRANK;94;ACCEPTED;GENUS;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Hyloctistes;;Hyloctistes;Ridgway, 1909;2485498;
;Hyloctistes subulatus;Hyloctistes subulatus (Spix, 1824);2485499;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Hyloctistes;Hyloctistes subulatus;Hyloctistes subulatus;(Spix, 1824) ;2485499;
;Tarphonomus certhioides;Tarphonomus certhioides (d'Orbigny & Lafresnaye, 1838);7340653;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Upucerthia;Upucerthia certhioides;Tarphonomus certhioides;(d'Orbigny & Lafresnaye, 1838) ;7340653;2485174
;Tarphonomus harterti;Tarphonomus harterti (Berlepsch, 1892);5788799;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Upucerthia;Upucerthia harterti;Tarphonomus harterti;(Berlepsch, 1892) ;5788799;2485182
;Premnornis guttuligera;Premnornis guttuligera (P.L.Sclater, 1864);2485610;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Premnornis;Premnornis guttuligera;Premnornis guttuligera;(P.L.Sclater, 1864) ;2485610;
;Pseudocolaptes johnsoni;Pseudocolaptes johnsoni Lönnberg & Rendahl, 1922;6100763;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Pseudocolaptes;Pseudocolaptes johnsoni;Pseudocolaptes johnsoni;Lönnberg & Rendahl, 1922;6100763;
;Pseudocolaptes boissonneautii;Pseudocolaptes boissonneautii (Lafresnaye, 1840);2485617;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Pseudocolaptes;Pseudocolaptes boissonneautii;Pseudocolaptes boissonneautii;(Lafresnaye, 1840) ;2485617;
;Pseudocolaptes lawrencii;Pseudocolaptes lawrencii Ridgway, 1878;2485614;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Pseudocolaptes;Pseudocolaptes lawrencii;Pseudocolaptes lawrencii;Ridgway, 1878;2485614;
;Furnarius figulus;Furnarius figulus (Lichtenstein, 1823);2485827;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Furnarius;Furnarius figulus;Furnarius figulus;(Lichtenstein, 1823) ;2485827;
;Furnarius torridus;Furnarius torridus P.L.Sclater & Salvin, 1866;2485813;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Furnarius;Furnarius torridus;Furnarius torridus;P.L.Sclater & Salvin, 1866;2485813;
;Furnarius cinnamomeus;Furnarius cinnamomeus (R.P.Lesson, 1844);6100758;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Furnarius;Furnarius leucopus;Furnarius cinnamomeus;(R.P.Lesson, 1844) ;6100758;6171298
;Furnarius minor;Furnarius minor Pelzeln, 1858;2485830;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Furnarius;Furnarius minor;Furnarius minor;Pelzeln, 1858;2485830;
;Furnarius rufus;Furnarius rufus (Gmelin, 1788);2485821;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Furnarius;Furnarius rufus;Furnarius rufus;(Gmelin, 1788) ;2485821;
;Furnarius longirostris;Furnarius longirostris Pelzeln, 1856;6100757;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Furnarius;Furnarius longirostris;Furnarius longirostris;Pelzeln, 1856;6100757;
;Furnarius cristatus;Furnarius cristatus Burmeister, 1888;2485831;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Furnarius;Furnarius cristatus;Furnarius cristatus;Burmeister, 1888;2485831;
;Furnarius leucopus;Furnarius leucopus Swainson, 1838;9309489;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Furnarius;Furnarius leucopus;Furnarius leucopus;Swainson, 1838;9309489;
;Phleocryptes melanops;Phleocryptes melanops (Vieillot, 1817);2485989;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Phleocryptes;Phleocryptes melanops;Phleocryptes melanops;(Vieillot, 1817) ;2485989;
;Limnornis curvirostris;Limnornis curvirostris Gould, 1839;9280911;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Limnornis;Limnornis curvirostris;Limnornis curvirostris;Gould, 1839;9280911;
;Lochmias nematura;Lochmias nematura (Lichtenstein, 1823);2485506;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Lochmias;Lochmias nematura;Lochmias nematura;(Lichtenstein, 1823) ;2485506;
;Cinclodes albiventris;Cinclodes albiventris (Philippi & Landbeck, 1861);7341295;EXACT;98;SYNONYM;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Cinclodes;Cinclodes fuscus;Cinclodes albiventris;(Philippi & Landbeck, 1861) ;7341295;6171119
;Cinclodes comechingonus;Cinclodes comechingonus Zotta & Gavio, 1944;2485052;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Cinclodes;Cinclodes comechingonus;Cinclodes comechingonus;Zotta & Gavio, 1944;2485052;
;Cinclodes albidiventris;Cinclodes albidiventris P.L.Sclater, 1860;9434745;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Cinclodes;Cinclodes albidiventris;Cinclodes albidiventris;P.L.Sclater, 1860;9434745;
;Cinclodes olrogi;Cinclodes olrogi Nores & Yzurieta, 1979;2485081;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Cinclodes;Cinclodes olrogi;Cinclodes olrogi;Nores & Yzurieta, 1979;2485081;
;Cinclodes oustaleti;Cinclodes oustaleti Scott, 1900;2485054;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Cinclodes;Cinclodes oustaleti;Cinclodes oustaleti;Scott, 1900;2485054;
;Cinclodes fuscus;Cinclodes fuscus (Vieillot, 1818);2485069;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Cinclodes;Cinclodes fuscus;Cinclodes fuscus;(Vieillot, 1818) ;2485069;
;Cinclodes antarcticus;Cinclodes antarcticus (Garnot, 1826);2485049;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Cinclodes;Cinclodes antarcticus;Cinclodes antarcticus;(Garnot, 1826) ;2485049;
;Cinclodes atacamensis;Cinclodes atacamensis (Philippi, 1857);2485061;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Cinclodes;Cinclodes atacamensis;Cinclodes atacamensis;(Philippi, 1857) ;2485061;
;Cinclodes patagonicus;Cinclodes patagonicus (Gmelin, 1789);2485058;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Cinclodes;Cinclodes patagonicus;Cinclodes patagonicus;(Gmelin, 1789) ;2485058;
;Cinclodes taczanowskii;Cinclodes taczanowskii Berlepsch & Stolzmann, 1892;2485068;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Cinclodes;Cinclodes taczanowskii;Cinclodes taczanowskii;Berlepsch & Stolzmann, 1892;2485068;
;Cinclodes nigrofumosus;Cinclodes nigrofumosus (Orbigny & Lafresnaye, 1838);2485053;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Cinclodes;Cinclodes nigrofumosus;Cinclodes nigrofumosus;(Orbigny & Lafresnaye, 1838) ;2485053;
;Cinclodes palliatus;Cinclodes palliatus (Tschudi, 1844);2485082;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Cinclodes;Cinclodes palliatus;Cinclodes palliatus;(Tschudi, 1844) ;2485082;
;Cinclodes aricomae;Cinclodes aricomae (Carriker, 1932);2485048;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Cinclodes;Cinclodes aricomae;Cinclodes aricomae;(Carriker, 1932) ;2485048;
;Cinclodes excelsior;Cinclodes excelsior P.L.Sclater, 1860;2485064;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Cinclodes;Cinclodes excelsior;Cinclodes excelsior;P.L.Sclater, 1860;2485064;
;Cinclodes pabsti;Cinclodes pabsti Sick, 1969;2485067;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Cinclodes;Cinclodes pabsti;Cinclodes pabsti;Sick, 1969;2485067;
;Upucerthia jelskii;Upucerthia jelskii (Cabanis, 1874);2485170;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Upucerthia;Upucerthia jelskii;Upucerthia jelskii;(Cabanis, 1874) ;2485170;
;Upucerthia validirostris;Upucerthia validirostris (Burmeister, 1861);2485167;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Upucerthia;Upucerthia validirostris;Upucerthia validirostris;(Burmeister, 1861) ;2485167;
;Upucerthia albigula;Upucerthia albigula Hellmayr, 1932;2485178;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Upucerthia;Upucerthia albigula;Upucerthia albigula;Hellmayr, 1932;2485178;
;Upucerthia saturatior;Upucerthia saturatior Scott & Wed, 1900;5788790;EXACT;99;ACCEPTED;SPECIES;Animalia;Chordata;Aves;Passeriformes;Furnariidae;Upucerthia;Upucerthia saturatior;Upucerthia saturatior;Scott & Wed, 1900;5788790;
