original_verbatim_name,name_in_data,wordCount,cellID,submitted_name,Birds of the World,eBird/Clements,American Ornithological Society,GBIF,BirdLife
Dendroica striata,Dendroica striata,2,NA,Dendroica striata,Dendroica striata,NA,NA,Dendroica striata,Dendroica striata
Dendroica tigrina,Dendroica tigrina,2,NA,Dendroica tigrina,Dendroica tigrina,NA,NA,Dendroica tigrina,Dendroica tigrina
Dendroica virens,Dendroica virens,2,NA,Dendroica virens,Dendroica virens,NA,NA,Dendroica virens,Dendroica virens
Dolichonyx oryzivorus,Dolichonyx oryzivorus,2,NA,Dolichonyx oryzivorus,Dolichonyx oryzivorus,Dolichonyx oryzivorus,Dolichonyx oryzivorus,Dolichonyx oryzivorus,Dolichonyx oryzivorus
Dryocopus pileatus,Dryocopus pileatus,2,NA,Dryocopus pileatus,Dryocopus pileatus,Dryocopus pileatus,Dryocopus pileatus,Dryocopus pileatus,Dryocopus pileatus
Dumetella carolinensis,Dumetella carolinensis,2,NA,Dumetella carolinensis,Dumetella carolinensis,Dumetella carolinensis,Dumetella carolinensis,Dumetella carolinensis,Dumetella carolinensis
Egretta caerulea,Egretta caerulea,2,NA,Egretta caerulea,Egretta caerulea,Egretta caerulea,Egretta caerulea,Egretta caerulea,Egretta caerulea
Egretta thula,Egretta thula,2,NA,Egretta thula,Egretta thula,Egretta thula,Egretta thula,Egretta thula,Egretta thula
Egretta tricolor,Egretta tricolor,2,NA,Egretta tricolor,Egretta tricolor,Egretta tricolor,Egretta tricolor,Egretta tricolor,Egretta tricolor
Empidonax alnorum,Empidonax alnorum,2,NA,Empidonax alnorum,Empidonax alnorum,Empidonax alnorum,Empidonax alnorum,Empidonax alnorum,Empidonax alnorum
Empidonax flaviventris,Empidonax flaviventris,2,NA,Empidonax flaviventris,Empidonax flaviventris,Empidonax flaviventris,Empidonax flaviventris,Empidonax flaviventris,Empidonax flaviventris
Empidonax minimus,Empidonax minimus,2,NA,Empidonax minimus,Empidonax minimus,Empidonax minimus,Empidonax minimus,Empidonax minimus,Empidonax minimus
Empidonax traillii,Empidonax traillii,2,NA,Empidonax traillii,Empidonax traillii,Empidonax traillii,Empidonax traillii,Empidonax traillii,Empidonax traillii
Empidonax virescens,Empidonax virescens,2,NA,Empidonax virescens,Empidonax virescens,Empidonax virescens,Empidonax virescens,Empidonax virescens,Empidonax virescens
Eremophila alpestris,Eremophila alpestris,2,NA,Eremophila alpestris,Eremophila alpestris,Eremophila alpestris,Eremophila alpestris,Eremophila alpestris,Eremophila alpestris
Euphagus carolinus,Euphagus carolinus,2,NA,Euphagus carolinus,Euphagus carolinus,Euphagus carolinus,Euphagus carolinus,Euphagus carolinus,Euphagus carolinus
Euphagus cyanocephalus,Euphagus cyanocephalus,2,NA,Euphagus cyanocephalus,Euphagus cyanocephalus,Euphagus cyanocephalus,Euphagus cyanocephalus,Euphagus cyanocephalus,Euphagus cyanocephalus
Falcipennis canadensis,Falcipennis canadensis,2,NA,Falcipennis canadensis,Falcipennis canadensis,NA,Falcipennis canadensis,Falcipennis canadensis,Falcipennis canadensis
Falco columbarius,Falco columbarius,2,NA,Falco columbarius,Falco columbarius,Falco columbarius,Falco columbarius,Falco columbarius,Falco columbarius
Falco peregrinus,Falco peregrinus,2,NA,Falco peregrinus,Falco peregrinus,Falco peregrinus,Falco peregrinus,Falco peregrinus,Falco peregrinus
Falco sparverius,Falco sparverius,2,NA,Falco sparverius,Falco sparverius,Falco sparverius,Falco sparverius,Falco sparverius,Falco sparverius
Fulica americana,Fulica americana,2,NA,Fulica americana,Fulica americana,Fulica americana,Fulica americana,Fulica americana,Fulica americana
Gallinago delicata,Gallinago delicata,2,NA,Gallinago delicata,Gallinago delicata,Gallinago delicata,Gallinago delicata,Gallinago delicata,Gallinago delicata
Gallinula chloropus,Gallinula chloropus,2,NA,Gallinula chloropus,Gallinula chloropus,Gallinula chloropus,Gallinula chloropus,Gallinula chloropus,Gallinula chloropus
Gavia immer,Gavia immer,2,NA,Gavia immer,Gavia immer,Gavia immer,Gavia immer,Gavia immer,Gavia immer
Gelochelidon nilotica,Gelochelidon nilotica,2,NA,Gelochelidon nilotica,Gelochelidon nilotica,Gelochelidon nilotica,Gelochelidon nilotica,Gelochelidon nilotica,Gelochelidon nilotica
Geothlypis trichas,Geothlypis trichas,2,NA,Geothlypis trichas,Geothlypis trichas,Geothlypis trichas,Geothlypis trichas,Geothlypis trichas,Geothlypis trichas
Grus canadensis,Grus canadensis,2,NA,Grus canadensis,Grus canadensis,NA,NA,Grus canadensis,Grus canadensis
Haematopus palliatus,Haematopus palliatus,2,NA,Haematopus palliatus,Haematopus palliatus,Haematopus palliatus,Haematopus palliatus,Haematopus palliatus,Haematopus palliatus
Haliaeetus leucocephalus,Haliaeetus leucocephalus,2,NA,Haliaeetus leucocephalus,Haliaeetus leucocephalus,Haliaeetus leucocephalus,Haliaeetus leucocephalus,Haliaeetus leucocephalus,Haliaeetus leucocephalus
Helmitheros vermivorum,Helmitheros vermivorum,2,NA,Helmitheros vermivorum,Helmitheros vermivorum,Helmitheros vermivorum,Helmitheros vermivorum,Helmitheros vermivorum,Helmitheros vermivorum
Hirundo rustica,Hirundo rustica,2,NA,Hirundo rustica,Hirundo rustica,Hirundo rustica,Hirundo rustica,Hirundo rustica,Hirundo rustica
