verbatim_name;sp_names_atlas_adapted_keep;sp_BirdTree;sp_BirdLife;sp_eBird;sp_group_eBird;sp_BOTW;BirdTree_tip.labels
Apus pallidus;Apus pallidus;Apus pallidus;Apus pallidus;Apus pallidus;Apus pallidus;Apus pallidus;Apus unicolor
Apus unicolor;Apus unicolor;Apus unicolor;Apus unicolor;Apus unicolor;Apus unicolor;Apus unicolor;Aquila adalberti
Aquila adalberti;Aquila adalberti;Aquila adalberti;Aquila adalberti;Aquila adalberti;Aquila adalberti;Aquila adalberti;Aquila chrysaetos
Aquila chrysaetos;Aquila chrysaetos;Aquila chrysaetos;Aquila chrysaetos;Aquila chrysaetos;Aquila chrysaetos;Aquila chrysaetos;Aquila fasciatus
Aquila fasciata;Aquila fasciata;Aquila fasciatus;NA;Aquila fasciata;Aquila fasciata;Aquila fasciata;Aquila heliaca
Aquila heliaca;Aquila heliaca;Aquila heliaca;Aquila heliaca;Aquila heliaca;Aquila heliaca;Aquila heliaca;Aquila nipalensis
Aquila nipalensis;Aquila nipalensis;Aquila nipalensis;Aquila nipalensis;Aquila nipalensis;Aquila nipalensis;Aquila nipalensis;#N/A
Aquila pomarina;Aquila pomarina;NA;Clanga pomarina;Clanga pomarina;Clanga pomarina;#N/A;Archilochus colubris
Archilochus colubris;Archilochus colubris;Archilochus colubris;Archilochus colubris;Archilochus colubris;Archilochus colubris;Archilochus colubris;Casmerodius albus
Ardea alba;Ardea alba;Casmerodius albus;NA;Ardea alba;Ardea alba;Ardea alba;Ardea cinerea
Ardea cinerea;Ardea cinerea;Ardea cinerea;Ardea cinerea;Ardea cinerea;Ardea cinerea;Ardea cinerea;Ardea herodias
Ardea herodias;Ardea herodias;Ardea herodias;NA;Ardea herodias;Ardea herodias;Ardea herodias;Ardea herodias
Ardea herodias;Ardea herodias;Ardea herodias;Ardea occidentalis;Ardea herodias;Ardea herodias;Ardea herodias;Ardea herodias
Ardea herodias;Ardea herodias;Ardea herodias;Ardea herodias;Ardea herodias;Ardea herodias;Ardea herodias;Mesophoyx intermedia
Egretta intermedia;Ardea intermedia;Mesophoyx intermedia;NA;Ardea intermedia;Ardea intermedia intermedia;Ardea intermedia;Ardea purpurea
Ardea purpurea;Ardea purpurea;Ardea purpurea;Ardea purpurea;Ardea purpurea;Ardea purpurea;Ardea purpurea;Ardeola ralloides
Ardeola ralloides;Ardeola ralloides;Ardeola ralloides;Ardeola ralloides;Ardeola ralloides;Ardeola ralloides;Ardeola ralloides;Arenaria interpres
Arenaria interpres;Arenaria interpres;Arenaria interpres;Arenaria interpres;Arenaria interpres;Arenaria interpres;Arenaria interpres;Asio flammeus
Asio flammeus;Asio flammeus;Asio flammeus;Asio flammeus;Asio flammeus;Asio flammeus;Asio flammeus;Asio otus
Asio otus;Asio otus;Asio otus;Asio otus;Asio otus;Asio otus;Asio otus;Athene noctua
Athene noctua;Athene noctua;Athene noctua;Athene noctua;Athene noctua;Athene noctua;Athene noctua;Aythya affinis
Aythya affinis;Aythya affinis;Aythya affinis;Aythya affinis;Aythya affinis;Aythya affinis;Aythya affinis;Aythya americana
Aythya americana;Aythya americana;Aythya americana;Aythya americana;Aythya americana;Aythya americana;Aythya americana;Aythya collaris
Aythya collaris;Aythya collaris;Aythya collaris;Aythya collaris;Aythya collaris;Aythya collaris;Aythya collaris;Aythya ferina
Aythya ferina;Aythya ferina;Aythya ferina;Aythya ferina;Aythya ferina;Aythya ferina;Aythya ferina;Aythya fuligula
Aythya fuligula;Aythya fuligula;Aythya fuligula;Aythya fuligula;Aythya fuligula;Aythya fuligula;Aythya fuligula;Aythya marila
Aythya marila;Aythya marila;Aythya marila;Aythya marila;Aythya marila;Aythya marila;Aythya marila;Aythya nyroca
Aythya nyroca;Aythya nyroca;Aythya nyroca;Aythya nyroca;Aythya nyroca;Aythya nyroca;Aythya nyroca;Aythya valisineria
Aythya valisineria;Aythya valisineria;Aythya valisineria;Aythya valisineria;Aythya valisineria;Aythya valisineria;Aythya valisineria;Baeolophus bicolor
Baeolophus bicolor;Baeolophus bicolor;Baeolophus bicolor;Baeolophus bicolor;Baeolophus bicolor;Baeolophus bicolor;Baeolophus bicolor;Bambusicola thoracicus
Bambusicola thoracicus;Bambusicola thoracicus;Bambusicola thoracicus;Bambusicola thoracicus;Bambusicola thoracicus;Bambusicola thoracicus;Bambusicola thoracicus;Bambusicola thoracicus
Bambusicola thoracicus;Bambusicola thoracicus;Bambusicola thoracicus;Bambusicola sonorivox;Bambusicola thoracicus;Bambusicola thoracicus;Bambusicola thoracicus;Bartramia longicauda
Bartramia longicauda;Bartramia longicauda;Bartramia longicauda;Bartramia longicauda;Bartramia longicauda;Bartramia longicauda;Bartramia longicauda;Bombycilla cedrorum
Bombycilla cedrorum;Bombycilla cedrorum;Bombycilla cedrorum;Bombycilla cedrorum;Bombycilla cedrorum;Bombycilla cedrorum;Bombycilla cedrorum;Bombycilla garrulus
Bombycilla garrulus;Bombycilla garrulus;Bombycilla garrulus;Bombycilla garrulus;Bombycilla garrulus;Bombycilla garrulus;Bombycilla garrulus;Bonasa bonasia
Bonasa bonasia;Bonasa bonasia;Bonasa bonasia;Bonasa bonasia;Tetrastes bonasia;Tetrastes bonasia;#N/A;Bonasa umbellus
Bonasa umbellus;Bonasa umbellus;Bonasa umbellus;Bonasa umbellus;Bonasa umbellus;Bonasa umbellus;Bonasa umbellus;Botaurus lentiginosus
Botaurus lentiginosus;Botaurus lentiginosus;Botaurus lentiginosus;Botaurus lentiginosus;Botaurus lentiginosus;Botaurus lentiginosus;Botaurus lentiginosus;Botaurus stellaris
Botaurus stellaris;Botaurus stellaris;Botaurus stellaris;Botaurus stellaris;Botaurus stellaris;Botaurus stellaris;Botaurus stellaris;Branta bernicla
Branta bernicla;Branta bernicla;Branta bernicla;Branta bernicla;Branta bernicla;Branta bernicla;Branta bernicla;Branta canadensis
Branta canadensis;Branta canadensis;Branta canadensis;Branta canadensis;Branta canadensis;Branta canadensis;Branta canadensis;Branta leucopsis
Branta leucopsis;Branta leucopsis;Branta leucopsis;Branta leucopsis;Branta leucopsis;Branta leucopsis;Branta leucopsis;Bubo bubo
Bubo bubo;Bubo bubo;Bubo bubo;Bubo bubo;Bubo bubo;Bubo bubo;Bubo bubo;Bubo scandiaca
Bubo scandiacus;Bubo scandiacus;Bubo scandiaca;NA;Bubo scandiacus;Bubo scandiacus;Bubo scandiacus;Bubo virginianus
Bubo virginianus;Bubo virginianus;Bubo virginianus;Bubo virginianus;Bubo virginianus;Bubo virginianus [virginianus Group];Bubo virginianus;Bubo virginianus
Bubo virginianus;Bubo virginianus;Bubo virginianus;NA;Bubo virginianus;Bubo virginianus [virginianus Group];Bubo virginianus;Bubulcus ibis
Bubulcus ibis;Bubulcus ibis;Bubulcus ibis;Bubulcus ibis;Bubulcus ibis;Bubulcus ibis;Bubulcus ibis;Bucanetes githagineus
Bucanetes githagineus;Bucanetes githagineus;Bucanetes githagineus;Bucanetes githagineus;Bucanetes githagineus;Bucanetes githagineus;Bucanetes githagineus;Eremopsaltria mongolicus
Bucanetes mongolicus;Bucanetes mongolicus;Eremopsaltria mongolicus;NA;Bucanetes mongolicus;Bucanetes mongolicus;Bucanetes mongolicus;Bucephala clangula
Bucephala clangula;Bucephala clangula;Bucephala clangula;Bucephala clangula;Bucephala clangula;Bucephala clangula;Bucephala clangula;Bucephala islandica
Bucephala islandica;Bucephala islandica;Bucephala islandica;Bucephala islandica;Bucephala islandica;Bucephala islandica;Bucephala islandica;Bulweria bulwerii
Bulweria bulwerii;Bulweria bulwerii;Bulweria bulwerii;Bulweria bulwerii;Bulweria bulwerii;Bulweria bulwerii;Bulweria bulwerii;Burhinus oedicnemus
Burhinus oedicnemus;Burhinus oedicnemus;Burhinus oedicnemus;Burhinus oedicnemus;Burhinus oedicnemus;Burhinus oedicnemus;Burhinus oedicnemus;Burhinus oedicnemus
Burhinus oedicnemus;Burhinus oedicnemus;Burhinus oedicnemus;Burhinus indicus;Burhinus oedicnemus;Burhinus oedicnemus;Burhinus oedicnemus;Butastur indicus
Butastur indicus;Butastur indicus;Butastur indicus;Butastur indicus;Butastur indicus;Butastur indicus;Butastur indicus;Buteo buteo
Buteo buteo;Buteo buteo;Buteo buteo;Buteo japonicus;Buteo japonicus;Buteo sp.;Buteo buteo;Buteo buteo
Buteo buteo;Buteo buteo;Buteo buteo;Buteo buteo;NA;Buteo sp.;Buteo buteo;Buteo buteo
Buteo buteo;Buteo buteo;Buteo buteo;Buteo socotraensis;Buteo socotraensis;Buteo sp.;Buteo buteo;Buteo buteo
Buteo buteo;Buteo buteo;Buteo buteo;Buteo buteo;Buteo buteo;Buteo sp.;Buteo buteo;Buteo buteo
Buteo buteo;Buteo buteo;Buteo buteo;Buteo refectus;Buteo refectus;Buteo sp.;Buteo buteo;Buteo buteo
Buteo buteo;Buteo buteo;Buteo buteo;Buteo japonicus;Buteo buteo;Buteo buteo;Buteo buteo;Buteo buteo
Buteo buteo;Buteo buteo;Buteo buteo;Buteo buteo;Buteo buteo;Buteo buteo;Buteo buteo;Buteo buteo
Buteo buteo;Buteo buteo;Buteo buteo;Buteo socotraensis;Buteo buteo;Buteo buteo;Buteo buteo;Buteo buteo
Buteo buteo;Buteo buteo;Buteo buteo;Buteo refectus;Buteo buteo;Buteo buteo;Buteo buteo;Buteo jamaicensis
Buteo jamaicensis;Buteo jamaicensis;Buteo jamaicensis;Buteo jamaicensis;Buteo jamaicensis;Buteo jamaicensis;Buteo jamaicensis;Buteo lagopus
Buteo lagopus;Buteo lagopus;Buteo lagopus;Buteo lagopus;Buteo lagopus;Buteo lagopus;Buteo lagopus;Buteo lineatus
Buteo lineatus;Buteo lineatus;Buteo lineatus;Buteo lineatus;Buteo lineatus;Buteo lineatus;Buteo lineatus;Buteo platypterus
Buteo platypterus;Buteo platypterus;Buteo platypterus;Buteo platypterus;Buteo platypterus;Buteo platypterus;Buteo platypterus;Buteo rufinus
Buteo rufinus;Buteo rufinus;Buteo rufinus;Buteo rufinus;Buteo rufinus;Buteo rufinus;Buteo rufinus;Butorides virescens
Butorides striata;Butorides striata;Butorides virescens;Butorides striata;Butorides virescens;Butorides virescens/striata;Butorides striata;Butorides striata
Butorides striata;Butorides striata;Butorides striata;Butorides striata;Butorides striata;Butorides virescens/striata;Butorides striata;#N/A
Butorides virescens;Butorides virescens;NA;Butorides striata;Butorides virescens;Butorides virescens/striata;#N/A;Calandrella brachydactyla
Calandrella brachydactyla;Calandrella brachydactyla;Calandrella brachydactyla;Calandrella brachydactyla;Calandrella brachydactyla;Calandrella brachydactyla;Calandrella brachydactyla;Calandrella brachydactyla
Calandrella brachydactyla;Calandrella brachydactyla;Calandrella brachydactyla;Calandrella dukhunensis;Calandrella brachydactyla;Calandrella brachydactyla;Calandrella brachydactyla;Calcarius lapponicus
Calcarius lapponicus;Calcarius lapponicus;Calcarius lapponicus;Calcarius lapponicus;Calcarius lapponicus;Calcarius lapponicus;Calcarius lapponicus;Calidris alba
Calidris alba;Calidris alba;Calidris alba;Calidris alba;Calidris alba;Calidris alba;Calidris alba;Calidris alpina
