verbatim_name;sp_names_atlas_adapted_keep;sp_BirdTree;sp_BirdLife;sp_eBird;sp_group_eBird;sp_BOTW;BirdTree_tip.labels
Emberiza citrinella;Emberiza citrinella;Emberiza citrinella;Emberiza citrinella;Emberiza citrinella;Emberiza citrinella;Emberiza citrinella;Emberiza fucata
Emberiza fucata;Emberiza fucata;Emberiza fucata;Emberiza fucata;Emberiza fucata;Emberiza fucata;Emberiza fucata;Emberiza hortulana
Emberiza hortulana;Emberiza hortulana;Emberiza hortulana;Emberiza hortulana;Emberiza hortulana;Emberiza hortulana;Emberiza hortulana;Emberiza melanocephala
Emberiza melanocephala;Emberiza melanocephala;Emberiza melanocephala;Emberiza melanocephala;Emberiza melanocephala;Emberiza melanocephala;Emberiza melanocephala;Emberiza pallasi
Emberiza pallasi;Emberiza pallasi;Emberiza pallasi;Emberiza pallasi;Emberiza pallasi;Emberiza pallasi;Emberiza pallasi;Emberiza pusilla
Emberiza pusilla;Emberiza pusilla;Emberiza pusilla;Emberiza pusilla;Emberiza pusilla;Emberiza pusilla;Emberiza pusilla;Emberiza rustica
Emberiza rustica;Emberiza rustica;Emberiza rustica;Emberiza rustica;Emberiza rustica;Emberiza rustica;Emberiza rustica;Emberiza schoeniclus
Emberiza schoeniclus;Emberiza schoeniclus;Emberiza schoeniclus;Emberiza schoeniclus;Emberiza schoeniclus;Emberiza schoeniclus;Emberiza schoeniclus;Emberiza spodocephala
Emberiza spodocephala;Emberiza spodocephala;Emberiza spodocephala;Emberiza personata;Emberiza spodocephala;Emberiza spodocephala spodocephala/sordida;Emberiza spodocephala;Emberiza spodocephala
Emberiza spodocephala;Emberiza spodocephala;Emberiza spodocephala;Emberiza spodocephala;Emberiza spodocephala;Emberiza spodocephala spodocephala/sordida;Emberiza spodocephala;Emberiza sulphurata
Emberiza sulphurata;Emberiza sulphurata;Emberiza sulphurata;Emberiza sulphurata;Emberiza sulphurata;Emberiza sulphurata;Emberiza sulphurata;Emberiza variabilis
Emberiza variabilis;Emberiza variabilis;Emberiza variabilis;Emberiza variabilis;Emberiza variabilis;Emberiza variabilis;Emberiza variabilis;Emberiza yessoensis
Emberiza yessoensis;Emberiza yessoensis;Emberiza yessoensis;Emberiza yessoensis;Emberiza yessoensis;Emberiza yessoensis;Emberiza yessoensis;Empidonax alnorum
Empidonax alnorum;Empidonax alnorum;Empidonax alnorum;Empidonax alnorum;Empidonax alnorum;Empidonax alnorum;Empidonax alnorum;Empidonax flaviventris
Empidonax flaviventris;Empidonax flaviventris;Empidonax flaviventris;Empidonax flaviventris;Empidonax flaviventris;Empidonax flaviventris;Empidonax flaviventris;Empidonax minimus
Empidonax minimus;Empidonax minimus;Empidonax minimus;Empidonax minimus;Empidonax minimus;Empidonax minimus;Empidonax minimus;Empidonax traillii
Empidonax traillii;Empidonax traillii;Empidonax traillii;Empidonax traillii;Empidonax traillii;Empidonax traillii;Empidonax traillii;Empidonax virescens
Empidonax virescens;Empidonax virescens;Empidonax virescens;Empidonax virescens;Empidonax virescens;Empidonax virescens;Empidonax virescens;Eophona personata
Eophona personata;Eophona personata;Eophona personata;Eophona personata;Eophona personata;Eophona personata;Eophona personata;Eremophila alpestris
Eremophila alpestris;Eremophila alpestris;Eremophila alpestris;Eremophila alpestris;Eremophila alpestris;Eremophila alpestris;Eremophila alpestris;Erithacus rubecula
Erithacus rubecula;Erithacus rubecula;Erithacus rubecula;Erithacus rubecula;Erithacus rubecula;Erithacus rubecula;Erithacus rubecula;Estrilda astrild
Estrilda astrild;Estrilda astrild;Estrilda astrild;Estrilda astrild;Estrilda astrild;Estrilda astrild;Estrilda astrild;Estrilda melpoda
Estrilda melpoda;Estrilda melpoda;Estrilda melpoda;Estrilda melpoda;Estrilda melpoda;Estrilda melpoda;Estrilda melpoda;Eudromias morinellus
Eudromias morinellus;Eudromias morinellus;Eudromias morinellus;Eudromias morinellus;Charadrius morinellus;Charadrius morinellus;Eudromias morinellus;Euphagus carolinus
Euphagus carolinus;Euphagus carolinus;Euphagus carolinus;Euphagus carolinus;Euphagus carolinus;Euphagus carolinus;Euphagus carolinus;Eurystomus orientalis
Eurystomus orientalis;Eurystomus orientalis;Eurystomus orientalis;Eurystomus orientalis;Eurystomus orientalis;Eurystomus orientalis;Eurystomus orientalis;Dendragapus canadensis
Falcipennis canadensis;Falcipennis canadensis;Dendragapus canadensis;NA;Canachites canadensis;Canachites canadensis [canadensis Group];#N/A;Falco biarmicus
Falco biarmicus;Falco biarmicus;Falco biarmicus;Falco biarmicus;Falco biarmicus;Falco biarmicus;Falco biarmicus;Falco cherrug
Falco cherrug;Falco cherrug;Falco cherrug;Falco cherrug;Falco cherrug;Falco cherrug;Falco cherrug;Falco columbarius
Falco columbarius;Falco columbarius;Falco columbarius;Falco columbarius;Falco columbarius;Falco columbarius;Falco columbarius;Falco eleonorae
Falco eleonorae;Falco eleonorae;Falco eleonorae;Falco eleonorae;Falco eleonorae;Falco eleonorae;Falco eleonorae;Falco naumanni
Falco naumanni;Falco naumanni;Falco naumanni;Falco naumanni;Falco naumanni;Falco naumanni;Falco naumanni;Falco peregrinus
Falco peregrinus;Falco peregrinus;Falco peregrinus;Falco peregrinus;Falco peregrinus;Falco peregrinus;Falco peregrinus;Falco pelegrinoides
Falco peregrinus;Falco peregrinus;Falco pelegrinoides;Falco peregrinus;Falco peregrinus;Falco peregrinus;Falco peregrinus;Falco rusticolus
Falco rusticolus;Falco rusticolus;Falco rusticolus;Falco rusticolus;Falco rusticolus;Falco rusticolus;Falco rusticolus;Falco sparverius
Falco sparverius;Falco sparverius;Falco sparverius;Falco sparverius;Falco sparverius;Falco sparverius;Falco sparverius;Falco subbuteo
Falco subbuteo;Falco subbuteo;Falco subbuteo;Falco subbuteo;Falco subbuteo;Falco subbuteo;Falco subbuteo;Falco tinnunculus
Falco tinnunculus;Falco tinnunculus;Falco tinnunculus;Falco tinnunculus;Falco rupicolus;Falco rupicolus;Falco tinnunculus;Falco tinnunculus
Falco tinnunculus;Falco tinnunculus;Falco tinnunculus;Falco tinnunculus;Falco tinnunculus;Falco tinnunculus;Falco tinnunculus;Falco vespertinus
Falco vespertinus;Falco vespertinus;Falco vespertinus;Falco vespertinus;Falco vespertinus;Falco vespertinus;Falco vespertinus;Ficedula albicollis
Ficedula albicollis;Ficedula albicollis;Ficedula albicollis;Ficedula albicollis;Ficedula albicollis;Ficedula albicollis;Ficedula albicollis;Ficedula hypoleuca
Ficedula hypoleuca;Ficedula hypoleuca;Ficedula hypoleuca;Ficedula hypoleuca;Ficedula hypoleuca;Ficedula hypoleuca/speculigera;Ficedula hypoleuca;Ficedula hypoleuca
Ficedula hypoleuca;Ficedula hypoleuca;Ficedula hypoleuca;Ficedula hypoleuca;NA;Ficedula hypoleuca/speculigera;Ficedula hypoleuca;Ficedula narcissina
Ficedula narcissina;Ficedula narcissina;Ficedula narcissina;Ficedula narcissina;Ficedula narcissina;Ficedula narcissina;Ficedula narcissina;Ficedula narcissina
Ficedula narcissina;Ficedula narcissina;Ficedula narcissina;Ficedula elisae;Ficedula narcissina;Ficedula narcissina;Ficedula narcissina;Ficedula narcissina
Ficedula narcissina;Ficedula narcissina;Ficedula narcissina;Ficedula owstoni;Ficedula narcissina;Ficedula narcissina;Ficedula narcissina;Ficedula parva
Ficedula parva;Ficedula parva;Ficedula parva;Ficedula parva;Ficedula parva;Ficedula parva;Ficedula parva;Ficedula semitorquata
Ficedula semitorquata;Ficedula semitorquata;Ficedula semitorquata;Ficedula semitorquata;Ficedula semitorquata;Ficedula semitorquata;Ficedula semitorquata;Francolinus francolinus
Francolinus francolinus;Francolinus francolinus;Francolinus francolinus;Francolinus francolinus;Francolinus francolinus;Francolinus francolinus;Francolinus francolinus;Fratercula arctica
Fratercula arctica;Fratercula arctica;Fratercula arctica;Fratercula arctica;Fratercula arctica;Fratercula arctica;Fratercula arctica;Fringilla coelebs
Fringilla coelebs;Fringilla coelebs;Fringilla coelebs;Fringilla coelebs;Fringilla coelebs;Fringilla coelebs;Fringilla coelebs;Fringilla montifringilla
Fringilla montifringilla;Fringilla montifringilla;Fringilla montifringilla;Fringilla montifringilla;Fringilla montifringilla;Fringilla montifringilla;Fringilla montifringilla;Fulica americana
Fulica americana;Fulica americana;Fulica americana;Fulica americana;Fulica americana;Fulica americana;Fulica americana;Fulica caribaea
Fulica americana;Fulica americana;Fulica caribaea;Fulica americana;Fulica americana;Fulica americana;Fulica americana;Fulica atra
Fulica atra;Fulica atra;Fulica atra;Fulica atra;Fulica atra;Fulica atra;Fulica atra;Fulica cristata
Fulica cristata;Fulica cristata;Fulica cristata;Fulica cristata;Fulica cristata;Fulica cristata;Fulica cristata;Fulmarus glacialis
Fulmarus glacialis;Fulmarus glacialis;Fulmarus glacialis;Fulmarus glacialis;Fulmarus glacialis;Fulmarus glacialis;Fulmarus glacialis;Galerida cristata
Galerida cristata;Galerida cristata;Galerida cristata;Galerida cristata;Galerida cristata;Galerida cristata;Galerida cristata;Galerida theklae
Galerida theklae;Galerida theklae;Galerida theklae;Galerida theklae;Galerida theklae;Galerida theklae;Galerida theklae;Gallinago gallinago
Gallinago delicata;Gallinago delicata;Gallinago gallinago;NA;Gallinago delicata;Gallinago delicata;Gallinago delicata;Gallinago gallinago
Gallinago gallinago;Gallinago gallinago;Gallinago gallinago;Gallinago gallinago;Gallinago gallinago;Gallinago gallinago;Gallinago gallinago;Gallinago gallinago
Gallinago gallinago;Gallinago gallinago;Gallinago gallinago;Gallinago delicata;Gallinago gallinago;Gallinago gallinago;Gallinago gallinago;Gallinago gallinago
Gallinago gallinago;Gallinago gallinago;Gallinago gallinago;NA;Gallinago gallinago;Gallinago gallinago;Gallinago gallinago;Gallinago hardwickii
Gallinago hardwickii;Gallinago hardwickii;Gallinago hardwickii;Gallinago hardwickii;Gallinago hardwickii;Gallinago hardwickii;Gallinago hardwickii;Gallinago media
Gallinago media;Gallinago media;Gallinago media;Gallinago media;Gallinago media;Gallinago media;Gallinago media;Gallinago stenura
Gallinago stenura;Gallinago stenura;Gallinago stenura;Gallinago stenura;Gallinago stenura;Gallinago stenura;Gallinago stenura;Gallinula chloropus
Gallinula chloropus;Gallinula chloropus;Gallinula chloropus;Gallinula galeata;Gallinula chloropus;Gallinula chloropus;Gallinula chloropus;Gallinula chloropus
Gallinula chloropus;Gallinula chloropus;Gallinula chloropus;Gallinula chloropus;Gallinula chloropus;Gallinula chloropus;Gallinula chloropus;#N/A
Gallirallus okinawae;Gallirallus okinawae;NA;Hypotaenidia okinawae;Gallirallus okinawae;Gallirallus okinawae;#N/A;Garrulax canorus
Garrulax canorus;Garrulax canorus;Garrulax canorus;Garrulax canorus;Garrulax canorus;Garrulax canorus;Garrulax canorus;Garrulus glandarius
Garrulus glandarius;Garrulus glandarius;Garrulus glandarius;NA;Garrulus glandarius;Garrulus glandarius;Garrulus glandarius;Garrulus glandarius
Garrulus glandarius;Garrulus glandarius;Garrulus glandarius;Garrulus bispecularis;Garrulus glandarius;Garrulus glandarius;Garrulus glandarius;Garrulus glandarius
Garrulus glandarius;Garrulus glandarius;Garrulus glandarius;Garrulus leucotis;Garrulus glandarius;Garrulus glandarius;Garrulus glandarius;Garrulus glandarius
Garrulus glandarius;Garrulus glandarius;Garrulus glandarius;Garrulus glandarius;Garrulus glandarius;Garrulus glandarius;Garrulus glandarius;Garrulus lidthi
Garrulus lidthi;Garrulus lidthi;Garrulus lidthi;Garrulus lidthi;Garrulus lidthi;Garrulus lidthi;Garrulus lidthi;Gavia arctica
Gavia arctica;Gavia arctica;Gavia arctica;Gavia arctica;Gavia arctica;Gavia arctica;Gavia arctica;Gavia immer
Gavia immer;Gavia immer;Gavia immer;Gavia immer;Gavia immer;Gavia immer;Gavia immer;Gavia stellata
Gavia stellata;Gavia stellata;Gavia stellata;Gavia stellata;Gavia stellata;Gavia stellata;Gavia stellata;Sterna nilotica
Gelochelidon nilotica;Gelochelidon nilotica;Sterna nilotica;NA;Gelochelidon nilotica;Gelochelidon nilotica [nilotica Group];Gelochelidon nilotica;Geothlypis trichas
Geothlypis trichas;Geothlypis trichas;Geothlypis trichas;Geothlypis trichas;Geothlypis trichas;Geothlypis trichas;Geothlypis trichas;Glareola maldivarum
Glareola maldivarum;Glareola maldivarum;Glareola maldivarum;Glareola maldivarum;Glareola maldivarum;Glareola maldivarum;Glareola maldivarum;Glareola nordmanni
Glareola nordmanni;Glareola nordmanni;Glareola nordmanni;Glareola nordmanni;Glareola nordmanni;Glareola nordmanni;Glareola nordmanni;Glareola pratincola
Glareola pratincola;Glareola pratincola;Glareola pratincola;Glareola pratincola;Glareola pratincola;Glareola pratincola;Glareola pratincola;Glaucidium passerinum
Glaucidium passerinum;Glaucidium passerinum;Glaucidium passerinum;Glaucidium passerinum;Glaucidium passerinum;Glaucidium passerinum;Glaucidium passerinum;Gorsachius goisagi
Gorsachius goisagi;Gorsachius goisagi;Gorsachius goisagi;Gorsachius goisagi;Gorsachius goisagi;Gorsachius goisagi;Gorsachius goisagi;Grus grus
Grus grus;Grus grus;Grus grus;Grus grus;Grus grus;Grus grus;Grus grus;Grus japonensis
Grus japonensis;Grus japonensis;Grus japonensis;Grus japonensis;Grus japonensis;Grus japonensis;Grus japonensis;Phalacrocorax aristotelis
Gulosus aristotelis;Gulosus aristotelis;Phalacrocorax aristotelis;NA;Gulosus aristotelis;Gulosus aristotelis;Gulosus aristotelis;Gypaetus barbatus
Gypaetus barbatus;Gypaetus barbatus;Gypaetus barbatus;Gypaetus barbatus;Gypaetus barbatus;Gypaetus barbatus;Gypaetus barbatus;Gyps fulvus
Gyps fulvus;Gyps fulvus;Gyps fulvus;Gyps fulvus;Gyps fulvus;Gyps fulvus;Gyps fulvus;Haematopus ostralegus
Haematopus ostralegus;Haematopus ostralegus;Haematopus ostralegus;Haematopus ostralegus;Haematopus ostralegus;Haematopus ostralegus;Haematopus ostralegus;Haematopus palliatus
Haematopus palliatus;Haematopus palliatus;Haematopus palliatus;Haematopus palliatus;Haematopus palliatus;Haematopus palliatus;Haematopus palliatus;Halcyon coromanda
Halcyon coromanda;Halcyon coromanda;Halcyon coromanda;Halcyon coromanda;Halcyon coromanda;Halcyon coromanda;Halcyon coromanda;Haliaeetus albicilla
Haliaeetus albicilla;Haliaeetus albicilla;Haliaeetus albicilla;Haliaeetus albicilla;Haliaeetus albicilla;Haliaeetus albicilla;Haliaeetus albicilla;Haliaeetus leucocephalus
Haliaeetus leucocephalus;Haliaeetus leucocephalus;Haliaeetus leucocephalus;Haliaeetus leucocephalus;Haliaeetus leucocephalus;Haliaeetus leucocephalus;Haliaeetus leucocephalus;Helmitheros vermivorum
Helmitheros vermivorum;Helmitheros vermivorum;Helmitheros vermivorum;Helmitheros vermivorum;Helmitheros vermivorum;Helmitheros vermivorum;Helmitheros vermivorum;Hieraaetus pennatus
Hieraaetus pennatus;Hieraaetus pennatus;Hieraaetus pennatus;Hieraaetus pennatus;Hieraaetus pennatus;Hieraaetus pennatus;Hieraaetus pennatus;Cuculus fugax
Hierococcyx hyperythrus;Hierococcyx hyperythrus;Cuculus fugax;NA;Hierococcyx hyperythrus;Hierococcyx hyperythrus;Hierococcyx hyperythrus;Himantopus mexicanus
Himantopus himantopus;Himantopus himantopus;Himantopus mexicanus;Himantopus himantopus;Himantopus mexicanus;Himantopus mexicanus;Himantopus himantopus;Himantopus leucocephalus
Himantopus himantopus;Himantopus himantopus;Himantopus leucocephalus;Himantopus himantopus;Himantopus leucocephalus;Himantopus leucocephalus;Himantopus himantopus;Himantopus himantopus
Himantopus himantopus;Himantopus himantopus;Himantopus himantopus;Himantopus himantopus;Himantopus himantopus;Himantopus himantopus;Himantopus himantopus;Hippolais icterina
Hippolais icterina;Hippolais icterina;Hippolais icterina;Hippolais icterina;Hippolais icterina;Hippolais icterina;Hippolais icterina;Hippolais olivetorum
Hippolais olivetorum;Hippolais olivetorum;Hippolais olivetorum;Hippolais olivetorum;Hippolais olivetorum;Hippolais olivetorum;Hippolais olivetorum;Hippolais polyglotta
Hippolais polyglotta;Hippolais polyglotta;Hippolais polyglotta;Hippolais polyglotta;Hippolais polyglotta;Hippolais polyglotta;Hippolais polyglotta;Hirundapus caudacutus
Hirundapus caudacutus;Hirundapus caudacutus;Hirundapus caudacutus;Hirundapus caudacutus;Hirundapus caudacutus;Hirundapus caudacutus;Hirundapus caudacutus;#N/A
Hirundo daurica;Hirundo daurica;NA;Cecropis hyperythra;Cecropis hyperythra;Cecropis hyperythra;#N/A;#N/A
Hirundo daurica;Hirundo daurica;NA;Cecropis daurica;Cecropis daurica;Cecropis daurica;#N/A;Hirundo rustica
Hirundo rustica;Hirundo rustica;Hirundo rustica;Hirundo rustica;Hirundo rustica;Hirundo rustica;Hirundo rustica;Hirundo tahitica
Hirundo tahitica;Hirundo tahitica;Hirundo tahitica;Hirundo tahitica;Hirundo tahitica;Hirundo tahitica tahitica;Hirundo tahitica;Hirundo tahitica
Hirundo tahitica;Hirundo tahitica;Hirundo tahitica;Hirundo javanica;Hirundo tahitica;Hirundo tahitica tahitica;Hirundo tahitica;Histrionicus histrionicus
Histrionicus histrionicus;Histrionicus histrionicus;Histrionicus histrionicus;Histrionicus histrionicus;Histrionicus histrionicus;Histrionicus histrionicus;Histrionicus histrionicus;Oceanodroma castro
Hydrobates castro;Hydrobates castro;Oceanodroma castro;NA;Hydrobates castro;Hydrobates castro;Hydrobates castro;Oceanodroma leucorhoa
Hydrobates leucorhous;Hydrobates leucorhous;Oceanodroma leucorhoa;NA;Hydrobates leucorhous;Hydrobates leucorhous;Hydrobates leucorhous;Hydrobates pelagicus
Hydrobates pelagicus;Hydrobates pelagicus;Hydrobates pelagicus;Hydrobates pelagicus;Hydrobates pelagicus;Hydrobates pelagicus;Hydrobates pelagicus;Larus minutus
Hydrocoloeus minutus;Hydrocoloeus minutus;Larus minutus;NA;Hydrocoloeus minutus;Hydrocoloeus minutus;Hydrocoloeus minutus;Sterna caspia
Hydropogne caspia;Hydroprogne caspia;Sterna caspia;NA;Hydroprogne caspia;Hydroprogne caspia;Hydroprogne caspia;Sterna caspia
Hydroprogne caspia;Hydroprogne caspia;Sterna caspia;NA;Hydroprogne caspia;Hydroprogne caspia;Hydroprogne caspia;Hylocichla mustelina
Hylocichla mustelina;Hylocichla mustelina;Hylocichla mustelina;Hylocichla mustelina;Hylocichla mustelina;Hylocichla mustelina;Hylocichla mustelina;Ixos amaurotis
Hypsipetes amaurotis;Hypsipetes amaurotis;Ixos amaurotis;NA;Hypsipetes amaurotis;Hypsipetes amaurotis;Hypsipetes amaurotis;Icteria virens
Icteria virens;Icteria virens;Icteria virens;Icteria virens;Icteria virens;Icteria virens;Icteria virens;Icterus galbula
Icterus galbula;Icterus galbula;Icterus galbula;Icterus galbula;Icterus galbula;Icterus galbula;Icterus galbula;Icterus spurius
Icterus spurius;Icterus spurius;Icterus spurius;Icterus fuertesi;Icterus spurius;Icterus spurius spurius;Icterus spurius;Icterus spurius
Icterus spurius;Icterus spurius;Icterus spurius;Icterus spurius;Icterus spurius;Icterus spurius spurius;Icterus spurius;Hippolais caligata
Iduna caligata;Iduna caligata;Hippolais caligata;NA;Iduna caligata;Iduna caligata;Iduna caligata;Hippolais opaca
Iduna opaca;Iduna opaca;Hippolais opaca;NA;Iduna opaca;Iduna opaca;Iduna opaca;Hippolais pallida
Iduna pallida;Iduna pallida;Hippolais pallida;NA;Iduna pallida;Iduna pallida;Iduna pallida;Ixobrychus cinnamomeus
Ixobrychus cinnamomeus;Ixobrychus cinnamomeus;Ixobrychus cinnamomeus;Ixobrychus cinnamomeus;Ixobrychus cinnamomeus;Ixobrychus cinnamomeus;Ixobrychus cinnamomeus;Ixobrychus exilis
Ixobrychus exilis;Ixobrychus exilis;Ixobrychus exilis;Ixobrychus exilis;Ixobrychus exilis;Ixobrychus exilis;Ixobrychus exilis;Ixobrychus minutus
Ixobrychus minutus;Ixobrychus minutus;Ixobrychus minutus;Ixobrychus dubius;Ixobrychus minutus;Ixobrychus minutus;Ixobrychus minutus;Ixobrychus minutus
Ixobrychus minutus;Ixobrychus minutus;Ixobrychus minutus;Ixobrychus minutus;Ixobrychus minutus;Ixobrychus minutus;Ixobrychus minutus;Ixobrychus sinensis
Ixobrychus sinensis;Ixobrychus sinensis;Ixobrychus sinensis;Ixobrychus sinensis;Ixobrychus sinensis;Ixobrychus sinensis;Ixobrychus sinensis;Junco hyemalis
Junco hyemalis;Junco hyemalis;Junco hyemalis;Junco hyemalis;Junco hyemalis;Junco hyemalis;Junco hyemalis;Jynx torquilla
Jynx torquilla;Jynx torquilla;Jynx torquilla;Jynx torquilla;Jynx torquilla;Jynx torquilla;Jynx torquilla;Lagopus lagopus
Lagopus lagopus;Lagopus lagopus;Lagopus lagopus;Lagopus lagopus;Lagopus lagopus;Lagopus lagopus;Lagopus lagopus;Lagopus muta
Lagopus muta;Lagopus muta;Lagopus muta;Lagopus muta;Lagopus muta;Lagopus muta;Lagopus muta;Lanius bucephalus
Lanius bucephalus;Lanius bucephalus;Lanius bucephalus;Lanius bucephalus;Lanius bucephalus;Lanius bucephalus;Lanius bucephalus;Lanius collurio
Lanius collurio;Lanius collurio;Lanius collurio;Lanius collurio;Lanius collurio;Lanius collurio;Lanius collurio;Lanius cristatus
Lanius cristatus;Lanius cristatus;Lanius cristatus;Lanius cristatus;Lanius cristatus;Lanius cristatus;Lanius cristatus;Lanius excubitor
Lanius excubitor;Lanius excubitor;Lanius excubitor;Lanius borealis;Lanius excubitor;Lanius excubitor;Lanius excubitor;Lanius excubitor
Lanius excubitor;Lanius excubitor;Lanius excubitor;Lanius excubitor;Lanius excubitor;Lanius excubitor;Lanius excubitor;Lanius ludovicianus
Lanius ludovicianus;Lanius ludovicianus;Lanius ludovicianus;Lanius ludovicianus;Lanius ludovicianus;Lanius ludovicianus;Lanius ludovicianus;Lanius meridionalis
Lanius meridionalis;Lanius meridionalis;Lanius meridionalis;Lanius meridionalis;Lanius meridionalis;Lanius meridionalis;Lanius meridionalis;Lanius minor
Lanius minor;Lanius minor;Lanius minor;Lanius minor;Lanius minor;Lanius minor;Lanius minor;Lanius nubicus
Lanius nubicus;Lanius nubicus;Lanius nubicus;Lanius nubicus;Lanius nubicus;Lanius nubicus;Lanius nubicus;Lanius senator
Lanius senator;Lanius senator;Lanius senator;Lanius senator;Lanius senator;Lanius senator;Lanius senator;Lanius tigrinus
Lanius tigrinus;Lanius tigrinus;Lanius tigrinus;Lanius tigrinus;Lanius tigrinus;Lanius tigrinus;Lanius tigrinus;Larus argentatus
Larus argentatus;Larus argentatus;Larus argentatus;Larus smithsonianus;Larus argentatus;Larus argentatus argentatus/argenteus;Larus argentatus;Larus argentatus
Larus argentatus;Larus argentatus;Larus argentatus;Larus argentatus;Larus argentatus;Larus argentatus argentatus/argenteus;Larus argentatus;Larus argentatus
Larus argentatus;Larus argentatus;Larus argentatus;NA;Larus argentatus;Larus argentatus argentatus/argenteus;Larus argentatus;Larus armenicus
Larus armenicus;Larus armenicus;Larus armenicus;Larus armenicus;Larus armenicus;Larus armenicus;Larus armenicus;Larus audouinii
Larus audouinii;Larus audouinii;Larus audouinii;Larus audouinii;Ichthyaetus audouinii;Ichthyaetus audouinii;Larus audouinii;Larus cachinnans
Larus cachinnans;Larus cachinnans;Larus cachinnans;Larus cachinnans;Larus cachinnans;Larus cachinnans;Larus cachinnans;Larus canus
Larus canus;Larus canus;Larus canus;Larus canus;Larus canus;Larus canus;Larus canus;Larus crassirostris
Larus crassirostris;Larus crassirostris;Larus crassirostris;Larus crassirostris;Larus crassirostris;Larus crassirostris;Larus crassirostris;Larus delawarensis
Larus delawarensis;Larus delawarensis;Larus delawarensis;Larus delawarensis;Larus delawarensis;Larus delawarensis;Larus delawarensis;Larus fuscus
Larus fuscus;Larus fuscus;Larus fuscus;Larus fuscus;Larus fuscus;Larus fuscus;Larus fuscus;Larus genei
Larus genei;Larus genei;Larus genei;Larus genei;Chroicocephalus genei;Chroicocephalus genei;Larus genei;Larus hyperboreus
Larus hyperboreus;Larus hyperboreus;Larus hyperboreus;Larus hyperboreus;Larus hyperboreus;Larus hyperboreus;Larus hyperboreus;Larus ichthyaetus
Larus ichthyaetus;Larus ichthyaetus;Larus ichthyaetus;Larus ichthyaetus;Ichthyaetus ichthyaetus;Ichthyaetus ichthyaetus;Larus ichthyaetus;Larus marinus
Larus marinus;Larus marinus;Larus marinus;Larus marinus;Larus marinus;Larus marinus;Larus marinus;Larus melanocephalus
Larus melanocephalus;Larus melanocephalus;Larus melanocephalus;Larus melanocephalus;Ichthyaetus melanocephalus;Ichthyaetus melanocephalus;Larus melanocephalus;Larus michahellis
Larus michahellis;Larus michahellis;Larus michahellis;Larus michahellis;Larus michahellis;Larus michahellis;Larus michahellis;Larus ridibundus
Larus ridibundus;Larus ridibundus;Larus ridibundus;Larus ridibundus;Chroicocephalus ridibundus;Chroicocephalus ridibundus;Larus ridibundus;Larus schistisagus
Larus schistisagus;Larus schistisagus;Larus schistisagus;Larus schistisagus;Larus schistisagus;Larus schistisagus;Larus schistisagus;Erithacus akahige
Luscinia akahige;Larvivora akahige;Erithacus akahige;NA;Larvivora akahige;Larvivora akahige akahige/rishirensis;Larvivora akahige;Erithacus komadori
Luscinia komadori;Larvivora komadori;Erithacus komadori;NA;Larvivora komadori;Larvivora komadori komadori/subrufus;Larvivora komadori;Laterallus jamaicensis
Laterallus jamaicensis;Laterallus jamaicensis;Laterallus jamaicensis;Laterallus jamaicensis;Laterallus jamaicensis;Laterallus jamaicensis;Laterallus jamaicensis;Dendrocopos medius
Leiopicus medius;Leiopicus medius;Dendrocopos medius;NA;Dendrocoptes medius;Dendrocoptes medius;Leiopicus medius;Leiothrix lutea
Leiothrix lutea;Leiothrix lutea;Leiothrix lutea;Leiothrix lutea;Leiothrix lutea;Leiothrix lutea;Leiothrix lutea;#N/A
Leucophaeus atricilla;Leucophaeus atricilla;NA;NA;NA;NA;#N/A;Limosa lapponica
Limosa lapponica;Limosa lapponica;Limosa lapponica;Limosa lapponica;Limosa lapponica;Limosa lapponica;Limosa lapponica;Limosa limosa
Limosa limosa;Limosa limosa;Limosa limosa;Limosa limosa;Limosa limosa;Limosa limosa;Limosa limosa;Carduelis cannabina
Linaria cannabina;Linaria cannabina;Carduelis cannabina;NA;Linaria cannabina;Linaria cannabina;Linaria cannabina;Carduelis flavirostris
Linaria flavirostris;Linaria flavirostris;Carduelis flavirostris;NA;Linaria flavirostris;Linaria flavirostris;Linaria flavirostris;Locustella fasciolata
Locustella fasciolata;Locustella fasciolata;Locustella fasciolata;NA;Helopsaltes fasciolatus;Helopsaltes fasciolatus;#N/A;Locustella fasciolata
Locustella fasciolata;Locustella fasciolata;Locustella fasciolata;Locustella fasciolata;Helopsaltes fasciolatus;Helopsaltes fasciolatus;#N/A;Locustella fasciolata
Locustella fasciolata;Locustella fasciolata;Locustella fasciolata;Locustella amnicola;Helopsaltes fasciolatus;Helopsaltes fasciolatus;#N/A;Locustella fluviatilis
Locustella fluviatilis;Locustella fluviatilis;Locustella fluviatilis;Locustella fluviatilis;Locustella fluviatilis;Locustella fluviatilis;Locustella fluviatilis;Locustella lanceolata
Locustella lanceolata;Locustella lanceolata;Locustella lanceolata;Locustella lanceolata;Locustella lanceolata;Locustella lanceolata;Locustella lanceolata;Locustella luscinioides
Locustella luscinioides;Locustella luscinioides;Locustella luscinioides;Locustella luscinioides;Locustella luscinioides;Locustella luscinioides;Locustella luscinioides;Locustella naevia
Locustella naevia;Locustella naevia;Locustella naevia;Locustella naevia;Locustella naevia;Locustella naevia;Locustella naevia;Locustella ochotensis
