sp_atlas;sp_atlas adapted1;Family_BL;Order_BL;Hand-Wing.Index_BL;Mass_BL;Habitat_BL;Habitat.Density_BL;Migration_BL;Trophic.Level_BL;Trophic.Niche_BL;Primary.Lifestyle_BL;Range.Size_BL;sp_atlas adapted2;Family_BT;Order_BT;Hand-Wing.Index_BT;Mass_BT;Habitat_BT;Habitat.Density_BT;Migration_BT;Trophic.Level_BT;Trophic.Niche_BT;Primary.Lifestyle_BT;Range.Size_BT
Puffinus yelkouan;Puffinus yelkouan;Procellariidae;Procellariiformes;60.6;497;Marine;3;2;Carnivore;Aquatic predator;Generalist;2989515.98;Puffinus yelkouan;Procellariidae;Procellariiformes;60.6;497;Marine;3;2;Carnivore;Aquatic predator;Generalist;2989515.98
Puffinus yelkouan;Puffinus yelkouan;Procellariidae;Procellariiformes;60.6;497;Marine;3;2;Carnivore;Aquatic predator;Generalist;2989515.98;Puffinus yelkouan;Procellariidae;Procellariiformes;60.6;497;Marine;3;2;Carnivore;Aquatic predator;Generalist;2989515.98
Puffinus yelkouan;Puffinus yelkouan;Procellariidae;Procellariiformes;60.6;497;Marine;3;2;Carnivore;Aquatic predator;Generalist;2989515.98;Puffinus yelkouan;Procellariidae;Procellariiformes;60.6;497;Marine;3;2;Carnivore;Aquatic predator;Generalist;2989515.98
Clanga pomarina;Clanga pomarina;Accipitridae;Accipitriformes;40.6;1359.41;Forest;1;3;Carnivore;Vertivore;Generalist;2013351.79;Clanga pomarina;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
Clanga pomarina;Clanga pomarina;Accipitridae;Accipitriformes;40.6;1359.41;Forest;1;3;Carnivore;Vertivore;Generalist;2013351.79;Clanga pomarina;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
Passer italiae;Passer italiae;Passeridae;Passeriformes;26;28.3;Human Modified;3;1;Herbivore;Granivore;Terrestrial;312371.57;Passer italiae;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
Passer italiae;Passer italiae;Passeridae;Passeriformes;26;28.3;Human Modified;3;1;Herbivore;Granivore;Terrestrial;312371.57;Passer italiae;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
Anser erythropus;Anser erythropus;Anatidae;Anseriformes;53.1;1755.5;Grassland;3;3;Herbivore;Herbivore terrestrial;Terrestrial;2594919.27;Anser erythropus;Anatidae;Anseriformes;53.1;1755.5;Grassland;3;3;Herbivore;Herbivore terrestrial;Terrestrial;2594919.27
Anser erythropus;Anser erythropus;Anatidae;Anseriformes;53.1;1755.5;Grassland;3;3;Herbivore;Herbivore terrestrial;Terrestrial;2594919.27;Anser erythropus;Anatidae;Anseriformes;53.1;1755.5;Grassland;3;3;Herbivore;Herbivore terrestrial;Terrestrial;2594919.27
Anser erythropus;Anser erythropus;Anatidae;Anseriformes;53.1;1755.5;Grassland;3;3;Herbivore;Herbivore terrestrial;Terrestrial;2594919.27;Anser erythropus;Anatidae;Anseriformes;53.1;1755.5;Grassland;3;3;Herbivore;Herbivore terrestrial;Terrestrial;2594919.27
Motacilla citreola;Motacilla citreola;Motacillidae;Passeriformes;28.2;19.11;Wetland;3;3;Carnivore;Aquatic predator;Terrestrial;16401945.75;Motacilla citreola;Motacillidae;Passeriformes;28.2;19.11;Wetland;3;3;Carnivore;Aquatic predator;Terrestrial;16401945.75
Motacilla citreola;Motacilla citreola;Motacillidae;Passeriformes;28.2;19.11;Wetland;3;3;Carnivore;Aquatic predator;Terrestrial;16401945.75;Motacilla citreola;Motacillidae;Passeriformes;28.2;19.11;Wetland;3;3;Carnivore;Aquatic predator;Terrestrial;16401945.75
Motacilla citreola;Motacilla citreola;Motacillidae;Passeriformes;28.2;19.11;Wetland;3;3;Carnivore;Aquatic predator;Terrestrial;16401945.75;Motacilla citreola;Motacillidae;Passeriformes;28.2;19.11;Wetland;3;3;Carnivore;Aquatic predator;Terrestrial;16401945.75
Anser albifrons;Anser albifrons;Anatidae;Anseriformes;52.6;2506.39;Grassland;3;3;Herbivore;Herbivore terrestrial;Terrestrial;5891602.97;Anser albifrons;Anatidae;Anseriformes;52.6;2506.39;Grassland;3;3;Herbivore;Herbivore terrestrial;Terrestrial;5891602.97
Anser albifrons;Anser albifrons;Anatidae;Anseriformes;52.6;2506.39;Grassland;3;3;Herbivore;Herbivore terrestrial;Terrestrial;5891602.97;Anser albifrons;Anatidae;Anseriformes;52.6;2506.39;Grassland;3;3;Herbivore;Herbivore terrestrial;Terrestrial;5891602.97
Anser albifrons;Anser albifrons;Anatidae;Anseriformes;52.6;2506.39;Grassland;3;3;Herbivore;Herbivore terrestrial;Terrestrial;5891602.97;Anser albifrons;Anatidae;Anseriformes;52.6;2506.39;Grassland;3;3;Herbivore;Herbivore terrestrial;Terrestrial;5891602.97
Buteo lagopus;Buteo lagopus;Accipitridae;Accipitriformes;42.1;949.76;Grassland;3;3;Carnivore;Vertivore;Insessorial;9709846.76;Buteo lagopus;Accipitridae;Accipitriformes;42.1;949.76;Grassland;3;3;Carnivore;Vertivore;Insessorial;9709846.76
Buteo lagopus;Buteo lagopus;Accipitridae;Accipitriformes;42.1;949.76;Grassland;3;3;Carnivore;Vertivore;Insessorial;9709846.76;Buteo lagopus;Accipitridae;Accipitriformes;42.1;949.76;Grassland;3;3;Carnivore;Vertivore;Insessorial;9709846.76
Buteo lagopus;Buteo lagopus;Accipitridae;Accipitriformes;42.1;949.76;Grassland;3;3;Carnivore;Vertivore;Insessorial;9709846.76;Buteo lagopus;Accipitridae;Accipitriformes;42.1;949.76;Grassland;3;3;Carnivore;Vertivore;Insessorial;9709846.76
