"","sp_atlas","Accepted_SPNAME","HWI","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Range.Size","BL_name","BT_name","FP","Shapefile_name","sd_PC1","sd_PC2"
"12","Acrocephalus dumetorum","Acrocephalus dumetorum","20.4","11.2","Wetland","2","3","Carnivore","Invertivore","Insessorial","5747941.28","Acrocephalus dumetorum","Acrocephalus dumetorum",3.28827353864893,"Acrocephalus dumetorum",0.560630661044089,0.737032044782841
"13","Acrocephalus melanopogon","Acrocephalus melanopogon","19.3","10.9","Wetland","3","3","Carnivore","Invertivore","Insessorial","2304218.81","Acrocephalus melanopogon","Acrocephalus melanopogon",6.15416846539337,"Acrocephalus melanopogon",0.74174265201179,1.17583157487949
"14","Acrocephalus orientalis","Acrocephalus orientalis","20.9","23.5","Wetland","3","3","Carnivore","Invertivore","Insessorial","5305557.13","Acrocephalus orientalis",NA,NA,"Acrocephalus orientalis",1.41867762011473,1.39007226485721
"15","Acrocephalus paludicola","Acrocephalus paludicola","28.4","11.6","Wetland","3","3","Carnivore","Invertivore","Insessorial","182586.45","Acrocephalus paludicola","Acrocephalus paludicola",7.59911726019337,"Acrocephalus paludicola",0.196613782097583,0.386412548393632
"16","Acrocephalus palustris","Acrocephalus palustris","27.9","11.5","Shrubland","2","3","Carnivore","Invertivore","Insessorial","5996672.74","Acrocephalus palustris","Acrocephalus palustris",7.79635068669618,"Acrocephalus palustris",0.632367645090395,0.579138560816453
"17","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","28.2","11.83","Wetland","3","3","Carnivore","Invertivore","Insessorial","11967937.01","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus",5.41911195489337,"Acrocephalus schoenobaenus",0.953172658128229,0.801190990728142
"18","Acrocephalus scirpaceus","Acrocephalus scirpaceus","24.3","12.3","Wetland","3","3","Carnivore","Invertivore","Insessorial","15112845.4","Acrocephalus scirpaceus","Acrocephalus scirpaceus",3.62197464634893,"Acrocephalus scirpaceus",1.25058938083383,1.41062691390283
"19","Actitis hypoleucos","Actitis hypoleucos","48","48","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","25847437.41","Actitis hypoleucos","Actitis hypoleucos",27.1704909615337,"Actitis hypoleucos",1.23844874989207,1.10883441550244
"20","Actitis macularius","Actitis macularius","47.5","40.4","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","13627000.39","Actitis macularius","Actitis macularius",27.1704909615337,"Actitis macularius",1.21715513482236,1.04515708465485
"21","Aegithalos caudatus","Aegithalos caudatus","22","8.6","Forest","2","1","Carnivore","Invertivore","Insessorial","20041677.81","Aegithalos caudatus","Aegithalos caudatus",5.69267833315517,"Aegithalos caudatus",1.24535023493189,1.19090968638197
"22","Aegithalos caudatus","Aegithalos caudatus","22","8.6","Forest","2","1","Carnivore","Invertivore","Insessorial","20041677.81","Aegithalos iredalei","Aegithalos caudatus",5.69267833315517,"Aegithalos caudatus",1.24535023493189,1.19090968638197
"23","Aegolius acadicus","Aegolius acadicus","29.8","100.69","Forest","2","3","Carnivore","Vertivore","Insessorial","5712891.95","Aegolius acadicus","Aegolius acadicus",12.9534832179524,"Aegolius acadicus",1.2810484410924,1.22054221347413
"24","Aegolius funereus","Aegolius funereus","31.5","137.18","Forest","1","2","Carnivore","Vertivore","Insessorial","23596074.83","Aegolius funereus","Aegolius funereus",20.3876012071191,"Aegolius funereus",1.13706431612174,1.05354849460738
"25","Aegypius monachus","Aegypius monachus","41.1","9320.55","Forest","2","1","Scavenger","Scavenger","Terrestrial","7718571.19","Aegypius monachus","Aegypius monachus",8.63570914657415,"Aegypius monachus",0.872029635174919,1.00962101248521
"26","Agelaius phoeniceus","Agelaius phoeniceus","24","50.78","Wetland","3","3","Herbivore","Granivore","Generalist","13703226.95","Agelaius phoeniceus","Agelaius phoeniceus",5.01851447965801,"Agelaius phoeniceus",1.58022143605177,1.03403042062208
"27","Agropsar philippensis","Agropsar philippensis","37.3","28.8","Woodland","2","3","Omnivore","Omnivore","Insessorial","204502.7","Agropsar philippensis","Sturnus philippensis",3.9434975827548,NA,NA,NA
"28","Aix galericulata","Aix galericulata","50.1","567.04","Forest","3","3","Herbivore","Herbivore aquatic","Generalist","1904941.91","Aix galericulata","Aix galericulata",11.1456014312186,"Aix galericulata",1.69915305061911,1.57378388411052
"29","Aix sponsa","Aix sponsa","49.4","657.59","Wetland","3","1","Herbivore","Omnivore","Generalist","6191757.66","Aix sponsa","Aix sponsa",11.1456014312186,"Aix sponsa",1.17805028098088,0.982465207628088
"30","Alauda arvensis","Alauda arvensis","33.6","37.31","Grassland","3","2","Omnivore","Omnivore","Terrestrial","33005050.82","Alauda arvensis","Alauda arvensis",6.19067582525272,"Alauda arvensis",1.27767271263666,1.19720552090955
"31","Alauda leucoptera","Alauda gulgula","45.9","45.3","Grassland","3","3","Omnivore","Omnivore","Terrestrial","2978169.83","Alauda gulgula","Alauda gulgula",4.07785970768605,NA,NA,NA
"32","Alauda leucoptera","Alauda gulgula","45.9","45.3","Grassland","3","3","Omnivore","Omnivore","Terrestrial","2978169.83","Alauda leucoptera","Alauda gulgula",4.07785970768605,NA,NA,NA
"33","Alaudala rufescens",NA,"29.6","24.1","Grassland","3","2","Omnivore","Omnivore","Terrestrial","11413124.26",NA,NA,NA,NA,NA,NA
"34","Alca torda","Alca torda","56.8","725.99","Marine","3","3","Carnivore","Aquatic predator","Aquatic","1228730.51","Alca torda","Alca torda",13.761044170786,"Alca torda",1.03203326477498,0.534610581695912
"35","Alcedo atthis","Alcedo atthis","26.9","31.09","Riverine","2","1","Carnivore","Aquatic predator","Insessorial","24992154.31","Alcedo atthis","Alcedo atthis",8.29805079435824,"Alcedo atthis",2.08433625127259,1.40560422465249
"36","Alectoris barbara","Alectoris barbara","28.5","416.33","Rock","3","1","Herbivore","Omnivore","Terrestrial","1360209","Alectoris barbara","Alectoris barbara",8.27808415463833,"Alectoris barbara",0.523404946049619,1.10525468510634
"37","Alectoris chukar","Alectoris chukar","29","502.1","Shrubland","3","1","Herbivore","Granivore","Terrestrial","10343343.08","Alectoris chukar","Alectoris chukar",4.55599128524833,"Alectoris chukar",0.93625198260207,1.03535855841434
"38","Alectoris graeca","Alectoris graeca","36.9","594.11","Rock","3","1","Herbivore","Herbivore terrestrial","Terrestrial","538497.96","Alectoris graeca","Alectoris graeca",5.88513939123833,"Alectoris graeca",0.39120205533719,0.442246673432484
"39","Alectoris rufa","Alectoris rufa","25.8","527.86","Shrubland","3","1","Herbivore","Herbivore terrestrial","Terrestrial","953692.19","Alectoris rufa","Alectoris rufa",4.55599128524833,"Alectoris rufa",0.37794321909422,0.770815612789101
"40","Alle alle","Alle alle","51.3","180.73","Marine","3","3","Carnivore","Aquatic predator","Aquatic","375517.37","Alle alle","Alle alle",13.761044170786,"Alle alle",0.723132567384982,0.372643840419001
"41","Alopochen aegyptiaca","Alopochen aegyptiaca","38","1873","Wetland","3","2","Herbivore","Omnivore","Generalist","17452607.3","Alopochen aegyptiaca","Alopochen aegyptiaca",9.79592390998999,"Alopochen aegyptiaca",0.932552088590405,1.34449182747895
"42","Amandava amandava","Amandava amandava","13.5","8.97","Shrubland","2","1","Herbivore","Granivore","Generalist","3578715.84","Amandava amandava","Amandava amandava",11.8952224133415,"Amandava amandava",1.45321693922595,1.17800416123043
"43","Amaurornis phoenicurus","Amaurornis phoenicurus","23.2","180","Wetland","2","1","Carnivore","Aquatic predator","Terrestrial","9839893.66","Amaurornis phoenicurus","Amaurornis phoenicurus",7.14677854485895,"Amaurornis phoenicurus",1.80062377836806,1.50980689719371
"44","Ammodramus caudacutus","Ammodramus caudacutus","18.9","19.19","Wetland","3","3","Carnivore","Invertivore","Generalist","69526.84","Ammospiza caudacuta","Ammodramus caudacutus",3.05893841573823,"Ammospiza caudacuta",0.332467156740939,0.614193592231738
"45","Ammodramus henslowii","Ammodramus henslowii","15.6","12.8","Grassland","3","2","Omnivore","Omnivore","Generalist","1306487.74",NA,"Ammodramus henslowii",5.04197157999239,NA,NA,NA
"46","Ammodramus maritimus","Ammodramus maritimus","14.8","22.16","Wetland","3","2","Carnivore","Invertivore","Terrestrial","184267.84","Ammospiza maritima","Ammodramus maritimus",3.90782657663823,"Ammospiza maritima",0.700970372248827,0.717444867345335
"47","Ammodramus savannarum","Ammodramus savannarum","21.1","17.61","Grassland","3","2","Omnivore","Invertivore","Generalist","5240941.22","Ammodramus savannarum","Ammodramus savannarum",5.24624531752012,"Ammodramus savannarum",1.55581882423823,1.00708557056039
"48","Anas acuta","Anas acuta","57.8","944.62","Wetland","3","3","Herbivore","Herbivore aquatic","Aquatic","28403500.77","Anas acuta","Anas acuta",3.32701303649865,"Anas acuta",1.11475247444406,0.981461922402626
"49","Anas americana","Anas americana","53.7","754.61","Wetland","3","3","Herbivore","Omnivore","Terrestrial","8979266.49","Mareca americana","Anas americana",2.99624763031448,"Mareca americana",1.1851295113382,0.980601508894926
"50","Anas americana","Anas americana","53.7","754.61","Wetland","3","3","Herbivore","Omnivore","Terrestrial","8979266.49","Mareca americana","Anas americana",2.99624763031448,"Mareca falcata",1.03930105087271,1.27260041709824
"51","Anas americana","Anas americana","53.7","754.61","Wetland","3","3","Herbivore","Omnivore","Terrestrial","8979266.49","Mareca americana","Anas americana",2.99624763031448,"Mareca strepera",1.00167707475142,1.07639221791827
"52","Anas americana","Anas americana","53.7","754.61","Wetland","3","3","Herbivore","Omnivore","Terrestrial","8979266.49","Mareca falcata","Anas americana",2.99624763031448,"Mareca americana",1.1851295113382,0.980601508894926
"53","Anas americana","Anas americana","53.7","754.61","Wetland","3","3","Herbivore","Omnivore","Terrestrial","8979266.49","Mareca falcata","Anas americana",2.99624763031448,"Mareca falcata",1.03930105087271,1.27260041709824
"54","Anas americana","Anas americana","53.7","754.61","Wetland","3","3","Herbivore","Omnivore","Terrestrial","8979266.49","Mareca falcata","Anas americana",2.99624763031448,"Mareca strepera",1.00167707475142,1.07639221791827
"55","Anas americana","Anas americana","53.7","754.61","Wetland","3","3","Herbivore","Omnivore","Terrestrial","8979266.49","Mareca penelope","Anas americana",2.99624763031448,"Mareca americana",1.1851295113382,0.980601508894926
"56","Anas americana","Anas americana","53.7","754.61","Wetland","3","3","Herbivore","Omnivore","Terrestrial","8979266.49","Mareca penelope","Anas americana",2.99624763031448,"Mareca falcata",1.03930105087271,1.27260041709824
"57","Anas americana","Anas americana","53.7","754.61","Wetland","3","3","Herbivore","Omnivore","Terrestrial","8979266.49","Mareca penelope","Anas americana",2.99624763031448,"Mareca strepera",1.00167707475142,1.07639221791827
"58","Anas americana","Anas americana","53.7","754.61","Wetland","3","3","Herbivore","Omnivore","Terrestrial","8979266.49","Mareca sibilatrix","Anas americana",2.99624763031448,"Mareca americana",1.1851295113382,0.980601508894926
"59","Anas americana","Anas americana","53.7","754.61","Wetland","3","3","Herbivore","Omnivore","Terrestrial","8979266.49","Mareca sibilatrix","Anas americana",2.99624763031448,"Mareca falcata",1.03930105087271,1.27260041709824
"60","Anas americana","Anas americana","53.7","754.61","Wetland","3","3","Herbivore","Omnivore","Terrestrial","8979266.49","Mareca sibilatrix","Anas americana",2.99624763031448,"Mareca strepera",1.00167707475142,1.07639221791827
"61","Anas americana","Anas americana","53.7","754.61","Wetland","3","3","Herbivore","Omnivore","Terrestrial","8979266.49","Mareca strepera","Anas americana",2.99624763031448,"Mareca americana",1.1851295113382,0.980601508894926
"62","Anas americana","Anas americana","53.7","754.61","Wetland","3","3","Herbivore","Omnivore","Terrestrial","8979266.49","Mareca strepera","Anas americana",2.99624763031448,"Mareca falcata",1.03930105087271,1.27260041709824
"63","Anas americana","Anas americana","53.7","754.61","Wetland","3","3","Herbivore","Omnivore","Terrestrial","8979266.49","Mareca strepera","Anas americana",2.99624763031448,"Mareca strepera",1.00167707475142,1.07639221791827
"64","Anas clypeata","Anas clypeata","58","612.56","Wetland","3","3","Omnivore","Aquatic predator","Aquatic","27068888.24",NA,"Anas clypeata",2.40195762860618,NA,NA,NA
"65","Anas crecca","Anas crecca","53.5","341.89","Wetland","3","2","Herbivore","Herbivore aquatic","Aquatic","31784516.68","Anas crecca","Anas crecca",4.74236715780986,"Anas crecca",1.27196420544863,1.03204534040677
"66","Anas discors","Anas discors","53.8","359.44","Wetland","3","3","Omnivore","Herbivore aquatic","Aquatic","8349222.13",NA,"Anas discors",2.56449557848952,NA,NA,NA
"67","Anas falcata","Anas falcata","54.5","645.83","Wetland","3","3","Herbivore","Herbivore aquatic","Aquatic","5490157.81",NA,"Anas falcata",3.91098473601448,NA,NA,NA
"68","Anas platyrhynchos","Anas platyrhynchos","50.7","843.42","Wetland","3","2","Herbivore","Herbivore aquatic","Aquatic","39707247.47","Anas platyrhynchos","Anas platyrhynchos",1.57326669968379,"Anas platyrhynchos",1.2036164292786,1.25663111317334
"69","Anas querquedula","Anas querquedula","56.1","325.6","Wetland","3","3","Omnivore","Herbivore aquatic","Aquatic","16861397.11",NA,"Anas querquedula",3.89564585773619,NA,NA,NA
"70","Anas rubripes","Anas rubripes","51.4","1240.96","Wetland","3","2","Omnivore","Herbivore aquatic","Aquatic","4118764.61","Anas rubripes","Anas rubripes",1.62404099087713,"Anas rubripes",0.886989877773471,0.822639284641944
"71","Anas strepera","Anas strepera","54.8","915.58","Wetland","3","2","Herbivore","Herbivore aquatic","Aquatic","18552362.65",NA,"Anas strepera",3.91098473601448,NA,NA,NA
"72","Anas zonorhyncha","Anas poecilorhyncha zonorhyncha","49.3","1156","Wetland","3","2","Herbivore","Herbivore aquatic","Aquatic","8223090.75","Anas zonorhyncha",NA,NA,NA,NA,NA
"73","Anous stolidus","Anous stolidus","63","177.77","Marine","3","2","Carnivore","Aquatic predator","Aerial","10192935.47","Anous stolidus","Anous stolidus",14.8573509220741,"Anous stolidus",1.4780320846319,1.12604946869712
"74","Anser albifrons","Anser albifrons","52.6","2506.39","Grassland","3","3","Herbivore","Herbivore terrestrial","Terrestrial","5891602.97","Anser albifrons","Anser albifrons",4.232250601955,"Anser albifrons",0.748067948913637,0.760289122412499
"75","Anser anser","Anser anser","47.2","3302.41","Wetland","3","3","Herbivore","Herbivore terrestrial","Terrestrial","13285537.12","Anser anser","Anser anser",3.72533395413833,"Anser anser",1.02581602252996,1.28014883102141
"76","Anser brachyrhynchus","Anser brachyrhynchus","49.3","2642.04","Grassland","3","3","Herbivore","Herbivore terrestrial","Terrestrial","190949.74","Anser brachyrhynchus","Anser brachyrhynchus",3.895584642205,"Anser brachyrhynchus",1.05175495442101,0.252276356850544
"77","Anser erythropus","Anser erythropus","53.1","1755.5","Grassland","3","3","Herbivore","Herbivore terrestrial","Terrestrial","2594919.27","Anser erythropus","Anser erythropus",3.45070668103833,"Anser erythropus",1.05958180148741,0.721550890871847
"78","Anser fabalis","Anser fabalis","50.2","2754.73","Wetland","3","3","Herbivore","Herbivore terrestrial","Terrestrial","13919541.37","Anser fabalis","Anser fabalis",4.232250601955,"Anser fabalis",0.819559805181068,1.10937255143539
"79","Anthropoides virgo","Anthropoides virgo","45.5","2417","Grassland","3","3","Omnivore","Omnivore","Terrestrial","8896222.51","Anthropoides virgo",NA,NA,NA,NA,NA
"80","Anthus berthelotii","Anthus berthelotii","23","15.86","Rock","2","1","Carnivore","Invertivore","Terrestrial","8283.44","Anthus berthelotii","Anthus berthelotii",4.12448808842607,"Anthus berthelotii",0.201771516494349,0.271858649622102
"81","Anthus campestris","Anthus campestris","28.5","23","Grassland","3","3","Carnivore","Invertivore","Terrestrial","11176674.59","Anthus campestris","Anthus campestris",3.30167705812607,"Anthus campestris",0.9205249310195,0.996610432210072
"82","Anthus cervinus","Anthus cervinus","27.5","20.9","Grassland","3","3","Carnivore","Invertivore","Terrestrial","3787889.02","Anthus cervinus","Anthus cervinus",4.8946615817831,"Anthus cervinus",0.997733455259328,0.739638870788879
"83","Anthus cervinus","Anthus cervinus","27.5","20.9","Grassland","3","3","Carnivore","Invertivore","Terrestrial","3787889.02","Anthus peruvianus","Anthus cervinus",4.8946615817831,"Anthus cervinus",0.997733455259328,0.739638870788879
"84","Anthus hodgsoni","Anthus hodgsoni","25.9","21.3","Grassland","3","3","Carnivore","Invertivore","Terrestrial","14109130.12","Anthus hodgsoni","Anthus hodgsoni",9.08661353386644,"Anthus hodgsoni",1.36467999488961,1.16437376921285
"85","Anthus petrosus","Anthus petrosus","26.5","22.4","Rock","3","2","Carnivore","Invertivore","Terrestrial","292817.47","Anthus petrosus","Anthus petrosus",3.74510747126644,"Anthus petrosus",0.813603960854706,0.498358654749844
"86","Anthus pratensis","Anthus pratensis","24.3","18.4","Grassland","3","2","Carnivore","Invertivore","Terrestrial","6733599.47","Anthus pratensis","Anthus pratensis",4.35503040756644,"Anthus pratensis",0.925679463228744,0.721456982501246
"87","Anthus spinoletta","Anthus spinoletta","23.4","23.9","Grassland","3","3","Carnivore","Invertivore","Terrestrial","3806294.97","Anthus spinoletta","Anthus spinoletta",3.74510747126644,"Anthus spinoletta",1.03544217172809,1.11553941086171
"88","Anthus trivialis","Anthus trivialis","29.3","23.33","Woodland","2","3","Omnivore","Invertivore","Terrestrial","15353264.33","Anthus trivialis","Anthus trivialis",7.82056849886644,"Anthus trivialis",1.17536295012982,0.944840670468392
"89","Apalopteron familiare","Apalopteron familiare","15.9","15","Forest","1","1","Herbivore","Frugivore","Insessorial","23.9","Apalopteron familiare","Apalopteron familiare",13.0143363730572,"Apalopteron familiare",0.00996086749082237,0.044484047288609
"90","Apus apus","Apus apus","71.6","37.6","Human Modified","1","3","Carnivore","Invertivore","Aerial","24779919.71","Apus apus","Apus apus",8.47142465740129,"Apus apus",1.00925581736416,1.30695832759885
"91","Apus caffer","Apus caffer","69.1","22.1","Shrubland","1","3","Carnivore","Invertivore","Aerial","12490681.95","Apus caffer","Apus caffer",11.5106590897015,"Apus caffer",0.863781482729689,1.19058080722163
"92","Apus nipalensis","Apus nipalensis","67.6","29.82","Human Modified","1","3","Carnivore","Invertivore","Aerial","5768014.18","Apus nipalensis","Apus nipalensis",4.01404970983463,"Apus nipalensis",1.72379804501028,1.1619316311097
"93","Apus pacificus","Apus pacificus","69.4","39.43","Woodland","1","2","Carnivore","Invertivore","Aerial","15859868.87","Apus pacificus","Apus pacificus",11.6069206947528,"Apus pacificus",1.81868616110123,1.20255805610959
"94","Apus pallidus","Apus pallidus","72.3","41.9","Rock","1","3","Carnivore","Invertivore","Aerial","1720365.16","Apus pallidus","Apus pallidus",4.45498237176796,"Apus pallidus",0.485416146584605,1.61684420807543
"95","Apus unicolor","Apus unicolor","71.7","22.5","Rock","1","2","Carnivore","Invertivore","Aerial","8283.55","Apus unicolor","Apus unicolor",9.27614291466819,"Apus unicolor",0.335100364970456,0.676077406382345
"96","Aquila adalberti","Aquila adalberti","39.7","2958.03","Woodland","1","2","Carnivore","Vertivore","Generalist","131221.76","Aquila adalberti","Aquila adalberti",4.28341379648921,"Aquila adalberti",0.423317600808803,0.678029118898994
"97","Aquila chrysaetos","Aquila chrysaetos","36.7","4247.97","Grassland","3","2","Carnivore","Vertivore","Aerial","39450257.98","Aquila chrysaetos","Aquila chrysaetos",7.70896396854159,"Aquila chrysaetos",1.28770477805093,1.24954996374489
"98","Aquila fasciata","Aquila fasciata","37.3","1936.49","Rock","3","2","Carnivore","Vertivore","Aerial","5630034.84","Aquila fasciata","Aquila fasciatus",4.30274127204159,NA,NA,NA
"99","Aquila heliaca","Aquila heliaca","39.5","3125.21","Woodland","1","3","Carnivore","Vertivore","Generalist","9556213.62","Aquila heliaca","Aquila heliaca",4.28341379648921,"Aquila heliaca",0.774311948225105,0.936248020309847
"100","Aquila nipalensis","Aquila nipalensis","40.5","2714.33","Grassland","3","3","Carnivore","Vertivore","Aerial","6933240.92","Aquila nipalensis","Aquila nipalensis",5.25430752925588,"Aquila nipalensis",0.470233868581758,0.969826239758754
"101","Aquila pomarina","Aquila pomarina","40.6","1359.41","Forest","1","3","Carnivore","Vertivore","Generalist","2013351.79",NA,"Aquila pomarina",4.38780279386989,NA,NA,NA
"102","Archilochus colubris","Archilochus colubris","65","3.09","Woodland","2","3","Omnivore","Nectarivore","Generalist","4936988.47","Archilochus colubris","Archilochus colubris",3.37199301572373,"Archilochus colubris",1.04942462180507,0.854827388641252
"103","Ardea alba","Ardea alba","32.1","871.33","Wetland","3","2","Carnivore","Aquatic predator","Terrestrial","74898555.49","Ardea alba","Casmerodius albus",14.5107296098371,NA,NA,NA
"104","Ardea cinerea","Ardea cinerea","34.6","1443","Wetland","3","1","Carnivore","Aquatic predator","Terrestrial","46421646.29","Ardea intermedia","Ardea cinerea",5.2210852259239,"Ardea cinerea",2.08019300665479,1.45876265528322
"105","Ardea cinerea","Ardea cinerea","34.6","1443","Wetland","3","1","Carnivore","Aquatic predator","Terrestrial","46421646.29","Ardea cinerea","Ardea cinerea",5.2210852259239,"Ardea cinerea",2.08019300665479,1.45876265528322
"106","Ardea herodias","Ardea herodias","36.6","2523.41","Wetland","3","2","Carnivore","Aquatic predator","Terrestrial","12219055.66","Ardea herodias","Ardea herodias",4.40304966072389,"Ardea herodias",1.43081593632729,1.12447283630604
"107","Egretta intermedia","Ardea cinerea","32.7","458.83","Wetland","3","2","Carnivore","Aquatic predator","Terrestrial","5469087.01","Ardea intermedia","Ardea cinerea",5.2210852259239,"Ardea cinerea",2.08019300665479,1.45876265528322
"108","Egretta intermedia","Ardea cinerea","32.7","458.83","Wetland","3","2","Carnivore","Aquatic predator","Terrestrial","5469087.01","Ardea cinerea","Ardea cinerea",5.2210852259239,"Ardea cinerea",2.08019300665479,1.45876265528322
"109","Ardea purpurea","Ardea purpurea","33.9","1064.48","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","34922824.77","Ardea purpurea","Ardea purpurea",4.40304966072389,"Ardea purpurea",1.86843009604323,1.48333526300713
"110","Ardeola ralloides","Ardeola ralloides","32.4","287","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","20358790","Ardeola ralloides","Ardeola ralloides",12.7810085406695,"Ardeola ralloides",1.40122491916487,1.37873300931019
"111","Arenaria interpres","Arenaria interpres","55.6","135.98","Coastal","3","3","Carnivore","Aquatic predator","Terrestrial","2619753.6","Arenaria interpres","Arenaria interpres",20.3993936838976,"Arenaria interpres",0.973680972757115,0.614327581983036
"112","Asio flammeus","Asio flammeus","47.5","322.61","Grassland","3","3","Carnivore","Vertivore","Aerial","39874062.36","Asio flammeus","Asio flammeus",12.6899022194832,"Asio flammeus",1.70944172324479,1.0633427481653
"113","Asio otus","Asio otus","41.2","296.57","Forest","2","2","Carnivore","Vertivore","Aerial","27618929.92","Asio otus","Asio otus",8.73227248881654,"Asio otus",1.10329265479092,1.1343769579447
"114","Athene noctua","Athene noctua","31.8","168.92","Human Modified","3","1","Carnivore","Omnivore","Insessorial","26742298.73","Athene noctua","Athene noctua",17.3719931202151,"Athene noctua",1.06131443352989,1.35535636427363
"115","Aythya affinis","Aythya affinis","51","819.45","Wetland","3","3","Omnivore","Aquatic predator","Aquatic","5052907.86","Aythya affinis","Aythya affinis",2.70833489275928,"Aythya affinis",0.793534416731609,0.662135367549148
"116","Aythya affinis","Aythya affinis","51","819.45","Wetland","3","3","Omnivore","Aquatic predator","Aquatic","5052907.86","Argya affinis","Aythya affinis",2.70833489275928,"Aythya affinis",0.793534416731609,0.662135367549148
"117","Aythya americana","Aythya americana","46","1075.69","Wetland","3","3","Herbivore","Herbivore aquatic","Aquatic","5111761.27","Aythya americana","Aythya americana",2.40986773979261,"Aythya americana",0.882215229556888,0.761855932369358
"118","Aythya collaris","Aythya collaris","48.2","704.55","Wetland","3","3","Omnivore","Herbivore aquatic","Aquatic","4899833.68","Aythya collaris","Aythya collaris",2.69966380219261,"Aythya collaris",0.996833974160802,0.881995913097641
"119","Aythya ferina","Aythya ferina","50.1","822.99","Wetland","3","1","Herbivore","Herbivore aquatic","Aquatic","16611109.18","Aythya ferina","Aythya ferina",2.85130969157595,"Aythya ferina",1.05609631804482,1.07432324995908
"120","Aythya fuligula","Aythya fuligula","50.1","701.17","Wetland","3","2","Omnivore","Herbivore aquatic","Aquatic","20377977.97","Aythya fuligula","Aythya fuligula",3.24173441355928,"Aythya fuligula",1.24611982677706,1.1598029072463
"121","Aythya marila","Aythya marila","48.9","1005.37","Wetland","3","3","Omnivore","Aquatic predator","Aquatic","11929401.28","Aythya marila","Aythya marila",2.70833489275928,"Aythya marila",1.21911574452228,0.913468866316396
"122","Aythya nyroca","Aythya nyroca","48.9","574","Wetland","3","3","Herbivore","Herbivore aquatic","Aquatic","6827514.86","Aythya nyroca","Aythya nyroca",3.00451403437039,"Aythya nyroca",0.81160396750827,1.20492001422106
