"","sp_atlas","Accepted_SPNAME","HWI","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Range.Size"
"25","Agelaius phoeniceus","Agelaius phoeniceus","24","50.78","Wetland","3","3","Herbivore","Granivore","Generalist","13703226.95"
"26","Agropsar philippensis","Agropsar philippensis","37.3","28.8","Woodland","2","3","Omnivore","Omnivore","Insessorial","204502.7"
"27","Aix galericulata","Aix galericulata","50.1","567.04","Forest","3","3","Herbivore","Herbivore aquatic","Generalist","1904941.91"
"28","Aix sponsa","Aix sponsa","49.4","657.59","Wetland","3","1","Herbivore","Omnivore","Generalist","6191757.66"
"29","Alauda arvensis","Alauda arvensis","33.6","37.31","Grassland","3","2","Omnivore","Omnivore","Terrestrial","33005050.82"
"30","Alauda leucoptera","Alauda gulgula","45.9","45.3","Grassland","3","3","Omnivore","Omnivore","Terrestrial","2978169.83"
"31","Alaudala rufescens",NA,"29.6","24.1","Grassland","3","2","Omnivore","Omnivore","Terrestrial","11413124.26"
"32","Alca torda","Alca torda","56.8","725.99","Marine","3","3","Carnivore","Aquatic predator","Aquatic","1228730.51"
"33","Alcedo atthis","Alcedo atthis","26.9","31.09","Riverine","2","1","Carnivore","Aquatic predator","Insessorial","24992154.31"
"34","Alectoris barbara","Alectoris barbara","28.5","416.33","Rock","3","1","Herbivore","Omnivore","Terrestrial","1360209"
"35","Alectoris chukar","Alectoris chukar","29","502.1","Shrubland","3","1","Herbivore","Granivore","Terrestrial","10343343.08"
"36","Alectoris graeca","Alectoris graeca","36.9","594.11","Rock","3","1","Herbivore","Herbivore terrestrial","Terrestrial","538497.96"
"37","Alectoris rufa","Alectoris rufa","25.8","527.86","Shrubland","3","1","Herbivore","Herbivore terrestrial","Terrestrial","953692.19"
"38","Alle alle","Alle alle","51.3","180.73","Marine","3","3","Carnivore","Aquatic predator","Aquatic","375517.37"
"39","Alopochen aegyptiaca","Alopochen aegyptiaca","38","1873","Wetland","3","2","Herbivore","Omnivore","Generalist","17452607.3"
"40","Amandava amandava","Amandava amandava","13.5","8.97","Shrubland","2","1","Herbivore","Granivore","Generalist","3578715.84"
"41","Amaurornis phoenicurus","Amaurornis phoenicurus","23.2","180","Wetland","2","1","Carnivore","Aquatic predator","Terrestrial","9839893.66"
"42","Ammodramus caudacutus","Ammodramus caudacutus","18.9","19.19","Wetland","3","3","Carnivore","Invertivore","Generalist","69526.84"
"43","Ammodramus henslowii","Ammodramus henslowii","15.6","12.8","Grassland","3","2","Omnivore","Omnivore","Generalist","1306487.74"
"44","Ammodramus maritimus","Ammodramus maritimus","14.8","22.16","Wetland","3","2","Carnivore","Invertivore","Terrestrial","184267.84"
"45","Ammodramus savannarum","Ammodramus savannarum","21.1","17.61","Grassland","3","2","Omnivore","Invertivore","Generalist","5240941.22"
"46","Anas acuta","Anas acuta","57.8","944.62","Wetland","3","3","Herbivore","Herbivore aquatic","Aquatic","28403500.77"
"47","Anas americana","Anas americana","53.7","754.61","Wetland","3","3","Herbivore","Omnivore","Terrestrial","8979266.49"
"48","Anas clypeata","Anas clypeata","58","612.56","Wetland","3","3","Omnivore","Aquatic predator","Aquatic","27068888.24"
"49","Anas crecca","Anas crecca","53.5","341.89","Wetland","3","2","Herbivore","Herbivore aquatic","Aquatic","31784516.68"
"50","Anas discors","Anas discors","53.8","359.44","Wetland","3","3","Omnivore","Herbivore aquatic","Aquatic","8349222.13"
"51","Anas falcata","Anas falcata","54.5","645.83","Wetland","3","3","Herbivore","Herbivore aquatic","Aquatic","5490157.81"
"52","Anas platyrhynchos","Anas platyrhynchos","50.7","843.42","Wetland","3","2","Herbivore","Herbivore aquatic","Aquatic","39707247.47"
"53","Anas querquedula","Anas querquedula","56.1","325.6","Wetland","3","3","Omnivore","Herbivore aquatic","Aquatic","16861397.11"
"54","Anas rubripes","Anas rubripes","51.4","1240.96","Wetland","3","2","Omnivore","Herbivore aquatic","Aquatic","4118764.61"
"55","Anas strepera","Anas strepera","54.8","915.58","Wetland","3","2","Herbivore","Herbivore aquatic","Aquatic","18552362.65"
"56","Anas zonorhyncha","Anas poecilorhyncha zonorhyncha","49.3","1156","Wetland","3","2","Herbivore","Herbivore aquatic","Aquatic","8223090.75"
"57","Anous stolidus","Anous stolidus","63","177.77","Marine","3","2","Carnivore","Aquatic predator","Aerial","10192935.47"
"58","Anser albifrons","Anser albifrons","52.6","2506.39","Grassland","3","3","Herbivore","Herbivore terrestrial","Terrestrial","5891602.97"
"59","Anser anser","Anser anser","47.2","3302.41","Wetland","3","3","Herbivore","Herbivore terrestrial","Terrestrial","13285537.12"
"60","Anser brachyrhynchus","Anser brachyrhynchus","49.3","2642.04","Grassland","3","3","Herbivore","Herbivore terrestrial","Terrestrial","190949.74"
"61","Anser erythropus","Anser erythropus","53.1","1755.5","Grassland","3","3","Herbivore","Herbivore terrestrial","Terrestrial","2594919.27"
"62","Anser fabalis","Anser fabalis","50.2","2754.73","Wetland","3","3","Herbivore","Herbivore terrestrial","Terrestrial","13919541.37"
"63","Anthropoides virgo","Anthropoides virgo","45.5","2417","Grassland","3","3","Omnivore","Omnivore","Terrestrial","8896222.51"
"64","Anthus berthelotii","Anthus berthelotii","23","15.86","Rock","2","1","Carnivore","Invertivore","Terrestrial","8283.44"
"65","Anthus campestris","Anthus campestris","28.5","23","Grassland","3","3","Carnivore","Invertivore","Terrestrial","11176674.59"
"66","Anthus cervinus","Anthus cervinus","27.5","20.9","Grassland","3","3","Carnivore","Invertivore","Terrestrial","3787889.02"
"67","Anthus hodgsoni","Anthus hodgsoni","25.9","21.3","Grassland","3","3","Carnivore","Invertivore","Terrestrial","14109130.12"
"68","Anthus petrosus","Anthus petrosus","26.5","22.4","Rock","3","2","Carnivore","Invertivore","Terrestrial","292817.47"
"69","Anthus pratensis","Anthus pratensis","24.3","18.4","Grassland","3","2","Carnivore","Invertivore","Terrestrial","6733599.47"
"70","Anthus spinoletta","Anthus spinoletta","23.4","23.9","Grassland","3","3","Carnivore","Invertivore","Terrestrial","3806294.97"
"71","Anthus trivialis","Anthus trivialis","29.3","23.33","Woodland","2","3","Omnivore","Invertivore","Terrestrial","15353264.33"
"72","Apalopteron familiare","Apalopteron familiare","15.9","15","Forest","1","1","Herbivore","Frugivore","Insessorial","23.9"
"73","Apus apus","Apus apus","71.6","37.6","Human Modified","1","3","Carnivore","Invertivore","Aerial","24779919.71"
"74","Apus caffer","Apus caffer","69.1","22.1","Shrubland","1","3","Carnivore","Invertivore","Aerial","12490681.95"
"75","Apus nipalensis","Apus nipalensis","67.6","29.82","Human Modified","1","3","Carnivore","Invertivore","Aerial","5768014.18"
"76","Apus pacificus","Apus pacificus","69.4","39.43","Woodland","1","2","Carnivore","Invertivore","Aerial","15859868.87"
"77","Apus pallidus","Apus pallidus","72.3","41.9","Rock","1","3","Carnivore","Invertivore","Aerial","1720365.16"
"78","Apus unicolor","Apus unicolor","71.7","22.5","Rock","1","2","Carnivore","Invertivore","Aerial","8283.55"
"79","Aquila adalberti","Aquila adalberti","39.7","2958.03","Woodland","1","2","Carnivore","Vertivore","Generalist","131221.76"
"80","Aquila chrysaetos","Aquila chrysaetos","36.7","4247.97","Grassland","3","2","Carnivore","Vertivore","Aerial","39450257.98"
"81","Aquila fasciata","Aquila fasciata","37.3","1936.49","Rock","3","2","Carnivore","Vertivore","Aerial","5630034.84"
"82","Aquila heliaca","Aquila heliaca","39.5","3125.21","Woodland","1","3","Carnivore","Vertivore","Generalist","9556213.62"
"83","Aquila nipalensis","Aquila nipalensis","40.5","2714.33","Grassland","3","3","Carnivore","Vertivore","Aerial","6933240.92"
"84","Aquila pomarina","Aquila pomarina","40.6","1359.41","Forest","1","3","Carnivore","Vertivore","Generalist","2013351.79"
"85","Archilochus colubris","Archilochus colubris","65","3.09","Woodland","2","3","Omnivore","Nectarivore","Generalist","4936988.47"
"86","Ardea alba","Ardea alba","32.1","871.33","Wetland","3","2","Carnivore","Aquatic predator","Terrestrial","74898555.49"
"87","Ardea cinerea","Ardea cinerea","34.6","1443","Wetland","3","1","Carnivore","Aquatic predator","Terrestrial","46421646.29"
"88","Ardea herodias","Ardea herodias","36.6","2523.41","Wetland","3","2","Carnivore","Aquatic predator","Terrestrial","12219055.66"
"89","Egretta intermedia","Ardea cinerea","32.7","458.83","Wetland","3","2","Carnivore","Aquatic predator","Terrestrial","5469087.01"
"90","Ardea purpurea","Ardea purpurea","33.9","1064.48","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","34922824.77"
"91","Ardeola ralloides","Ardeola ralloides","32.4","287","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","20358790"
"92","Arenaria interpres","Arenaria interpres","55.6","135.98","Coastal","3","3","Carnivore","Aquatic predator","Terrestrial","2619753.6"
"93","Asio flammeus","Asio flammeus","47.5","322.61","Grassland","3","3","Carnivore","Vertivore","Aerial","39874062.36"
"94","Asio otus","Asio otus","41.2","296.57","Forest","2","2","Carnivore","Vertivore","Aerial","27618929.92"
"95","Athene noctua","Athene noctua","31.8","168.92","Human Modified","3","1","Carnivore","Omnivore","Insessorial","26742298.73"
"96","Aythya affinis","Aythya affinis","51","819.45","Wetland","3","3","Omnivore","Aquatic predator","Aquatic","5052907.86"
"97","Aythya americana","Aythya americana","46","1075.69","Wetland","3","3","Herbivore","Herbivore aquatic","Aquatic","5111761.27"
"98","Aythya collaris","Aythya collaris","48.2","704.55","Wetland","3","3","Omnivore","Herbivore aquatic","Aquatic","4899833.68"
"99","Aythya ferina","Aythya ferina","50.1","822.99","Wetland","3","1","Herbivore","Herbivore aquatic","Aquatic","16611109.18"
"100","Aythya fuligula","Aythya fuligula","50.1","701.17","Wetland","3","2","Omnivore","Herbivore aquatic","Aquatic","20377977.97"
"101","Aythya marila","Aythya marila","48.9","1005.37","Wetland","3","3","Omnivore","Aquatic predator","Aquatic","11929401.28"
"102","Aythya nyroca","Aythya nyroca","48.9","574","Wetland","3","3","Herbivore","Herbivore aquatic","Aquatic","6827514.86"
"103","Aythya valisineria","Aythya valisineria","42","1202","Wetland","3","3","Herbivore","Herbivore aquatic","Aquatic","3654390.23"
"104","Baeolophus bicolor","Baeolophus bicolor","16.1","21.6","Forest","1","1","Carnivore","Invertivore","Insessorial","2969712.5"
"105","Bambusicola thoracicus","Bambusicola thoracicus","23.9","264.79","Forest","2","1","Herbivore","Omnivore","Terrestrial","1316291.8"
"106","Bartramia longicauda","Bartramia longicauda","52.9","158.92","Grassland","3","3","Carnivore","Invertivore","Terrestrial","3282893.45"
"107","Bombycilla cedrorum","Bombycilla cedrorum","35.1","31.58","Woodland","2","3","Herbivore","Frugivore","Insessorial","7437954.14"
"108","Bombycilla garrulus","Bombycilla garrulus","37.8","54.41","Forest","1","3","Herbivore","Omnivore","Insessorial","12792145"
"109","Bonasa bonasia","Tetrastes bonasia","33","429","Woodland","1","1","Herbivore","Herbivore terrestrial","Generalist","15669355.23"
"110","Bonasa umbellus","Bonasa umbellus","38.3","530.91","Shrubland","1","1","Herbivore","Herbivore terrestrial","Generalist","8071254.33"
"111","Botaurus lentiginosus","Botaurus lentiginosus","32","706","Wetland","1","3","Carnivore","Aquatic predator","Terrestrial","8778053.14"
"112","Botaurus stellaris","Botaurus stellaris","31.2","1319.45","Wetland","1","2","Carnivore","Aquatic predator","Terrestrial","18110303.08"
"113","Branta bernicla","Branta bernicla","52.3","1277.91","Grassland","3","3","Herbivore","Herbivore terrestrial","Terrestrial","3125724.3"
"114","Branta canadensis","Branta canadensis","49.4","2811.68","Grassland","3","3","Herbivore","Herbivore terrestrial","Terrestrial","12236810.45"
"115","Branta leucopsis","Branta leucopsis","50.6","1683.97","Grassland","3","3","Herbivore","Herbivore terrestrial","Terrestrial","178673.97"
"116","Bubo bubo","Bubo bubo","33","2668.51","Rock","2","1","Carnivore","Vertivore","Insessorial","31974373.19"
"117","Bubo scandiacus","Bubo scandiacus","41.1","2028.76","Grassland","3","3","Carnivore","Vertivore","Insessorial","5773405.49"
"118","Bubo virginianus","Bubo virginianus","30.4","1354.5","Forest","2","1","Carnivore","Vertivore","Insessorial","24426738.59"
"119","Bubulcus ibis","Bubulcus ibis","29.9","365.95","Human Modified","3","2","Carnivore","Omnivore","Terrestrial","62451101.72"
"120","Bucanetes githagineus","Bucanetes githagineus","34.8","19.6","Desert","3","2","Herbivore","Granivore","Terrestrial","7096376.81"
"121","Bucanetes mongolicus","Bucanetes mongolicus","32","21.5","Desert","3","2","Herbivore","Granivore","Terrestrial","4276225.48"
"122","Bucephala clangula","Bucephala clangula","51.4","918.56","Wetland","3","3","Carnivore","Aquatic predator","Aquatic","22082935.41"
"123","Bucephala islandica","Bucephala islandica","47.2","921.21","Wetland","3","2","Carnivore","Aquatic predator","Aquatic","2257979.96"
"124","Bulweria bulwerii","Bulweria bulwerii","62.1","98.99","Marine","3","2","Carnivore","Aquatic predator","Aquatic","117388743.9"
"125","Burhinus oedicnemus","Burhinus oedicnemus","47.7","459","Grassland","3","3","Carnivore","Invertivore","Terrestrial","13080577.64"
"126","Butastur indicus","Butastur indicus","46.9","414.6","Woodland","2","3","Carnivore","Vertivore","Insessorial","1828306.34"
"127","Buteo buteo","Buteo buteo","38.3","759.1","Grassland","3","2","Carnivore","Vertivore","Insessorial","16600070.45"
"128","Buteo jamaicensis","Buteo jamaicensis","34.1","1101.16","Woodland","2","3","Carnivore","Vertivore","Insessorial","15462822.34"
"129","Buteo lagopus","Buteo lagopus","42.1","949.76","Grassland","3","3","Carnivore","Vertivore","Insessorial","9709846.76"
"130","Buteo lineatus","Buteo lineatus","33.4","603.72","Woodland","1","3","Carnivore","Vertivore","Aerial","3542030.5"
"131","Buteo platypterus","Buteo platypterus","36.9","453.65","Forest","2","3","Carnivore","Vertivore","Insessorial","4864047.78"
"132","Buteo rufinus","Buteo rufinus","40.5","1166.18","Grassland","3","3","Carnivore","Vertivore","Generalist","8574436.83"
"133","Butorides striata","Butorides striata","29.8","201.5","Wetland","3","1","Carnivore","Aquatic predator","Terrestrial","46142630.38"
"134","Butorides virescens","Butorides virescens","32.2","201.5","Wetland","3","1","Carnivore","Aquatic predator","Terrestrial","7166813.3"
"135","Calandrella brachydactyla","Calandrella brachydactyla","34.5","21.06","Grassland","3","2","Omnivore","Omnivore","Terrestrial","13543066.59"
"136","Calcarius lapponicus","Calcarius lapponicus","30.7","27.84","Grassland","3","3","Herbivore","Granivore","Terrestrial","8536158.76"
"137","Calidris alba","Calidris alba","52.3","51.71","Coastal","3","3","Carnivore","Aquatic predator","Terrestrial","1344741.13"
"138","Calidris alpina","Calidris alpina","53.4","51.89","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","4754236.34"
"139","Calidris canutus","Calidris canutus","57.9","141.87","Coastal","3","3","Carnivore","Aquatic predator","Terrestrial","1604194.57"
"140","Calidris falcinellus","Calidris fuscicollis","53.9","37.1","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","1005823.74"
"141","Calidris maritima","Calidris maritima","50.5","65.1","Grassland","3","3","Carnivore","Aquatic predator","Terrestrial","2008818.99"
"142","Calidris melanotos","Calidris melanotos","53.4","79.73","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","2362488.1"
"143","Calidris minuta","Calidris minuta","50.6","21.1","Grassland","3","3","Carnivore","Aquatic predator","Terrestrial","1734619.92"
"144","Calidris pugnax","Calidris alpina","51","131.68","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","8562266.88"
"145","Calidris temminckii","Calidris temminckii","50","23","Grassland","3","3","Carnivore","Aquatic predator","Terrestrial","3436316.19"
"146","Calliope calliope",NA,"22.8","18.5","Shrubland","2","3","Carnivore","Invertivore","Terrestrial","10841460.62"
"147","Callipepla californica","Callipepla californica","26.2","165.7","Shrubland","2","1","Herbivore","Omnivore","Terrestrial","1087257.04"
"148","Calonectris borealis","Calonectris leucomelas","53.7","534.99","Marine","3","3","Carnivore","Aquatic predator","Generalist","58806206.19"
"149","Calonectris diomedea","Calonectris diomedea","64.1","534.99","Marine","3","3","Carnivore","Aquatic predator","Generalist","62373387.06"
"150","Calonectris leucomelas","Calonectris leucomelas","61","579.99","Marine","3","3","Carnivore","Aquatic predator","Generalist","32884751.33"
"151","Caprimulgus carolinensis","Antrostomus carolinensis","51.5","109","Woodland","2","3","Carnivore","Invertivore","Aerial","1808676.44"
"152","Caprimulgus europaeus","Caprimulgus europaeus","53.4","67","Shrubland","2","3","Carnivore","Invertivore","Aerial","19002486.05"
"153","Caprimulgus indicus","Caprimulgus indicus","49.4","91.59","Forest","2","1","Carnivore","Invertivore","Generalist","9557982.13"
"154","Caprimulgus ruficollis","Caprimulgus ruficollis","54","68.5","Forest","2","3","Carnivore","Invertivore","Aerial","791038.8"
"155","Caprimulgus vociferus","Antrostomus vociferus","47.5","53.3","Forest","1","3","Carnivore","Invertivore","Generalist","4417326.01"
"156","Cardinalis cardinalis","Cardinalis cardinalis","15.5","42.64","Shrubland","2","1","Herbivore","Omnivore","Insessorial","5834572.06"
"157","Carduelis cannabina","Linaria cannabina","34.4","19.53","Shrubland","2","1","Herbivore","Granivore","Terrestrial","10715477.38"
"158","Carduelis carduelis","Carduelis carduelis","33.4","16","Woodland","2","1","Herbivore","Granivore","Insessorial","15348675.33"
"159","Carduelis chloris","Chloris chloris","32.5","26","Woodland","2","1","Herbivore","Granivore","Generalist","10220595.83"
"160","Carduelis citrinella","Carduelis citrinella","30.3","12","Forest","2","1","Herbivore","Granivore","Generalist","193259.64"
"161","Carduelis corsicana","Carduelis corsicana","29.4","12","Shrubland","2","1","Herbivore","Granivore","Generalist","20435.36"
"162","Carduelis flammea","Acanthis flammea","33.6","13","Forest","1","2","Herbivore","Granivore","Generalist","18699058.4"
"163","Carduelis spinus","Spinus spinus","36.5","13.24","Forest","1","1","Herbivore","Granivore","Insessorial","8968022.11"
"164","Carpodacus erythrinus","Carpodacus erythrinus","30.8","23.97","Shrubland","2","3","Herbivore","Granivore","Insessorial","23264611.24"
"165","Carpodacus mexicanus","Haemorhous mexicanus","27.5","21.4","Shrubland","2","2","Herbivore","Granivore","Insessorial","10299459.91"
"166","Carpodacus purpureus","Haemorhous purpureus","28.1","23.3","Forest","2","2","Herbivore","Omnivore","Insessorial","4534365.72"
"167","Carpodacus rubicilla","Carpodacus rubicilla","31","43.2","Rock","3","1","Herbivore","Omnivore","Terrestrial","3210935.5"
"168","Catharacta skua","Stercorarius skua","53.3","1338.22","Marine","3","3","Carnivore","Aquatic predator","Aerial","16138.54"
"169","Cathartes aura","Cathartes aura","26.9","1518.24","Human Modified","3","2","Scavenger","Scavenger","Terrestrial","28126442.74"
"170","Catharus bicknelli","Catharus bicknelli","28.6","27.79","Forest","1","3","Carnivore","Invertivore","Generalist","38746.86"
"171","Catharus fuscescens","Catharus fuscescens","28.5","31.9","Forest","1","3","Carnivore","Invertivore","Terrestrial","3681872.46"
"172","Catharus guttatus","Catharus guttatus","26.9","30.1","Forest","1","3","Omnivore","Invertivore","Generalist","8383811.92"
"173","Catharus ustulatus","Catharus ustulatus","30.6","30.3","Forest","1","3","Omnivore","Invertivore","Insessorial","7563735.28"
"174","Cecropis daurica","Cecropis daurica","53.2","22.2","Grassland","3","3","Carnivore","Invertivore","Aerial","18735899.27"
"175","Cepphus carbo","Cepphus carbo","42.1","490","Marine","3","3","Carnivore","Aquatic predator","Aquatic","1737267.71"
"176","Cepphus grylle","Cepphus grylle","43.1","378","Marine","3","3","Carnivore","Aquatic predator","Aquatic","2115522.94"
"177","Cercotrichas galactotes","Erythropygia galactotes","21.8","20.3","Shrubland","2","3","Omnivore","Invertivore","Generalist","9230677.97"
"178","Cerorhinca monocerata","Cerorhinca monocerata","52","482.24","Marine","3","3","Carnivore","Aquatic predator","Aquatic","316387.33"
"179","Certhia americana","Certhia americana","24.1","8.1","Forest","1","1","Carnivore","Invertivore","Insessorial","6543644.5"
"180","Certhia brachydactyla","Certhia brachydactyla","17.7","8.2","Forest","1","1","Carnivore","Invertivore","Insessorial","3199552.33"
"181","Certhia familiaris","Certhia familiaris","19.2","9","Forest","1","1","Omnivore","Invertivore","Insessorial","15914424.48"
"182","Cettia cetti","Cettia cetti","14.3","13.22","Shrubland","2","1","Carnivore","Invertivore","Generalist","5290133.33"
"183","Cettia diphone","Horornis diphone","14.3","13.31","Shrubland","1","1","Carnivore","Invertivore","Generalist","415764.25"
"184","Chaetura pelagica","Chaetura pelagica","70.3","23.6","Human Modified","1","3","Carnivore","Invertivore","Aerial","5841319.17"
"185","Chalcophaps indica","Chalcophaps indica","28.7","136.54","Forest","1","1","Herbivore","Omnivore","Generalist","5343787.27"
"186","Charadrius alexandrinus","Charadrius alexandrinus","55","42.3","Coastal","3","2","Carnivore","Aquatic predator","Terrestrial","15285087.49"
"187","Charadrius asiaticus","Charadrius asiaticus","58","77.09","Desert","3","3","Carnivore","Omnivore","Terrestrial","2844122.74"
"188","Charadrius dubius","Charadrius dubius","51","38.7","Wetland","3","3","Carnivore","Aquatic predator","Terrestrial","33641119.87"
"189","Charadrius hiaticula","Charadrius hiaticula","53.5","64.04","Coastal","3","2","Carnivore","Aquatic predator","Terrestrial","4520829.19"
"190","Charadrius leschenaultii","Charadrius leschenaultii","53.1","74.8","Grassland","3","3","Carnivore","Aquatic predator","Terrestrial","5473335.58"
"191","Charadrius melodus","Charadrius melodus","54.5","54.39","Coastal","3","3","Carnivore","Aquatic predator","Terrestrial","501145.23"
"192","Charadrius morinellus","Charadrius morinellus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Charadrius placidus","Charadrius placidus","51.7","62.7","Riverine","3","3","Carnivore","Aquatic predator","Terrestrial","2370427.23"
"194","Charadrius vociferus","Charadrius vociferus","52.6","96.44","Wetland","3","3","Carnivore","Omnivore","Terrestrial","14759088.1"
"195","Chersophilus duponti","Chersophilus duponti","25.9","39.4","Grassland","2","2","Omnivore","Omnivore","Terrestrial","288089.02"
"196","Chlidonias hybrida","Chlidonias hybrida","63.6","83.67","Wetland","3","3","Carnivore","Aquatic predator","Aerial","10089513.85"
"197","Chlidonias leucopterus","Chlidonias leucopterus","61.4","54.2","Wetland","3","3","Carnivore","Aquatic predator","Aerial","10229425.04"
"198","Chlidonias niger","Chlidonias niger","62.1","65.3","Wetland","3","3","Carnivore","Aquatic predator","Aerial","12943719.56"
"199","Chloris chloris","Chloris chloris","32.5","26","Woodland","2","1","Herbivore","Granivore","Generalist","10220595.83"
"200","Chloris sinica","Chloris sinica","33.5","18.59","Shrubland","2","1","Herbivore","Granivore","Generalist","6303643.12"
"201","Chordeiles minor","Chordeiles minor","60.7","79.3","Grassland","3","3","Carnivore","Invertivore","Aerial","13037233.58"
"202","Chrysolophus amherstiae","Chrysolophus amherstiae","17.3","732.47","Forest","1","1","Omnivore","Omnivore","Terrestrial","384241.58"
"203","Chrysolophus pictus","Chrysolophus pictus","21.2","555.2","Forest","1","1","Herbivore","Herbivore terrestrial","Terrestrial","969402.26"
"204","Ciconia ciconia","Ciconia ciconia","45.9","3445.8","Grassland","3","3","Carnivore","Omnivore","Terrestrial","5196114"
"205","Ciconia nigra","Ciconia nigra","43.1","2926","Woodland","2","3","Carnivore","Aquatic predator","Terrestrial","18362407.3"
"206","Cinclus cinclus","Cinclus cinclus","27.6","61.47","Riverine","3","1","Carnivore","Aquatic predator","Generalist","8499590.13"
"207","Cinclus pallasii","Cinclus pallasii","27.9","76","Riverine","3","1","Carnivore","Aquatic predator","Generalist","9425465.17"
"208","Circaetus gallicus","Circaetus gallicus","40.5","1699.12","Woodland","3","3","Carnivore","Vertivore","Aerial","12695589.93"
"209","Circus aeruginosus","Circus aeruginosus","45.6","704.07","Wetland","3","2","Carnivore","Vertivore","Aerial","13390803.81"
"210","Circus cyaneus","Circus cyaneus","44.7","392.98","Grassland","3","3","Carnivore","Vertivore","Aerial","29678658.41"
"211","Circus macrourus","Circus macrourus","52.4","384.36","Grassland","3","3","Carnivore","Vertivore","Aerial","6168290.72"
"212","Circus pygargus","Circus pygargus","52","310.75","Grassland","3","3","Carnivore","Vertivore","Aerial","6837154.32"
"213","Circus spilonotus","Circus spilonotus","47.7","558.78","Wetland","3","3","Carnivore","Vertivore","Aerial","5799481.42"
"214","Cisticola juncidis","Cisticola juncidis","13.5","6.81","Grassland","3","3","Carnivore","Invertivore","Generalist","18929166.75"
