"","name_in_data","original_verbatim_name","wordCount","submitted_name","Birds.of.the.World","sp_eBird","American.Ornithological.Society","GBIF","sp_BirdLife","sp_BirdTree","eBird.species.group","X","Order.x","FamilyName","RL_Category","Synonyms","TipLabel","English","Taxonomy","Clade","BLFamilyLatin","BLFamilyEnglish","FamSequID","Order.y","OscSubOsc"
"337","Histrionicus histrionicus","Histrionicus histrionicus",2,"Histrionicus histrionicus","Histrionicus histrionicus","Histrionicus histrionicus","Histrionicus histrionicus","Histrionicus histrionicus","Histrionicus histrionicus","Histrionicus histrionicus","Histrionicus histrionicus",445,"Anseriformes","Anatidae","LC",NA,"Histrionicus_histrionicus","Harlequin Duck","BL3","Anatinae","Anatidae","Ducks, geese and swans",14,"ANSERIFORMES","NONPASSERIFORMES"
"338","Hydrobates pelagicus","Hydrobates pelagicus",2,"Hydrobates pelagicus","Hydrobates pelagicus","Hydrobates pelagicus","Hydrobates pelagicus","Hydrobates pelagicus","Hydrobates pelagicus","Hydrobates pelagicus","Hydrobates pelagicus",3482,"Procellariiformes","Hydrobatidae","LC",NA,"Hydrobates_pelagicus","European Storm-petrel","BL3","Procellariidae","Hydrobatidae","Storm-petrels",19,"PROCELLARIIFORMES","NONPASSERIFORMES"
"339","Hylocichla mustelina","Hylocichla mustelina",2,"Hylocichla mustelina","Hylocichla mustelina","Hylocichla mustelina","Hylocichla mustelina","Hylocichla mustelina","Hylocichla mustelina","Hylocichla mustelina","Hylocichla mustelina",5561,"Passeriformes","Turdidae","LC","Catharus mustelinus","Hylocichla_mustelina","Wood Thrush","BL3","M5","Turdidae","Thrushes",178,"PASSERIFORMES","Passeri"
"340","Icteria virens","Icteria virens",2,"Icteria virens","Icteria virens","Icteria virens","Icteria virens","Icteria virens","Icteria virens","Icteria virens","Icteria virens",7901,"Passeriformes","Icteridae","LC",NA,"Icteria_virens","Yellow-breasted Chat","BL3","P20a","Parulidae","New World warblers",171,"PASSERIFORMES","Passeri"
"341","Icterus galbula","Icterus galbula",2,"Icterus galbula","Icterus galbula","Icterus galbula","Icterus galbula","Icterus galbula","Icterus galbula","Icterus galbula","Icterus galbula",8341,"Passeriformes","Icteridae","LC",NA,"Icterus_galbula","Baltimore Oriole","BL3","P21","Icteridae","New World blackbirds",190,"PASSERIFORMES","Passeri"
"342","Icterus spurius","Icterus spurius",2,"Icterus spurius","Icterus spurius","Icterus spurius","Icterus spurius","Icterus spurius","Icterus spurius","Icterus spurius","Icterus spurius spurius",10522,"Passeriformes","Icteridae","LC",NA,"Icterus_spurius","Orchard Oriole","BL3","P21","Icteridae","New World blackbirds",190,"PASSERIFORMES","Passeri"
"343","Ixobrychus cinnamomeus","Ixobrychus cinnamomeus",2,"Ixobrychus cinnamomeus","Ixobrychus cinnamomeus","Ixobrychus cinnamomeus",NA,"Ixobrychus cinnamomeus","Ixobrychus cinnamomeus","Ixobrychus cinnamomeus","Ixobrychus cinnamomeus",3283,"Pelecaniformes","Ardeidae","LC",NA,"Ixobrychus_cinnamomeus","Cinnamon Bittern","BL3","Ardeidae","Ardeidae","Herons and egrets",25,"PELECANIFORMES","NONPASSERIFORMES"
"344","Ixobrychus exilis","Ixobrychus exilis",2,"Ixobrychus exilis","Ixobrychus exilis","Ixobrychus exilis","Ixobrychus exilis","Ixobrychus exilis","Ixobrychus exilis","Ixobrychus exilis","Ixobrychus exilis",3281,"Pelecaniformes","Ardeidae","LC",NA,"Ixobrychus_exilis","Least Bittern","BL3","Ardeidae","Ardeidae","Herons and egrets",25,"PELECANIFORMES","NONPASSERIFORMES"
"345","Ixobrychus minutus","Ixobrychus minutus",2,"Ixobrychus minutus","Ixobrychus minutus","Ixobrychus minutus","Ixobrychus minutus","Ixobrychus minutus","Ixobrychus minutus","Ixobrychus minutus","Ixobrychus minutus",9531,"Pelecaniformes","Ardeidae","LC",NA,"Ixobrychus_minutus","Little Bittern","BL3","Ardeidae","Ardeidae","Herons and egrets",25,"PELECANIFORMES","NONPASSERIFORMES"
"346","Ixobrychus sinensis","Ixobrychus sinensis",2,"Ixobrychus sinensis","Ixobrychus sinensis","Ixobrychus sinensis","Ixobrychus sinensis","Ixobrychus sinensis","Ixobrychus sinensis","Ixobrychus sinensis","Ixobrychus sinensis",3279,"Pelecaniformes","Ardeidae","LC",NA,"Ixobrychus_sinensis","Yellow Bittern","BL3","Ardeidae","Ardeidae","Herons and egrets",25,"PELECANIFORMES","NONPASSERIFORMES"
"347","Junco hyemalis","Junco hyemalis",2,"Junco hyemalis","Junco hyemalis","Junco hyemalis","Junco hyemalis","Junco hyemalis","Junco hyemalis","Junco hyemalis","Junco hyemalis",7725,"Passeriformes","Passerellidae","LC",NA,"Junco_hyemalis","Dark-eyed Junco","BL3","P20b","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","Passeri"
"348","Jynx torquilla","Jynx torquilla",2,"Jynx torquilla","Jynx torquilla","Jynx torquilla","Jynx torquilla","Jynx torquilla","Jynx torquilla","Jynx torquilla","Jynx torquilla",488,"Piciformes","Picidae","LC",NA,"Jynx_torquilla","Eurasian Wryneck","BL3","Picidae","Picidae","Woodpeckers",95,"PICIFORMES","NONPASSERIFORMES"
"349","Lagopus lagopus","Lagopus lagopus",2,"Lagopus lagopus","Lagopus lagopus","Lagopus lagopus","Lagopus lagopus","Lagopus lagopus","Lagopus lagopus","Lagopus lagopus","Lagopus lagopus",256,"Galliformes","Phasianidae","LC",NA,"Lagopus_lagopus","Willow Ptarmigan","BL3","Phasianidae","Phasianidae","Grouse, pheasants and partridges",11,"GALLIFORMES","NONPASSERIFORMES"
