"","verbatim_name","tp","cell_grouping","Total_area","Total_Ncells","occupancy_Ncells","AOO","relative_occupancy_Ncells","dataset"
"96","Agropsar philippensis",2,1,450221.445308138,1098,89,34877.9754951298,0.08,"Birds_atlas_Japan"
"97","Lonchura punctulata",2,1,450221.445308138,1098,9,4152.47824001318,0.01,"Birds_atlas_Japan"
"98","Motacilla flava",2,1,450221.445308138,1098,3,1201.21586395302,0,"Birds_atlas_Japan"
"99","Anous stolidus",1,1,448951.020447356,1095,1,466.859936054382,0,"Birds_atlas_Japan"
"100","Columba janthina",1,1,448951.020447356,1095,21,9308.39078612323,0.02,"Birds_atlas_Japan"
"101","Cuculus poliocephalus",2,1,450221.445308138,1098,600,250568.144550194,0.55,"Birds_atlas_Japan"
"102","Sterna dougallii",1,1,448951.020447356,1095,1,466.859936054382,0,"Birds_atlas_Japan"
"103","Hirundo daurica",2,1,450221.445308138,1098,45,19075.190663114,0.04,"Birds_atlas_Japan"
"104","Cettia diphone",2,1,450221.445308138,1098,1051,430282.029129342,0.96,"Birds_atlas_Japan"
"105","Lanius cristatus",2,1,450221.445308138,1098,3,1308.56924408852,0,"Birds_atlas_Japan"
"106","Ardeola bacchus",2,1,450221.445308138,1098,5,2228.89082726685,0,"Birds_atlas_Japan"
"107","Sterna anaethetus",1,1,448951.020447356,1095,1,466.859936054382,0,"Birds_atlas_Japan"
"108","Dendrocopos kizuki",1,1,448951.020447356,1095,792,326546.835497535,0.72,"Birds_atlas_Japan"
"109","Alcedo atthis",2,1,450221.445308138,1098,201,83534.3380810429,0.18,"Birds_atlas_Japan"
"110","Porzana fusca",1,1,448951.020447356,1095,19,8155.08083598378,0.02,"Birds_atlas_Japan"
"111","Columba livia",1,1,448951.020447356,1095,138,57960.3247726013,0.13,"Birds_atlas_Japan"
"112","Cettia diphone",1,1,448951.020447356,1095,1037,424583.36660127,0.95,"Birds_atlas_Japan"
"113","Dendrocopos kizuki",2,1,450221.445308138,1098,831,341471.873186646,0.76,"Birds_atlas_Japan"
"114","Columba livia",2,1,450221.445308138,1098,162,67833.9800547209,0.15,"Birds_atlas_Japan"
"115","Alcedo atthis",1,1,448951.020447356,1095,221,91207.3675765732,0.2,"Birds_atlas_Japan"
"116","Lonchura punctulata",1,1,448951.020447356,1095,4,1842.8091519794,0,"Birds_atlas_Japan"
"117","Anas platyrhynchos",1,1,448951.020447356,1095,99,39147.6747925538,0.09,"Birds_atlas_Japan"
"118","Sterna dougallii",2,1,450221.445308138,1098,2,921.736949536423,0,"Birds_atlas_Japan"
"119","Charadrius dubius",1,1,448951.020447356,1095,112,46332.613407518,0.1,"Birds_atlas_Japan"
"120","Spodiopsar cineraceus",1,1,448951.020447356,1095,393,160494.839798877,0.36,"Birds_atlas_Japan"
"121","Spodiopsar cineraceus",2,1,450221.445308138,1098,322,132839.623316675,0.29,"Birds_atlas_Japan"
"122","Charadrius alexandrinus",1,1,448951.020447356,1095,21,8744.21663322812,0.02,"Birds_atlas_Japan"
"123","Butorides striata",1,1,448951.020447356,1095,43,18117.5900806621,0.04,"Birds_atlas_Japan"
"124","Egretta sacra",2,1,450221.445308138,1098,9,3923.59274527243,0.01,"Birds_atlas_Japan"
"125","Sterna albifrons",2,1,450221.445308138,1098,15,6342.42359234859,0.01,"Birds_atlas_Japan"
"126","Corvus corone",1,1,448951.020447356,1095,808,331362.887739372,0.74,"Birds_atlas_Japan"
"127","Luscinia komadori",2,1,450221.445308138,1098,12,5459.18548327446,0.01,"Birds_atlas_Japan"
"128","Lonchura striata",1,1,448951.020447356,1095,1,459.892093605392,0,"Birds_atlas_Japan"
"129","Luscinia komadori",1,1,448951.020447356,1095,13,5891.43509666678,0.01,"Birds_atlas_Japan"
"130","Sapheopipo noguchii",2,1,450221.445308138,1098,4,1836.9309847842,0,"Birds_atlas_Japan"
"131","Zoothera dauma",2,1,450221.445308138,1098,246,98434.0679858027,0.22,"Birds_atlas_Japan"
"132","Zoothera dauma",1,1,448951.020447356,1095,251,100749.780864581,0.23,"Birds_atlas_Japan"
"133","Apalopteron familiare",1,1,448951.020447356,1095,2,919.1244284552,0,"Birds_atlas_Japan"
"134","Sula leucogaster",1,1,448951.020447356,1095,1,459.892093605392,0,"Birds_atlas_Japan"
"135","Buteo buteo",1,1,448951.020447356,1095,97,38699.5741334233,0.09,"Birds_atlas_Japan"
"136","Apalopteron familiare",2,1,450221.445308138,1098,2,919.1244284552,0,"Birds_atlas_Japan"
"137","Otus lempiji",1,1,448951.020447356,1095,1,459.232334849808,0,"Birds_atlas_Japan"
"138","Phasianus colchicus",1,1,448951.020447356,1095,385,159800.468996739,0.35,"Birds_atlas_Japan"
"139","Sapheopipo noguchii",1,1,448951.020447356,1095,3,1377.0388911788,0,"Birds_atlas_Japan"
"140","Gallirallus okinawae",2,1,450221.445308138,1098,3,1377.0388911788,0,"Birds_atlas_Japan"
"141","Lanius bucephalus",1,1,448951.020447356,1095,480,193592.486779975,0.44,"Birds_atlas_Japan"
"142","Butastur indicus",1,1,448951.020447356,1095,158,66252.4493432147,0.14,"Birds_atlas_Japan"
"143","Gallirallus okinawae",1,1,448951.020447356,1095,2,918.464669699615,0,"Birds_atlas_Japan"
"144","Fulica atra",2,1,450221.445308138,1098,28,11626.1800007944,0.03,"Birds_atlas_Japan"
"145","Buteo buteo",2,1,450221.445308138,1098,134,53981.1683780802,0.12,"Birds_atlas_Japan"
"146","Anas crecca",2,1,450221.445308138,1098,12,4969.5092849527,0.01,"Birds_atlas_Japan"
