"","verbatim_name","dataset","log_R2_1"
"132","Ardea herodias","Birds_Atlas_New_York",0.184115967950378
"133","Ardea purpurea","Birds_Atlas_Czechia",0.641375584980369
"134","Ardea purpurea","Birds_atlas_EBBA",0
"135","Ardea purpurea","Birds_atlas_Japan",-1.38758700231727
"136","Ardeola ralloides","Birds_atlas_EBBA",0
"137","Arenaria interpres","Birds_atlas_EBBA",-0.00344800852097866
"138","Asio flammeus","Birds_Atlas_Czechia",0.955059617005948
"139","Asio flammeus","Birds_atlas_EBBA",0
"140","Asio flammeus","Birds_Atlas_New_York",-0.405455005891826
"141","Asio otus","Birds_Atlas_Czechia",-0.0114884995824253
"142","Asio otus","Birds_atlas_EBBA",0
"143","Asio otus","Birds_atlas_Japan",-0.674776838147386
"144","Asio otus","Birds_Atlas_New_York",-0.523390571019842
"145","Athene noctua","Birds_Atlas_Czechia",-0.935923199134716
"146","Athene noctua","Birds_atlas_EBBA",0.00110099776695408
"147","Aythya affinis","Birds_Atlas_New_York",-0.406363843874837
"148","Aythya americana","Birds_Atlas_New_York",0.558933256190958
"149","Aythya collaris","Birds_Atlas_New_York",0.724511546951528
"150","Aythya ferina","Birds_Atlas_Czechia",-0.0905672251218027
"151","Aythya ferina","Birds_atlas_EBBA",0
"152","Aythya ferina","Birds_atlas_Japan",-0.947020173486538
"153","Aythya fuligula","Birds_Atlas_Czechia",0.0180277355220128
"154","Aythya fuligula","Birds_atlas_EBBA",0
"155","Aythya fuligula","Birds_atlas_Japan",-0.338477006191155
"156","Aythya marila","Birds_atlas_EBBA",-0.194722935498027
"157","Aythya nyroca","Birds_Atlas_Czechia",-0.80144322671186
"158","Aythya nyroca","Birds_atlas_EBBA",0
"159","Aythya valisineria","Birds_Atlas_New_York",1.841480781848e-05
"160","Baeolophus bicolor","Birds_Atlas_New_York",0.695265837059382
"161","Bambusicola thoracicus","Birds_atlas_Japan",-0.133353273252434
"162","Bartramia longicauda","Birds_Atlas_New_York",-1.05940138545752
"163","Bombycilla cedrorum","Birds_Atlas_New_York",0.0221339784516915
"164","Bombycilla garrulus","Birds_atlas_EBBA",0
"165","Bonasa bonasia","Birds_Atlas_Czechia",0.0270717580622805
"166","Bonasa bonasia","Birds_atlas_EBBA",0
"167","Bonasa umbellus","Birds_Atlas_New_York",-0.20060949340602
"168","Botaurus lentiginosus","Birds_Atlas_New_York",-0.110700838595243
"169","Botaurus stellaris","Birds_Atlas_Czechia",0.362359884255505
"170","Botaurus stellaris","Birds_atlas_EBBA",0
"171","Branta bernicla","Birds_atlas_EBBA",0
"172","Branta canadensis","Birds_atlas_EBBA",0
"173","Branta canadensis","Birds_Atlas_New_York",1.32184766722153
"174","Branta leucopsis","Birds_atlas_EBBA",0
"175","Bubo bubo","Birds_Atlas_Czechia",0.00954363795819299
"176","Bubo bubo","Birds_atlas_EBBA",0
"177","Bubo scandiacus","Birds_atlas_EBBA",-0.230412488433581
"178","Bubo virginianus","Birds_Atlas_New_York",-0.193370740330575
"179","Bubulcus ibis","Birds_atlas_EBBA",0
"180","Bubulcus ibis","Birds_atlas_Japan",-0.995091980592124
"181","Bubulcus ibis","Birds_Atlas_New_York",-1.04940057582408
"182","Bucanetes githagineus","Birds_atlas_EBBA",0
"183","Bucanetes mongolicus","Birds_atlas_EBBA",0
"184","Bucephala clangula","Birds_Atlas_Czechia",0.711273204760221
"185","Bucephala clangula","Birds_atlas_EBBA",0
"186","Bucephala clangula","Birds_Atlas_New_York",0.255826199841914
"187","Bucephala islandica","Birds_atlas_EBBA",0
"188","Bulweria bulwerii","Birds_atlas_EBBA",0
"189","Burhinus oedicnemus","Birds_atlas_EBBA",-0.00202245793519257
"190","Butastur indicus","Birds_atlas_Japan",-0.316580523153084
"191","Buteo buteo","Birds_Atlas_Czechia",-0.00164784349554292
"192","Buteo buteo","Birds_atlas_EBBA",0.000396086201662487
"193","Buteo buteo","Birds_atlas_Japan",0.332806656332388
"194","Buteo jamaicensis","Birds_Atlas_New_York",0.0628515578491897
"195","Buteo lagopus","Birds_atlas_EBBA",-0.00279374423241841
"196","Buteo lineatus","Birds_Atlas_New_York",0.208799545961113
"197","Buteo platypterus","Birds_Atlas_New_York",0.00866520287208494
"198","Buteo rufinus","Birds_atlas_EBBA",0
"199","Butorides striata","Birds_atlas_Japan",-0.880313632040424
"200","Butorides virescens","Birds_Atlas_New_York",-0.139418807688821
"201","Calandrella brachydactyla","Birds_atlas_EBBA",0
"202","Calcarius lapponicus","Birds_atlas_EBBA",-0.0057091190529898
"203","Calidris alba","Birds_atlas_EBBA",0
"204","Calidris alpina","Birds_atlas_EBBA",-0.00226250019791005
"205","Calidris canutus","Birds_atlas_EBBA",0
"206","Calidris falcinellus","Birds_atlas_EBBA",0
"207","Calidris maritima","Birds_atlas_EBBA",-0.00611529649751311
"208","Calidris melanotos","Birds_atlas_EBBA",-0.693203202983844
"209","Calidris minuta","Birds_atlas_EBBA",-0.0435888034458301
"210","Calidris pugnax","Birds_atlas_EBBA",-0.00155374358339981
"211","Calidris temminckii","Birds_atlas_EBBA",-0.00583951662869091
"212","Calliope calliope","Birds_atlas_EBBA",0
"213","Callipepla californica","Birds_atlas_EBBA",0
"214","Calonectris borealis","Birds_atlas_EBBA",0
"215","Calonectris diomedea","Birds_atlas_EBBA",0
"216","Calonectris leucomelas","Birds_atlas_Japan",-0.281176886940638
"217","Caprimulgus carolinensis","Birds_Atlas_New_York",-0.965083656567917
"218","Caprimulgus europaeus","Birds_Atlas_Czechia",-0.46522402238835
"219","Caprimulgus europaeus","Birds_atlas_EBBA",0
"220","Caprimulgus indicus","Birds_atlas_Japan",0.784096647481855
"221","Caprimulgus ruficollis","Birds_atlas_EBBA",0
"222","Caprimulgus vociferus","Birds_Atlas_New_York",-0.850249306417153
"223","Cardinalis cardinalis","Birds_Atlas_New_York",0.0859971301171267
"224","Carduelis cannabina","Birds_Atlas_Czechia",0.0404487346223045
"225","Carduelis carduelis","Birds_Atlas_Czechia",0.00805315823939175
"226","Carduelis carduelis","Birds_atlas_EBBA",0.000815992901207564
"227","Carduelis chloris","Birds_Atlas_Czechia",0.00159669935500102
"228","Carduelis citrinella","Birds_atlas_EBBA",0
"229","Carduelis corsicana","Birds_atlas_EBBA",0
"230","Carduelis flammea","Birds_Atlas_Czechia",0.114172235965515
"231","Carduelis spinus","Birds_Atlas_Czechia",0.0276345927216906
"232","Carduelis spinus","Birds_atlas_Japan",-0.408932796287721
"233","Carpodacus erythrinus","Birds_Atlas_Czechia",0.194561706291349
"234","Carpodacus erythrinus","Birds_atlas_EBBA",0
"235","Carpodacus mexicanus","Birds_Atlas_New_York",0.175171628095851
"236","Carpodacus purpureus","Birds_Atlas_New_York",0.00540584284139366
"237","Carpodacus rubicilla","Birds_atlas_EBBA",0
"238","Catharacta skua","Birds_atlas_EBBA",-0.0533185768857274
"239","Cathartes aura","Birds_Atlas_New_York",0.537492307169417
"240","Catharus bicknelli","Birds_Atlas_New_York",0.379476296228938
"241","Catharus fuscescens","Birds_Atlas_New_York",-0.0252107764468106
