"","verbatim_name","tp","cell_grouping","Total_area","Total_Ncells","occupancy_Ncells","AOO","relative_occupancy_Ncells","scale"
"913","Anser anser",3,"2",89635.9803373288,185,90,46866.4237185181,0.49,0.03125
"914","Acrocephalus scirpaceus",2,"2",83907.5085275841,176,151,75520.7163295165,0.86,0.03125
"915","Oriolus oriolus",2,"2",83907.5085275841,176,158,77880.6597284417,0.9,0.03125
"916","Circus aeruginosus",1,"2",83907.5085275841,176,140,69862.5839673366,0.8,0.03125
"917","Sylvia communis",2,"2",83907.5085275841,176,175,83770.9422789278,0.99,0.03125
"918","Accipiter gentilis",1,"2",83907.5085275841,176,175,83773.6403648837,0.99,0.03125
"919","Gallinula chloropus",2,"2",83907.5085275841,176,153,76958.1261314868,0.87,0.03125
"920","Tringa totanus",1,"2",83907.5085275841,176,45,22562.8980162847,0.26,0.03125
"921","Alauda arvensis",2,"2",83907.5085275841,176,175,83770.9422789278,0.99,0.03125
"922","Garrulus glandarius",1,"2",83907.5085275841,176,176,83907.5085275841,1,0.03125
"923","Dryocopus martius",1,"2",83907.5085275841,176,175,83774.4577963937,0.99,0.03125
"924","Streptopelia turtur",1,"2",83907.5085275841,176,174,83384.3781213205,0.99,0.03125
"925","Motacilla flava",3,"2",89635.9803373288,185,116,59922.0788951869,0.63,0.03125
"926","Coccothraustes coccothraustes",3,"2",89635.9803373288,185,177,87923.626097407,0.96,0.03125
"927","Upupa epops",1,"2",83907.5085275841,176,64,32470.4380810116,0.36,0.03125
"928","Luscinia svecica",3,"2",89635.9803373288,185,87,45059.9804947729,0.47,0.03125
"929","Phylloscopus sibilatrix",1,"2",83907.5085275841,176,175,83773.6403648837,0.99,0.03125
"930","Corvus corax",2,"2",83907.5085275841,176,176,83907.5085275841,1,0.03125
"931","Motacilla cinerea",3,"2",89635.9803373288,185,177,87764.6549856608,0.96,0.03125
"932","Carduelis chloris",1,"2",83907.5085275841,176,175,83773.6403648837,0.99,0.03125
"933","Ixobrychus minutus",3,"2",89635.9803373288,185,57,30069.341224636,0.31,0.03125
"934","Phylloscopus collybita",2,"2",83907.5085275841,176,176,83907.5085275841,1,0.03125
"935","Cygnus olor",1,"2",83907.5085275841,176,151,75885.3214593432,0.86,0.03125
"936","Locustella naevia",2,"2",83907.5085275841,176,173,83507.2945085798,0.98,0.03125
"937","Pyrrhula pyrrhula",2,"2",83907.5085275841,176,169,81874.8965242929,0.96,0.03125
"938","Circus aeruginosus",2,"2",83907.5085275841,176,157,78694.3466702379,0.89,0.03125
"939","Certhia familiaris",1,"2",83907.5085275841,176,171,82578.1930267111,0.97,0.03125
"940","Ficedula hypoleuca",2,"2",83907.5085275841,176,147,73040.1052203463,0.84,0.03125
"941","Anas platyrhynchos",1,"2",83907.5085275841,176,173,83242.2875922342,0.98,0.03125
"942","Phasianus colchicus",2,"2",83907.5085275841,176,168,81491.4572796191,0.95,0.03125
"943","Anthus pratensis",1,"2",83907.5085275841,176,141,68338.9895474321,0.8,0.03125
"944","Passer montanus",1,"2",83907.5085275841,176,171,83242.8637026633,0.97,0.03125
"945","Aythya fuligula",3,"2",89635.9803373288,185,141,73385.0056192455,0.76,0.03125
"946","Delichon urbica",1,"2",83907.5085275841,176,176,83907.5085275841,1,0.03125
"947","Sylvia atricapilla",1,"2",83907.5085275841,176,176,83907.5085275841,1,0.03125
"948","Regulus ignicapillus",2,"2",83907.5085275841,176,165,79768.2558445043,0.94,0.03125
"949","Anser anser",1,"2",83907.5085275841,176,30,15731.116254577,0.17,0.03125
"950","Lanius collurio",1,"2",83907.5085275841,176,176,83907.5085275841,1,0.03125
